"Title:","mx1.poz.pl - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | poz-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-14 22:05:00"
"End Date:","2020-03-16 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47877"
"Host ID:","178"
"Nth Percentile:","848617379.28","|95:bits:0:current:2|"
"Nth Percentile:","135407161.93","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-14 22:05:00","7.0553455657e+08","7.0553455657e+08","3.0415995999e+07","3.0415995999e+07"
"2020-03-14 22:10:00","5.7256212171e+08","5.7256212171e+08","1.2354037417e+08","1.2354037417e+08"
"2020-03-14 22:15:00","5.1908990329e+08","5.1908990329e+08","7.9444422587e+07","7.9444422587e+07"
"2020-03-14 22:20:00","4.7242086832e+08","4.7242086832e+08","1.9495813725e+07","1.9495813725e+07"
"2020-03-14 22:25:00","6.0831380072e+08","6.0831380072e+08","1.8036748586e+07","1.8036748586e+07"
"2020-03-14 22:30:00","5.6578573489e+08","5.6578573489e+08","1.7101390296e+07","1.7101390296e+07"
"2020-03-14 22:35:00","4.7457735906e+08","4.7457735906e+08","1.5981375160e+07","1.5981375160e+07"
"2020-03-14 22:40:00","5.4086265650e+08","5.4086265650e+08","5.5415922003e+07","5.5415922003e+07"
"2020-03-14 22:45:00","4.7441756752e+08","4.7441756752e+08","1.5660308494e+07","1.5660308494e+07"
"2020-03-14 22:50:00","4.2788486101e+08","4.2788486101e+08","1.6362059736e+07","1.6362059736e+07"
"2020-03-14 22:55:00","5.0881518437e+08","5.0881518437e+08","1.5750128823e+07","1.5750128823e+07"
"2020-03-14 23:00:00","5.4527412248e+08","5.4527412248e+08","1.6046484881e+07","1.6046484881e+07"
"2020-03-14 23:05:00","5.3748031617e+08","5.3748031617e+08","1.8284553502e+07","1.8284553502e+07"
"2020-03-14 23:10:00","4.2926819776e+08","4.2926819776e+08","2.1508167085e+07","2.1508167085e+07"
"2020-03-14 23:15:00","4.1645918427e+08","4.1645918427e+08","1.9445098044e+07","1.9445098044e+07"
"2020-03-14 23:20:00","1.0048248939e+09","1.0048248939e+09","1.6349591483e+07","1.6349591483e+07"
"2020-03-14 23:25:00","4.2464040772e+08","4.2464040772e+08","1.9304297840e+07","1.9304297840e+07"
"2020-03-14 23:30:00","3.5479397089e+08","3.5479397089e+08","1.1377824566e+07","1.1377824566e+07"
"2020-03-14 23:35:00","3.7958961955e+08","3.7958961955e+08","2.0985454772e+07","2.0985454772e+07"
"2020-03-14 23:40:00","3.3091319797e+08","3.3091319797e+08","1.1530319818e+07","1.1530319818e+07"
