"Title:","mx2.lis.pt - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | lis-mad"
"Vertical Label:","bits per second"
"Start Date:","2020-03-14 22:05:00"
"End Date:","2020-03-16 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47865"
"Host ID:","163"
"Nth Percentile:","4057534871.28","|95:bits:0:current:2|"
"Nth Percentile:","1329639208.24","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-14 22:05:00","2.3952782898e+09","2.3952782898e+09","8.7079635508e+08","8.7079635508e+08"
"2020-03-14 22:10:00","2.4136571209e+09","2.4136571209e+09","8.4674291436e+08","8.4674291436e+08"
"2020-03-14 22:15:00","2.1204054059e+09","2.1204054059e+09","1.0272594489e+09","1.0272594489e+09"
"2020-03-14 22:20:00","2.7304529596e+09","2.7304529596e+09","9.8153738175e+08","9.8153738175e+08"
"2020-03-14 22:25:00","2.7020564774e+09","2.7020564774e+09","1.2151590019e+09","1.2151590019e+09"
"2020-03-14 22:30:00","1.7527105475e+09","1.7527105475e+09","1.0663540741e+09","1.0663540741e+09"
"2020-03-14 22:35:00","1.7830101850e+09","1.7830101850e+09","1.3142216969e+09","1.3142216969e+09"
"2020-03-14 22:40:00","2.6414875720e+09","2.6414875720e+09","1.3296392083e+09","1.3296392083e+09"
"2020-03-14 22:45:00","2.0786979452e+09","2.0786979452e+09","1.0968798661e+09","1.0968798661e+09"
"2020-03-14 22:50:00","1.8447367816e+09","1.8447367816e+09","1.1372568801e+09","1.1372568801e+09"
"2020-03-14 22:55:00","3.5469763794e+09","3.5469763794e+09","1.1192285861e+09","1.1192285861e+09"
"2020-03-14 23:00:00","1.9005127025e+09","1.9005127025e+09","1.0714084832e+09","1.0714084832e+09"
"2020-03-14 23:05:00","1.9857513431e+09","1.9857513431e+09","9.8498526834e+08","9.8498526834e+08"
"2020-03-14 23:10:00","1.9554802224e+09","1.9554802224e+09","9.1514306157e+08","9.1514306157e+08"
"2020-03-14 23:15:00","1.6713313973e+09","1.6713313973e+09","8.5533157131e+08","8.5533157131e+08"
"2020-03-14 23:20:00","2.4055003282e+09","2.4055003282e+09","8.8320438611e+08","8.8320438611e+08"
"2020-03-14 23:25:00","2.4721664149e+09","2.4721664149e+09","7.5006109161e+08","7.5006109161e+08"
"2020-03-14 23:30:00","2.1047129905e+09","2.1047129905e+09","8.4310743638e+08","8.4310743638e+08"
"2020-03-14 23:35:00","1.9746921981e+09","1.9746921981e+09","1.3497242869e+09","1.3497242869e+09"
"2020-03-14 23:40:00","1.9748582953e+09","1.9748582953e+09","1.1992049009e+09","1.1992049009e+09"
"2020-03-14 23:45:00","2.4347931420e+09","2.4347931420e+09","1.0565238781e+09","1.0565238781e+09"
"2020-03-14 23:50:00","2.2386312117e+09","2.2386312117e+09","9.2734914905e+08","9.2734914905e+08"
"2020-03-14 23:55:00","2.3319325723e+09","2.3319325723e+09","7.9503103326e+08","7.9503103326e+08"
"2020-03-15 00:00:00","2.8755661047e+09","2.8755661047e+09","1.0550827153e+09","1.0550827153e+09"
"2020-03-15 00:05:00","2.6865872914e+09","2.6865872914e+09","6.6978788286e+08","6.6978788286e+08"
"2020-03-15 00:10:00","2.9992577957e+09","2.9992577957e+09","6.6035278870e+08","6.6035278870e+08"
"2020-03-15 00:15:00","2.3378304413e+09","2.3378304413e+09","8.4523070530e+08","8.4523070530e+08"
"2020-03-15 00:20:00","2.0228424797e+09","2.0228424797e+09","7.1634860545e+08","7.1634860545e+08"
"2020-03-15 00:25:00","2.4701040005e+09","2.4701040005e+09","7.2627504900e+08","7.2627504900e+08"
"2020-03-15 00:30:00","2.7731199631e+09","2.7731199631e+09","1.9925621195e+09","1.9925621195e+09"
"2020-03-15 00:35:00","2.4983438356e+09","2.4983438356e+09","1.3350867869e+09","1.3350867869e+09"
"2020-03-15 00:40:00","2.5140116706e+09","2.5140116706e+09","1.0834925401e+09","1.0834925401e+09"
"2020-03-15 00:45:00","2.1035508773e+09","2.1035508773e+09","7.1748326972e+08","7.1748326972e+08"
"2020-03-15 00:50:00","2.0999177309e+09","2.0999177309e+09","7.6667881585e+08","7.6667881585e+08"
