"Title:","mx1.pra.cz - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE PRA SRF0000001 | FRA-PRA  | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-14 22:05:00"
"End Date:","2020-03-16 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","53015"
"Host ID:","141"
"Nth Percentile:","43836898536.8","|95:bits:0:current:2|"
"Nth Percentile:","39839138409.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-14 22:05:00","4.1675551771e+10","4.1675551771e+10","2.2046822403e+10","2.2046822403e+10"
"2020-03-14 22:10:00","4.0078779241e+10","4.0078779241e+10","1.0656200476e+10","1.0656200476e+10"
"2020-03-14 22:15:00","3.9820830272e+10","3.9820830272e+10","8.3167906534e+09","8.3167906534e+09"
"2020-03-14 22:20:00","4.0335332664e+10","4.0335332664e+10","6.8950783217e+09","6.8950783217e+09"
"2020-03-14 22:25:00","4.0313502039e+10","4.0313502039e+10","8.9607256318e+09","8.9607256318e+09"
"2020-03-14 22:30:00","3.4727475047e+10","3.4727475047e+10","7.8566932129e+09","7.8566932129e+09"
"2020-03-14 22:35:00","4.3836898537e+10","4.3836898537e+10","2.1645558753e+10","2.1645558753e+10"
"2020-03-14 22:40:00","4.0742031465e+10","4.0742031465e+10","2.7747897304e+10","2.7747897304e+10"
"2020-03-14 22:45:00","4.1026440839e+10","4.1026440839e+10","1.1940929483e+10","1.1940929483e+10"
"2020-03-14 22:50:00","2.9092750672e+10","2.9092750672e+10","1.4090843298e+10","1.4090843298e+10"
"2020-03-14 22:55:00","3.9604191937e+10","3.9604191937e+10","1.4664977414e+10","1.4664977414e+10"
"2020-03-14 23:00:00","3.3444422096e+10","3.3444422096e+10","8.5125605080e+09","8.5125605080e+09"
"2020-03-14 23:05:00","3.8648959891e+10","3.8648959891e+10","7.5364032021e+09","7.5364032021e+09"
"2020-03-14 23:10:00","3.0642190206e+10","3.0642190206e+10","7.1531335139e+09","7.1531335139e+09"
"2020-03-14 23:15:00","3.5964210893e+10","3.5964210893e+10","7.1674917528e+09","7.1674917528e+09"
"2020-03-14 23:20:00","3.1019474387e+10","3.1019474387e+10","7.0125869405e+09","7.0125869405e+09"
"2020-03-14 23:25:00","3.8154604357e+10","3.8154604357e+10","6.8703768699e+09","6.8703768699e+09"
"2020-03-14 23:30:00","3.3162241399e+10","3.3162241399e+10","6.2560420169e+09","6.2560420169e+09"
"2020-03-14 23:35:00","3.2828175057e+10","3.2828175057e+10","9.3582644507e+09","9.3582644507e+09"
"2020-03-14 23:40:00","2.6819557278e+10","2.6819557278e+10","5.5653106906e+09","5.5653106906e+09"
"2020-03-14 23:45:00","3.3970671588e+10","3.3970671588e+10","5.6795327137e+09","5.6795327137e+09"
"2020-03-14 23:50:00","3.1693477337e+10","3.1693477337e+10","4.7863546315e+09","4.7863546315e+09"
"2020-03-14 23:55:00","2.6994775540e+10","2.6994775540e+10","5.5091138541e+09","5.5091138541e+09"
"2020-03-15 00:00:00","2.2322406335e+10","2.2322406335e+10","6.3039200811e+09","6.3039200811e+09"
"2020-03-15 00:05:00","2.8161175235e+10","2.8161175235e+10","4.9778521630e+09","4.9778521630e+09"
"2020-03-15 00:10:00","2.4445762562e+10","2.4445762562e+10","4.7813813718e+09","4.7813813718e+09"
"2020-03-15 00:15:00","2.7484988567e+10","2.7484988567e+10","5.3464464565e+09","5.3464464565e+09"
"2020-03-15 00:20:00","2.4794023678e+10","2.4794023678e+10","6.2313839848e+09","6.2313839848e+09"
"2020-03-15 00:25:00","2.3765073506e+10","2.3765073506e+10","7.5795337803e+09","7.5795337803e+09"
