"Title:","mx1.buc.ro - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE SOF SRF0000001 | buc-sof"
"Vertical Label:","bits per second"
"Start Date:","2020-03-14 22:05:00"
"End Date:","2020-03-16 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","21019"
"Host ID:","203"
"Nth Percentile:","18318720184.8","|95:bits:0:current:2|"
"Nth Percentile:","10751173747.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-14 22:05:00","8.3225432153e+09","8.3225432153e+09","3.0786762962e+09","3.0786762962e+09"
"2020-03-14 22:10:00","8.3861144864e+09","8.3861144864e+09","2.9306575837e+09","2.9306575837e+09"
"2020-03-14 22:15:00","8.2952266833e+09","8.2952266833e+09","2.4745562003e+09","2.4745562003e+09"
"2020-03-14 22:20:00","8.0137820680e+09","8.0137820680e+09","2.4558480173e+09","2.4558480173e+09"
"2020-03-14 22:25:00","8.2193342370e+09","8.2193342370e+09","1.9525649928e+09","1.9525649928e+09"
"2020-03-14 22:30:00","7.4003887968e+09","7.4003887968e+09","1.8062543843e+09","1.8062543843e+09"
"2020-03-14 22:35:00","6.7572915019e+09","6.7572915019e+09","1.5518904188e+09","1.5518904188e+09"
"2020-03-14 22:40:00","3.5849730429e+09","3.5849730429e+09","1.5815756159e+09","1.5815756159e+09"
"2020-03-14 22:45:00","3.0078460396e+09","3.0078460396e+09","1.7601945723e+09","1.7601945723e+09"
"2020-03-14 22:50:00","2.5020356527e+09","2.5020356527e+09","1.6718027825e+09","1.6718027825e+09"
"2020-03-14 22:55:00","2.4871509272e+09","2.4871509272e+09","1.4259425005e+09","1.4259425005e+09"
"2020-03-14 23:00:00","2.3867183426e+09","2.3867183426e+09","1.3558687961e+09","1.3558687961e+09"
"2020-03-14 23:05:00","2.1410486638e+09","2.1410486638e+09","1.3545856760e+09","1.3545856760e+09"
"2020-03-14 23:10:00","2.1018541409e+09","2.1018541409e+09","1.5307798784e+09","1.5307798784e+09"
"2020-03-14 23:15:00","2.3481774166e+09","2.3481774166e+09","1.2057409980e+09","1.2057409980e+09"
"2020-03-14 23:20:00","6.5901339371e+09","6.5901339371e+09","1.1947832998e+09","1.1947832998e+09"
"2020-03-14 23:25:00","6.0208353238e+09","6.0208353238e+09","1.2526115254e+09","1.2526115254e+09"
"2020-03-14 23:30:00","1.1204601352e+10","1.1204601352e+10","1.2659546142e+09","1.2659546142e+09"
"2020-03-14 23:35:00","4.3919422957e+09","4.3919422957e+09","4.7719709421e+09","4.7719709421e+09"
"2020-03-14 23:40:00","3.1964443333e+09","3.1964443333e+09","1.5448378221e+09","1.5448378221e+09"
"2020-03-14 23:45:00","2.7172509568e+09","2.7172509568e+09","1.3603048888e+09","1.3603048888e+09"
"2020-03-14 23:50:00","5.2783009233e+09","5.2783009233e+09","1.5817439127e+09","1.5817439127e+09"
"2020-03-14 23:55:00","3.4775566164e+09","3.4775566164e+09","1.4164098244e+09","1.4164098244e+09"
"2020-03-15 00:00:00","2.5854012135e+09","2.5854012135e+09","1.2902570525e+09","1.2902570525e+09"
"2020-03-15 00:05:00","2.5937042586e+09","2.5937042586e+09","1.1916900710e+09","1.1916900710e+09"
"2020-03-15 00:10:00","3.6423192222e+09","3.6423192222e+09","1.3367350987e+09","1.3367350987e+09"
"2020-03-15 00:15:00","3.1916107310e+09","3.1916107310e+09","1.3715428136e+09","1.3715428136e+09"
"2020-03-15 00:20:00","4.1277697908e+09","4.1277697908e+09","1.3885058590e+09","1.3885058590e+09"
"2020-03-15 00:25:00","4.0852341706e+09","4.0852341706e+09","1.1421036215e+09","1.1421036215e+09"
"2020-03-15 00:30:00","4.5382308523e+09","4.5382308523e+09","7.5412900613e+09","7.5412900613e+09"
"2020-03-15 00:35:00","4.1186708154e+09","4.1186708154e+09","9.4979053063e+09","9.4979053063e+09"
"2020-03-15 00:40:00","3.4325085093e+09","3.4325085093e+09","2.6428982599e+09","2.6428982599e+09"
"2020-03-15 00:45:00","3.0490249903e+09","3.0490249903e+09","1.1190753437e+09","1.1190753437e+09"
"2020-03-15 00:50:00","3.4881152257e+09","3.4881152257e+09","1.3154863744e+09","1.3154863744e+09"
