"Title:","mx2.ath.gr - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE MIL SRF0000001 | ath-mil"
"Vertical Label:","bits per second"
"Start Date:","2020-03-14 22:05:00"
"End Date:","2020-03-16 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47977"
"Host ID:","188"
"Nth Percentile:","7197666408.24","|95:bits:0:current:2|"
"Nth Percentile:","6673625116.24","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-14 22:05:00","6.8119540721e+09","6.8119540721e+09","6.6829177858e+09","6.6829177858e+09"
"2020-03-14 22:10:00","5.8449898798e+09","5.8449898798e+09","7.0055561571e+09","7.0055561571e+09"
"2020-03-14 22:15:00","6.7391246931e+09","6.7391246931e+09","7.0939699444e+09","7.0939699444e+09"
"2020-03-14 22:20:00","7.2117027462e+09","7.2117027462e+09","6.6736251162e+09","6.6736251162e+09"
"2020-03-14 22:25:00","6.2092671208e+09","6.2092671208e+09","6.2564424436e+09","6.2564424436e+09"
"2020-03-14 22:30:00","6.0690897003e+09","6.0690897003e+09","6.5973834867e+09","6.5973834867e+09"
"2020-03-14 22:35:00","5.9294807901e+09","5.9294807901e+09","5.6619464917e+09","5.6619464917e+09"
"2020-03-14 22:40:00","6.2008364736e+09","6.2008364736e+09","6.2716196266e+09","6.2716196266e+09"
"2020-03-14 22:45:00","5.9280207491e+09","5.9280207491e+09","6.2160665451e+09","6.2160665451e+09"
"2020-03-14 22:50:00","6.1745891840e+09","6.1745891840e+09","6.2136579430e+09","6.2136579430e+09"
"2020-03-14 22:55:00","5.0386045463e+09","5.0386045463e+09","6.4188262571e+09","6.4188262571e+09"
"2020-03-14 23:00:00","5.7714847721e+09","5.7714847721e+09","5.7904412349e+09","5.7904412349e+09"
"2020-03-14 23:05:00","5.1457715574e+09","5.1457715574e+09","5.8713454500e+09","5.8713454500e+09"
"2020-03-14 23:10:00","5.7016314615e+09","5.7016314615e+09","5.2890786238e+09","5.2890786238e+09"
"2020-03-14 23:15:00","5.5378993397e+09","5.5378993397e+09","5.8558261653e+09","5.8558261653e+09"
"2020-03-14 23:20:00","5.4673415998e+09","5.4673415998e+09","5.9376666589e+09","5.9376666589e+09"
"2020-03-14 23:25:00","5.1912920159e+09","5.1912920159e+09","5.7891986394e+09","5.7891986394e+09"
"2020-03-14 23:30:00","5.3849769701e+09","5.3849769701e+09","5.1234785468e+09","5.1234785468e+09"
"2020-03-14 23:35:00","5.0372002469e+09","5.0372002469e+09","5.5549422397e+09","5.5549422397e+09"
"2020-03-14 23:40:00","5.4047848704e+09","5.4047848704e+09","5.5133516370e+09","5.5133516370e+09"
"2020-03-14 23:45:00","4.3917898251e+09","4.3917898251e+09","5.6248852571e+09","5.6248852571e+09"
"2020-03-14 23:50:00","5.0160943284e+09","5.0160943284e+09","4.5536992476e+09","4.5536992476e+09"
"2020-03-14 23:55:00","4.0789927234e+09","4.0789927234e+09","3.9043995201e+09","3.9043995201e+09"
"2020-03-15 00:00:00","4.2657984886e+09","4.2657984886e+09","5.5784874715e+09","5.5784874715e+09"
"2020-03-15 00:05:00","4.5442734603e+09","4.5442734603e+09","5.1168522501e+09","5.1168522501e+09"
"2020-03-15 00:10:00","4.9728915475e+09","4.9728915475e+09","5.1991770718e+09","5.1991770718e+09"
"2020-03-15 00:15:00","4.9676107519e+09","4.9676107519e+09","6.1139631556e+09","6.1139631556e+09"
"2020-03-15 00:20:00","5.2207173620e+09","5.2207173620e+09","4.7622604581e+09","4.7622604581e+09"
"2020-03-15 00:25:00","4.3388090578e+09","4.3388090578e+09","4.9618764340e+09","4.9618764340e+09"
"2020-03-15 00:30:00","4.1545239795e+09","4.1545239795e+09","4.1075174642e+09","4.1075174642e+09"
"2020-03-15 00:35:00","3.9242510453e+09","3.9242510453e+09","3.6649310009e+09","3.6649310009e+09"
"2020-03-15 00:40:00","4.7309569732e+09","4.7309569732e+09","3.8135646505e+09","3.8135646505e+09"
"2020-03-15 00:45:00","4.2041483327e+09","4.2041483327e+09","4.4686464163e+09","4.4686464163e+09"
"2020-03-15 00:50:00","5.0661413713e+09","5.0661413713e+09","4.3777002492e+09","4.3777002492e+09"
"2020-03-15 00:55:00","4.4912236131e+09","4.4912236131e+09","3.6263967180e+09","3.6263967180e+09"
"2020-03-15 01:00:00","5.1583625412e+09","5.1583625412e+09","3.8790782570e+09","3.8790782570e+09"
"2020-03-15 01:05:00","5.2582916234e+09","5.2582916234e+09","4.2074736116e+09","4.2074736116e+09"
"2020-03-15 01:10:00","3.9507349829e+09","3.9507349829e+09","4.9684861095e+09","4.9684861095e+09"
"2020-03-15 01:15:00","4.2416767097e+09","4.2416767097e+09","4.5681853226e+09","4.5681853226e+09"
"2020-03-15 01:20:00","4.9005120882e+09","4.9005120882e+09","4.3786370636e+09","4.3786370636e+09"
"2020-03-15 01:25:00","4.9318992011e+09","4.9318992011e+09","4.6190991963e+09","4.6190991963e+09"
"2020-03-15 01:30:00","5.3826538820e+09","5.3826538820e+09","4.6221125432e+09","4.6221125432e+09"
"2020-03-15 01:35:00","5.0159049655e+09","5.0159049655e+09","4.6503119202e+09","4.6503119202e+09"
"2020-03-15 01:40:00","5.6018430736e+09","5.6018430736e+09","4.3417724748e+09","4.3417724748e+09"
"2020-03-15 01:45:00","5.0825749367e+09","5.0825749367e+09","5.4235736195e+09","5.4235736195e+09"
"2020-03-15 01:50:00","4.4135657041e+09","4.4135657041e+09","4.6106633888e+09","4.6106633888e+09"
"2020-03-15 01:55:00","3.2966128902e+09","3.2966128902e+09","6.4322548684e+09","6.4322548684e+09"
"2020-03-15 02:00:00","4.7747680710e+09","4.7747680710e+09","4.7962539123e+09","4.7962539123e+09"
"2020-03-15 02:05:00","2.9326210652e+09","2.9326210652e+09","4.2396223405e+09","4.2396223405e+09"
"2020-03-15 02:10:00","2.9100776311e+09","2.9100776311e+09","3.7995920330e+09","3.7995920330e+09"
"2020-03-15 02:15:00","4.0584118611e+09","4.0584118611e+09","3.3537742165e+09","3.3537742165e+09"
"2020-03-15 02:20:00","3.4250676593e+09","3.4250676593e+09","3.5641378994e+09","3.5641378994e+09"
"2020-03-15 02:25:00","4.4344881233e+09","4.4344881233e+09","4.0362947217e+09","4.0362947217e+09"
"2020-03-15 02:30:00","4.3654225575e+09","4.3654225575e+09","4.7186764063e+09","4.7186764063e+09"
"2020-03-15 02:35:00","3.3932602494e+09","3.3932602494e+09","4.7460210890e+09","4.7460210890e+09"
"2020-03-15 02:40:00","3.8249419265e+09","3.8249419265e+09","6.3337119194e+09","6.3337119194e+09"
"2020-03-15 02:45:00","3.2303970292e+09","3.2303970292e+09","4.9228480149e+09","4.9228480149e+09"
"2020-03-15 02:50:00","4.5703006864e+09","4.5703006864e+09","5.3111504313e+09","5.3111504313e+09"
"2020-03-15 02:55:00","4.5757955167e+09","4.5757955167e+09","5.5450783888e+09","5.5450783888e+09"
"2020-03-15 03:00:00","4.2723067345e+09","4.2723067345e+09","4.7151191044e+09","4.7151191044e+09"
"2020-03-15 03:05:00","3.4045725261e+09","3.4045725261e+09","4.9664257273e+09","4.9664257273e+09"
"2020-03-15 03:10:00","3.9086984634e+09","3.9086984634e+09","4.2567306788e+09","4.2567306788e+09"
"2020-03-15 03:15:00","4.8254758492e+09","4.8254758492e+09","4.5034982798e+09","4.5034982798e+09"
"2020-03-15 03:20:00","4.9561555506e+09","4.9561555506e+09","4.9245009155e+09","4.9245009155e+09"
"2020-03-15 03:25:00","4.8156334342e+09","4.8156334342e+09","4.7724363477e+09","4.7724363477e+09"
"2020-03-15 03:30:00","4.3498874865e+09","4.3498874865e+09","4.9563450017e+09","4.9563450017e+09"
"2020-03-15 03:35:00","3.6264849254e+09","3.6264849254e+09","4.7356180225e+09","4.7356180225e+09"
"2020-03-15 03:40:00","2.7548170721e+09","2.7548170721e+09","4.4174864996e+09","4.4174864996e+09"
"2020-03-15 03:45:00","3.0759143586e+09","3.0759143586e+09","6.3346695390e+09","6.3346695390e+09"
"2020-03-15 03:50:00","3.4861618213e+09","3.4861618213e+09","5.2971474979e+09","5.2971474979e+09"
"2020-03-15 03:55:00","4.2406263308e+09","4.2406263308e+09","4.3767178655e+09","4.3767178655e+09"
"2020-03-15 04:00:00","4.2399405204e+09","4.2399405204e+09","4.7309253336e+09","4.7309253336e+09"
"2020-03-15 04:05:00","4.2835650870e+09","4.2835650870e+09","3.8524846627e+09","3.8524846627e+09"
"2020-03-15 04:10:00","4.4652100705e+09","4.4652100705e+09","4.6759909585e+09","4.6759909585e+09"
"2020-03-15 04:15:00","4.7883191186e+09","4.7883191186e+09","5.0521822789e+09","5.0521822789e+09"
"2020-03-15 04:20:00","5.1944619412e+09","5.1944619412e+09","5.3107867436e+09","5.3107867436e+09"
"2020-03-15 04:25:00","5.3631755338e+09","5.3631755338e+09","4.9189829701e+09","4.9189829701e+09"
"2020-03-15 04:30:00","4.6726333528e+09","4.6726333528e+09","5.8848457976e+09","5.8848457976e+09"
"2020-03-15 04:35:00","4.1961619044e+09","4.1961619044e+09","5.0987576967e+09","5.0987576967e+09"
"2020-03-15 04:40:00","4.7742859824e+09","4.7742859824e+09","5.3022952892e+09","5.3022952892e+09"
"2020-03-15 04:45:00","4.6538834112e+09","4.6538834112e+09","4.6245852739e+09","4.6245852739e+09"
"2020-03-15 04:50:00","5.1490957766e+09","5.1490957766e+09","6.0017661741e+09","6.0017661741e+09"
"2020-03-15 04:55:00","4.7049464868e+09","4.7049464868e+09","5.7782956076e+09","5.7782956076e+09"
"2020-03-15 05:00:00","4.7656944776e+09","4.7656944776e+09","5.9174705448e+09","5.9174705448e+09"
"2020-03-15 05:05:00","5.5509672408e+09","5.5509672408e+09","5.8620740118e+09","5.8620740118e+09"
"2020-03-15 05:10:00","4.8032754998e+09","4.8032754998e+09","6.0985216123e+09","6.0985216123e+09"
"2020-03-15 05:15:00","4.7620447527e+09","4.7620447527e+09","6.8120903776e+09","6.8120903776e+09"
"2020-03-15 05:20:00","3.8310270765e+09","3.8310270765e+09","6.2925896923e+09","6.2925896923e+09"
"2020-03-15 05:25:00","3.0848019900e+09","3.0848019900e+09","6.1811500876e+09","6.1811500876e+09"
"2020-03-15 05:30:00","3.4834046495e+09","3.4834046495e+09","6.3297038705e+09","6.3297038705e+09"
"2020-03-15 05:35:00","3.7681581926e+09","3.7681581926e+09","4.4264228729e+09","4.4264228729e+09"
"2020-03-15 05:40:00","4.5483113755e+09","4.5483113755e+09","6.5081490176e+09","6.5081490176e+09"
"2020-03-15 05:45:00","4.5114400776e+09","4.5114400776e+09","6.2203211141e+09","6.2203211141e+09"
"2020-03-15 05:50:00","4.3068240594e+09","4.3068240594e+09","5.4302454707e+09","5.4302454707e+09"
"2020-03-15 05:55:00","4.0701127479e+09","4.0701127479e+09","6.1578573476e+09","6.1578573476e+09"
"2020-03-15 06:00:00","4.4915192242e+09","4.4915192242e+09","5.3481219665e+09","5.3481219665e+09"
"2020-03-15 06:05:00","3.7609529400e+09","3.7609529400e+09","5.0879693837e+09","5.0879693837e+09"
"2020-03-15 06:10:00","3.7276252148e+09","3.7276252148e+09","4.8475224283e+09","4.8475224283e+09"
"2020-03-15 06:15:00","4.0604305238e+09","4.0604305238e+09","5.2408453511e+09","5.2408453511e+09"
"2020-03-15 06:20:00","4.0838128952e+09","4.0838128952e+09","5.4432231358e+09","5.4432231358e+09"
"2020-03-15 06:25:00","4.3122183164e+09","4.3122183164e+09","5.1416718238e+09","5.1416718238e+09"
"2020-03-15 06:30:00","4.6418728288e+09","4.6418728288e+09","5.1343749886e+09","5.1343749886e+09"
"2020-03-15 06:35:00","4.4086176095e+09","4.4086176095e+09","5.3813832826e+09","5.3813832826e+09"
"2020-03-15 06:40:00","4.4542720858e+09","4.4542720858e+09","4.6501145699e+09","4.6501145699e+09"
"2020-03-15 06:45:00","5.0322902655e+09","5.0322902655e+09","5.2902017897e+09","5.2902017897e+09"
"2020-03-15 06:50:00","5.6024337921e+09","5.6024337921e+09","5.3544165832e+09","5.3544165832e+09"
"2020-03-15 06:55:00","4.1325304433e+09","4.1325304433e+09","5.7708487079e+09","5.7708487079e+09"
"2020-03-15 07:00:00","3.9785222147e+09","3.9785222147e+09","5.9694880104e+09","5.9694880104e+09"
"2020-03-15 07:05:00","4.0785274539e+09","4.0785274539e+09","5.3002251262e+09","5.3002251262e+09"
"2020-03-15 07:10:00","4.1708197381e+09","4.1708197381e+09","5.8326839608e+09","5.8326839608e+09"
"2020-03-15 07:15:00","3.4451161725e+09","3.4451161725e+09","4.3732274054e+09","4.3732274054e+09"
"2020-03-15 07:20:00","3.6232992450e+09","3.6232992450e+09","5.8674245184e+09","5.8674245184e+09"
"2020-03-15 07:25:00","3.8896735288e+09","3.8896735288e+09","5.2727819269e+09","5.2727819269e+09"
"2020-03-15 07:30:00","3.8391590861e+09","3.8391590861e+09","5.5602222977e+09","5.5602222977e+09"
"2020-03-15 07:35:00","3.7782046195e+09","3.7782046195e+09","4.0723151806e+09","4.0723151806e+09"
"2020-03-15 07:40:00","4.9582178881e+09","4.9582178881e+09","4.2362501749e+09","4.2362501749e+09"
"2020-03-15 07:45:00","4.8183402748e+09","4.8183402748e+09","4.3317924438e+09","4.3317924438e+09"
"2020-03-15 07:50:00","4.5277098503e+09","4.5277098503e+09","5.3760584311e+09","5.3760584311e+09"
"2020-03-15 07:55:00","4.5260201012e+09","4.5260201012e+09","4.6910662764e+09","4.6910662764e+09"
"2020-03-15 08:00:00","4.8439460206e+09","4.8439460206e+09","4.7016624024e+09","4.7016624024e+09"
"2020-03-15 08:05:00","5.5444933405e+09","5.5444933405e+09","4.4757642327e+09","4.4757642327e+09"
"2020-03-15 08:10:00","4.5963619941e+09","4.5963619941e+09","4.3651741745e+09","4.3651741745e+09"
"2020-03-15 08:15:00","4.2763263959e+09","4.2763263959e+09","6.7289837502e+09","6.7289837502e+09"
"2020-03-15 08:20:00","4.8961958335e+09","4.8961958335e+09","6.1096693876e+09","6.1096693876e+09"
"2020-03-15 08:25:00","4.6860737940e+09","4.6860737940e+09","6.1795107522e+09","6.1795107522e+09"
"2020-03-15 08:30:00","4.5504896327e+09","4.5504896327e+09","4.8293092768e+09","4.8293092768e+09"
"2020-03-15 08:35:00","3.4136669432e+09","3.4136669432e+09","4.7825489162e+09","4.7825489162e+09"
"2020-03-15 08:40:00","3.7190190806e+09","3.7190190806e+09","6.1676098850e+09","6.1676098850e+09"
"2020-03-15 08:45:00","3.9827348794e+09","3.9827348794e+09","6.5942866824e+09","6.5942866824e+09"
"2020-03-15 08:50:00","3.8754010505e+09","3.8754010505e+09","7.0443933797e+09","7.0443933797e+09"
"2020-03-15 08:55:00","4.5442653885e+09","4.5442653885e+09","5.5226120653e+09","5.5226120653e+09"
"2020-03-15 09:00:00","5.1229419023e+09","5.1229419023e+09","5.7999126153e+09","5.7999126153e+09"
"2020-03-15 09:05:00","4.9999161540e+09","4.9999161540e+09","4.7146300931e+09","4.7146300931e+09"
"2020-03-15 09:10:00","5.1032921306e+09","5.1032921306e+09","4.9936143890e+09","4.9936143890e+09"
"2020-03-15 09:15:00","4.9566248053e+09","4.9566248053e+09","4.4394071388e+09","4.4394071388e+09"
"2020-03-15 09:20:00","5.3136573308e+09","5.3136573308e+09","5.0303804799e+09","5.0303804799e+09"
"2020-03-15 09:25:00","5.1736091225e+09","5.1736091225e+09","6.1745650313e+09","6.1745650313e+09"
"2020-03-15 09:30:00","5.0456121771e+09","5.0456121771e+09","5.6075637450e+09","5.6075637450e+09"
"2020-03-15 09:35:00","3.8132120018e+09","3.8132120018e+09","5.9545464328e+09","5.9545464328e+09"
"2020-03-15 09:40:00","4.0498705093e+09","4.0498705093e+09","5.3886598305e+09","5.3886598305e+09"
"2020-03-15 09:45:00","4.2728417442e+09","4.2728417442e+09","6.2559481609e+09","6.2559481609e+09"
"2020-03-15 09:50:00","4.1997721493e+09","4.1997721493e+09","6.7328273113e+09","6.7328273113e+09"
"2020-03-15 09:55:00","4.6611498269e+09","4.6611498269e+09","6.4393033215e+09","6.4393033215e+09"
"2020-03-15 10:00:00","5.6868054302e+09","5.6868054302e+09","5.6507995622e+09","5.6507995622e+09"
"2020-03-15 10:05:00","5.5963072035e+09","5.5963072035e+09","5.1137012256e+09","5.1137012256e+09"
"2020-03-15 10:10:00","5.5115333098e+09","5.5115333098e+09","6.2442493217e+09","6.2442493217e+09"
"2020-03-15 10:15:00","5.0549713464e+09","5.0549713464e+09","4.7839135822e+09","4.7839135822e+09"
"2020-03-15 10:20:00","5.4425370971e+09","5.4425370971e+09","5.1743167458e+09","5.1743167458e+09"
"2020-03-15 10:25:00","5.4619129764e+09","5.4619129764e+09","5.5615466926e+09","5.5615466926e+09"
