DATE,CHIT,CHIT_peak,ITCH,CHIT_peak
2020-03-17 15:45:00,1.8320359224e+10,1.8320359224e+10,3.6907299082e+10,3.6907299082e+10
2020-03-17 15:50:00,1.9088707634e+10,1.9088707634e+10,4.0835772215e+10,4.0835772215e+10
2020-03-17 15:55:00,1.6516164501e+10,1.6516164501e+10,4.4475586888e+10,4.4475586888e+10
2020-03-17 16:00:00,1.9948634793e+10,1.9948634793e+10,4.4813680221e+10,4.4813680221e+10
2020-03-17 16:05:00,1.7940111551e+10,1.7940111551e+10,4.0659184294e+10,4.0659184294e+10
2020-03-17 16:10:00,1.9862269080e+10,1.9862269080e+10,3.9046705217e+10,3.9046705217e+10
2020-03-17 16:15:00,1.9753386030e+10,1.9753386030e+10,4.0670057157e+10,4.0670057157e+10
2020-03-17 16:20:00,1.9385340990e+10,1.9385340990e+10,4.4394001693e+10,4.4394001693e+10
2020-03-17 16:25:00,1.8768337238e+10,1.8768337238e+10,4.0476777861e+10,4.0476777861e+10
2020-03-17 16:30:00,1.7052138692e+10,1.7052138692e+10,4.1407952817e+10,4.1407952817e+10
2020-03-17 16:35:00,1.8901632061e+10,1.8901632061e+10,4.4500537767e+10,4.4500537767e+10
2020-03-17 16:40:00,1.9127923398e+10,1.9127923398e+10,4.6353665008e+10,4.6353665008e+10
2020-03-17 16:45:00,1.7194168817e+10,1.7194168817e+10,3.9919829090e+10,3.9919829090e+10
2020-03-17 16:50:00,1.8240316099e+10,1.8240316099e+10,3.6616497028e+10,3.6616497028e+10
2020-03-17 16:55:00,1.8751640061e+10,1.8751640061e+10,3.4863169919e+10,3.4863169919e+10
2020-03-17 17:00:00,1.6577103799e+10,1.6577103799e+10,3.8254904377e+10,3.8254904377e+10
2020-03-17 17:05:00,2.0201376799e+10,2.0201376799e+10,3.1859338898e+10,3.1859338898e+10
2020-03-17 17:10:00,1.8935108791e+10,1.8935108791e+10,3.8328454386e+10,3.8328454386e+10
2020-03-17 17:15:00,1.6752643692e+10,1.6752643692e+10,3.8598184157e+10,3.8598184157e+10
2020-03-17 17:20:00,1.4106846493e+10,1.4106846493e+10,3.4401322620e+10,3.4401322620e+10
2020-03-17 17:25:00,1.4851155078e+10,1.4851155078e+10,4.4275353274e+10,4.4275353274e+10
2020-03-17 17:30:00,2.2019364875e+10,2.2019364875e+10,3.8027796370e+10,3.8027796370e+10
2020-03-17 17:35:00,2.1867069138e+10,2.1867069138e+10,3.9987743921e+10,3.9987743921e+10
2020-03-17 17:40:00,2.0461701564e+10,2.0461701564e+10,3.8334074263e+10,3.8334074263e+10
2020-03-17 17:45:00,1.8336884499e+10,1.8336884499e+10,3.8151808862e+10,3.8151808862e+10
2020-03-17 17:50:00,2.1596894810e+10,2.1596894810e+10,3.7235581950e+10,3.7235581950e+10
2020-03-17 17:55:00,1.9656131322e+10,1.9656131322e+10,3.2144311431e+10,3.2144311431e+10
2020-03-17 18:00:00,1.7353143391e+10,1.7353143391e+10,3.2558380303e+10,3.2558380303e+10
2020-03-17 18:05:00,2.1920647416e+10,2.1920647416e+10,3.4947933871e+10,3.4947933871e+10
2020-03-17 18:10:00,2.2448592640e+10,2.2448592640e+10,3.3785919420e+10,3.3785919420e+10
2020-03-17 18:15:00,1.9308800659e+10,1.9308800659e+10,3.6577137477e+10,3.6577137477e+10
2020-03-17 18:20:00,1.9385423756e+10,1.9385423756e+10,3.2454124655e+10,3.2454124655e+10
2020-03-17 18:25:00,1.6910473930e+10,1.6910473930e+10,3.2424645645e+10,3.2424645645e+10
2020-03-17 18:30:00,2.1034017033e+10,2.1034017033e+10,3.6085984378e+10,3.6085984378e+10
2020-03-17 18:35:00,1.8983422356e+10,1.8983422356e+10,3.6906521369e+10,3.6906521369e+10
2020-03-17 18:40:00,2.2280855792e+10,2.2280855792e+10,3.4529585788e+10,3.4529585788e+10
2020-03-17 18:45:00,1.6863762240e+10,1.6863762240e+10,3.5700550782e+10,3.5700550782e+10
2020-03-17 18:50:00,1.4684640566e+10,1.4684640566e+10,3.3113059111e+10,3.3113059111e+10
2020-03-17 18:55:00,1.5522944419e+10,1.5522944419e+10,3.7563913667e+10,3.7563913667e+10
2020-03-17 19:00:00,1.4998310961e+10,1.4998310961e+10,3.6375307956e+10,3.6375307956e+10
2020-03-17 19:05:00,2.1347904930e+10,2.1347904930e+10,4.4998642893e+10,4.4998642893e+10
2020-03-17 19:10:00,2.3615422736e+10,2.3615422736e+10,3.8897920147e+10,3.8897920147e+10
2020-03-17 19:15:00,2.8231130053e+10,2.8231130053e+10,3.4821934486e+10,3.4821934486e+10
2020-03-17 19:20:00,2.4081970463e+10,2.4081970463e+10,3.5603035153e+10,3.5603035153e+10
2020-03-17 19:25:00,2.3616164251e+10,2.3616164251e+10,3.8420848404e+10,3.8420848404e+10
2020-03-17 19:30:00,3.2903614598e+10,3.2903614598e+10,3.7390016872e+10,3.7390016872e+10
2020-03-17 19:35:00,2.1609766853e+10,2.1609766853e+10,4.1400444603e+10,4.1400444603e+10
2020-03-17 19:40:00,2.3216266552e+10,2.3216266552e+10,4.1542765069e+10,4.1542765069e+10
2020-03-17 19:45:00,2.3592153819e+10,2.3592153819e+10,4.2143259578e+10,4.2143259578e+10
2020-03-17 19:50:00,2.5499594733e+10,2.5499594733e+10,3.6243455514e+10,3.6243455514e+10
2020-03-17 19:55:00,2.6668285702e+10,2.6668285702e+10,3.2884900487e+10,3.2884900487e+10
2020-03-17 20:00:00,2.4717322018e+10,2.4717322018e+10,3.6334311864e+10,3.6334311864e+10
2020-03-17 20:05:00,1.9107029560e+10,1.9107029560e+10,4.2743838694e+10,4.2743838694e+10
2020-03-17 20:10:00,1.8855585054e+10,1.8855585054e+10,3.9201912465e+10,3.9201912465e+10
2020-03-17 20:15:00,2.1006212852e+10,2.1006212852e+10,3.5512943845e+10,3.5512943845e+10
2020-03-17 20:20:00,2.6316400106e+10,2.6316400106e+10,3.1729677003e+10,3.1729677003e+10
2020-03-17 20:25:00,2.1350969660e+10,2.1350969660e+10,2.7342602098e+10,2.7342602098e+10
2020-03-17 20:30:00,2.7020223220e+10,2.7020223220e+10,3.3916190629e+10,3.3916190629e+10
2020-03-17 20:35:00,2.5729003064e+10,2.5729003064e+10,2.9430805331e+10,2.9430805331e+10
2020-03-17 20:40:00,2.3568901952e+10,2.3568901952e+10,3.1646573261e+10,3.1646573261e+10
2020-03-17 20:45:00,2.4321271747e+10,2.4321271747e+10,3.0951342171e+10,3.0951342171e+10
2020-03-17 20:50:00,2.3208687182e+10,2.3208687182e+10,3.1210882067e+10,3.1210882067e+10
2020-03-17 20:55:00,2.7860700460e+10,2.7860700460e+10,4.3594192515e+10,4.3594192515e+10
2020-03-17 21:00:00,2.2327458937e+10,2.2327458937e+10,3.4355449899e+10,3.4355449899e+10
2020-03-17 21:05:00,1.7109582498e+10,1.7109582498e+10,4.1779970838e+10,4.1779970838e+10
2020-03-17 21:10:00,1.6662389394e+10,1.6662389394e+10,3.9579780115e+10,3.9579780115e+10
2020-03-17 21:15:00,2.0525027719e+10,2.0525027719e+10,3.3267176927e+10,3.3267176927e+10
2020-03-17 21:20:00,1.9616972716e+10,1.9616972716e+10,3.5987784709e+10,3.5987784709e+10
2020-03-17 21:25:00,1.7618930416e+10,1.7618930416e+10,3.4146278835e+10,3.4146278835e+10
2020-03-17 21:30:00,2.3310020037e+10,2.3310020037e+10,3.6386130594e+10,3.6386130594e+10
2020-03-17 21:35:00,1.9649686526e+10,1.9649686526e+10,3.7902701467e+10,3.7902701467e+10
2020-03-17 21:40:00,2.0299394249e+10,2.0299394249e+10,3.7388871745e+10,3.7388871745e+10
2020-03-17 21:45:00,1.6439959115e+10,1.6439959115e+10,3.6441309401e+10,3.6441309401e+10
2020-03-17 21:50:00,2.0059647710e+10,2.0059647710e+10,3.0248399005e+10,3.0248399005e+10
2020-03-17 21:55:00,2.3207071386e+10,2.3207071386e+10,3.1875286177e+10,3.1875286177e+10
2020-03-17 22:00:00,1.9879445116e+10,1.9879445116e+10,3.1034835520e+10,3.1034835520e+10
2020-03-17 22:05:00,2.5361205356e+10,2.5361205356e+10,3.1351434027e+10,3.1351434027e+10
2020-03-17 22:10:00,2.8125840120e+10,2.8125840120e+10,3.5952112219e+10,3.5952112219e+10
2020-03-17 22:15:00,1.9243939230e+10,1.9243939230e+10,3.5849402221e+10,3.5849402221e+10
2020-03-17 22:20:00,1.8623623230e+10,1.8623623230e+10,3.3790648504e+10,3.3790648504e+10
2020-03-17 22:25:00,1.6109189805e+10,1.6109189805e+10,3.3310310719e+10,3.3310310719e+10
2020-03-17 22:30:00,1.5983491399e+10,1.5983491399e+10,2.8722288363e+10,2.8722288363e+10
2020-03-17 22:35:00,1.8322852325e+10,1.8322852325e+10,3.3354571663e+10,3.3354571663e+10
2020-03-17 22:40:00,2.6158267470e+10,2.6158267470e+10,3.3369243073e+10,3.3369243073e+10
2020-03-17 22:45:00,2.0184697320e+10,2.0184697320e+10,3.2323955680e+10,3.2323955680e+10
2020-03-17 22:50:00,1.8217572499e+10,1.8217572499e+10,3.3052050813e+10,3.3052050813e+10
2020-03-17 22:55:00,3.0024189175e+10,3.0024189175e+10,3.2826076469e+10,3.2826076469e+10
2020-03-17 23:00:00,2.2244510220e+10,2.2244510220e+10,3.2400706352e+10,3.2400706352e+10
2020-03-17 23:05:00,2.0993113423e+10,2.0993113423e+10,4.4328025428e+10,4.4328025428e+10
2020-03-17 23:10:00,2.9751654950e+10,2.9751654950e+10,3.9538098245e+10,3.9538098245e+10
2020-03-17 23:15:00,3.1126689585e+10,3.1126689585e+10,3.0812543194e+10,3.0812543194e+10
2020-03-17 23:20:00,2.6519056571e+10,2.6519056571e+10,2.1584783207e+10,2.1584783207e+10
2020-03-17 23:25:00,2.4772371571e+10,2.4772371571e+10,3.2043153108e+10,3.2043153108e+10
2020-03-17 23:30:00,2.1984839477e+10,2.1984839477e+10,3.6396953566e+10,3.6396953566e+10
2020-03-17 23:35:00,2.0682129629e+10,2.0682129629e+10,2.8286638853e+10,2.8286638853e+10
2020-03-17 23:40:00,2.0986215853e+10,2.0986215853e+10,3.7845590802e+10,3.7845590802e+10
2020-03-17 23:45:00,2.2037409268e+10,2.2037409268e+10,3.0176655464e+10,3.0176655464e+10
2020-03-17 23:50:00,2.1272323542e+10,2.1272323542e+10,2.9221920698e+10,2.9221920698e+10
2020-03-17 23:55:00,2.4740038901e+10,2.4740038901e+10,3.2670904887e+10,3.2670904887e+10
2020-03-18 00:00:00,1.7868631614e+10,1.7868631614e+10,2.7133198230e+10,2.7133198230e+10
2020-03-18 00:05:00,1.6265731978e+10,1.6265731978e+10,2.6805216310e+10,2.6805216310e+10
2020-03-18 00:10:00,1.8112120131e+10,1.8112120131e+10,2.9401190224e+10,2.9401190224e+10
2020-03-18 00:15:00,1.8949131307e+10,1.8949131307e+10,2.6823416602e+10,2.6823416602e+10
2020-03-18 00:20:00,1.3301454359e+10,1.3301454359e+10,3.4222192033e+10,3.4222192033e+10
2020-03-18 00:25:00,1.7271913716e+10,1.7271913716e+10,3.5252486592e+10,3.5252486592e+10
2020-03-18 00:30:00,1.8468797248e+10,1.8468797248e+10,3.6587817770e+10,3.6587817770e+10
2020-03-18 00:35:00,1.9794178863e+10,1.9794178863e+10,3.8671336591e+10,3.8671336591e+10
2020-03-18 00:40:00,1.8411314036e+10,1.8411314036e+10,3.0756988973e+10,3.0756988973e+10
2020-03-18 00:45:00,1.6676217972e+10,1.6676217972e+10,2.6981338449e+10,2.6981338449e+10
2020-03-18 00:50:00,1.2265829600e+10,1.2265829600e+10,2.5505933646e+10,2.5505933646e+10
2020-03-18 00:55:00,2.4216014389e+10,2.4216014389e+10,2.6226433697e+10,2.6226433697e+10
2020-03-18 01:00:00,1.9049931494e+10,1.9049931494e+10,3.0090296211e+10,3.0090296211e+10
2020-03-18 01:05:00,1.4829134607e+10,1.4829134607e+10,2.7421074593e+10,2.7421074593e+10
2020-03-18 01:10:00,1.6027783143e+10,1.6027783143e+10,2.6672145621e+10,2.6672145621e+10
2020-03-18 01:15:00,1.6403168306e+10,1.6403168306e+10,2.6811342519e+10,2.6811342519e+10
2020-03-18 01:20:00,1.7027417329e+10,1.7027417329e+10,2.7451217660e+10,2.7451217660e+10
2020-03-18 01:25:00,1.7006656604e+10,1.7006656604e+10,2.6446642921e+10,2.6446642921e+10
2020-03-18 01:30:00,1.4903367416e+10,1.4903367416e+10,2.5450347228e+10,2.5450347228e+10
2020-03-18 01:35:00,1.8906515004e+10,1.8906515004e+10,2.8394862071e+10,2.8394862071e+10
2020-03-18 01:40:00,1.7843197753e+10,1.7843197753e+10,3.0211279022e+10,3.0211279022e+10
2020-03-18 01:45:00,2.0417570195e+10,2.0417570195e+10,2.8065559371e+10,2.8065559371e+10
2020-03-18 01:50:00,1.9880136576e+10,1.9880136576e+10,2.9249649716e+10,2.9249649716e+10
2020-03-18 01:55:00,1.7308788009e+10,1.7308788009e+10,2.7474348210e+10,2.7474348210e+10
2020-03-18 02:00:00,1.5412968532e+10,1.5412968532e+10,2.8266744172e+10,2.8266744172e+10
2020-03-18 02:05:00,1.5925290909e+10,1.5925290909e+10,2.4871983839e+10,2.4871983839e+10
2020-03-18 02:10:00,1.6919522067e+10,1.6919522067e+10,3.8148253031e+10,3.8148253031e+10
2020-03-18 02:15:00,1.5287552124e+10,1.5287552124e+10,2.9569199132e+10,2.9569199132e+10
2020-03-18 02:20:00,1.6261969046e+10,1.6261969046e+10,2.8979109275e+10,2.8979109275e+10
2020-03-18 02:25:00,1.7690027302e+10,1.7690027302e+10,2.6334593727e+10,2.6334593727e+10
2020-03-18 02:30:00,1.6096595432e+10,1.6096595432e+10,2.8432747425e+10,2.8432747425e+10
2020-03-18 02:35:00,1.6912204490e+10,1.6912204490e+10,2.5628719048e+10,2.5628719048e+10
2020-03-18 02:40:00,1.7487751188e+10,1.7487751188e+10,2.6545263773e+10,2.6545263773e+10
2020-03-18 02:45:00,2.2348887235e+10,2.2348887235e+10,2.9940112247e+10,2.9940112247e+10
2020-03-18 02:50:00,1.8186258497e+10,1.8186258497e+10,3.0422503625e+10,3.0422503625e+10
2020-03-18 02:55:00,1.6497548742e+10,1.6497548742e+10,3.2133692148e+10,3.2133692148e+10
2020-03-18 03:00:00,1.6235160041e+10,1.6235160041e+10,3.3930426830e+10,3.3930426830e+10
2020-03-18 03:05:00,1.4174758189e+10,1.4174758189e+10,2.8972540102e+10,2.8972540102e+10
2020-03-18 03:10:00,1.7137196634e+10,1.7137196634e+10,3.1114650840e+10,3.1114650840e+10
2020-03-18 03:15:00,2.0381579453e+10,2.0381579453e+10,3.1022697169e+10,3.1022697169e+10
2020-03-18 03:20:00,1.4539456767e+10,1.4539456767e+10,2.8552219896e+10,2.8552219896e+10
2020-03-18 03:25:00,1.4113751457e+10,1.4113751457e+10,2.6823551884e+10,2.6823551884e+10
2020-03-18 03:30:00,1.7426075277e+10,1.7426075277e+10,3.0279953386e+10,3.0279953386e+10
2020-03-18 03:35:00,1.9974897435e+10,1.9974897435e+10,2.8306859935e+10,2.8306859935e+10
2020-03-18 03:40:00,1.8011054901e+10,1.8011054901e+10,2.4740366086e+10,2.4740366086e+10
2020-03-18 03:45:00,1.9557389749e+10,1.9557389749e+10,2.5279684816e+10,2.5279684816e+10
2020-03-18 03:50:00,2.3169240473e+10,2.3169240473e+10,2.9355085437e+10,2.9355085437e+10
2020-03-18 03:55:00,1.7450948010e+10,1.7450948010e+10,2.7017083106e+10,2.7017083106e+10
2020-03-18 04:00:00,1.8882596105e+10,1.8882596105e+10,2.6828566683e+10,2.6828566683e+10
2020-03-18 04:05:00,2.0376398536e+10,2.0376398536e+10,2.7737771755e+10,2.7737771755e+10
2020-03-18 04:10:00,1.7990380068e+10,1.7990380068e+10,2.6583446620e+10,2.6583446620e+10
2020-03-18 04:15:00,1.8133478523e+10,1.8133478523e+10,3.3688772387e+10,3.3688772387e+10
2020-03-18 04:20:00,1.7148024161e+10,1.7148024161e+10,3.7125537485e+10,3.7125537485e+10
2020-03-18 04:25:00,1.9388063281e+10,1.9388063281e+10,3.1746988106e+10,3.1746988106e+10
2020-03-18 04:30:00,1.9648803149e+10,1.9648803149e+10,3.4282967796e+10,3.4282967796e+10
2020-03-18 04:35:00,1.7941616890e+10,1.7941616890e+10,3.8884108534e+10,3.8884108534e+10
2020-03-18 04:40:00,2.0541579187e+10,2.0541579187e+10,3.1957467779e+10,3.1957467779e+10
2020-03-18 04:45:00,2.1900361764e+10,2.1900361764e+10,2.8482305554e+10,2.8482305554e+10
2020-03-18 04:50:00,1.8272048978e+10,1.8272048978e+10,2.4199307262e+10,2.4199307262e+10
2020-03-18 04:55:00,1.7464983816e+10,1.7464983816e+10,2.2659677144e+10,2.2659677144e+10
2020-03-18 05:00:00,1.4837235943e+10,1.4837235943e+10,2.3702687058e+10,2.3702687058e+10
2020-03-18 05:05:00,1.7849480715e+10,1.7849480715e+10,2.6786886624e+10,2.6786886624e+10
2020-03-18 05:10:00,1.6831589114e+10,1.6831589114e+10,2.7008109388e+10,2.7008109388e+10
2020-03-18 05:15:00,1.5335166788e+10,1.5335166788e+10,2.0686690008e+10,2.0686690008e+10
2020-03-18 05:20:00,1.8729210619e+10,1.8729210619e+10,2.1309202958e+10,2.1309202958e+10
2020-03-18 05:25:00,1.7324831613e+10,1.7324831613e+10,2.3270752397e+10,2.3270752397e+10
2020-03-18 05:30:00,1.6095282801e+10,1.6095282801e+10,2.2611303112e+10,2.2611303112e+10
2020-03-18 05:35:00,1.5488713742e+10,1.5488713742e+10,2.5376983301e+10,2.5376983301e+10
2020-03-18 05:40:00,1.7914271763e+10,1.7914271763e+10,2.8469713554e+10,2.8469713554e+10
2020-03-18 05:45:00,2.1604074587e+10,2.1604074587e+10,2.7967425973e+10,2.7967425973e+10
2020-03-18 05:50:00,1.7764924020e+10,1.7764924020e+10,2.7928432644e+10,2.7928432644e+10
2020-03-18 05:55:00,1.9861671597e+10,1.9861671597e+10,2.6176652678e+10,2.6176652678e+10
2020-03-18 06:00:00,2.1254227656e+10,2.1254227656e+10,2.4885712214e+10,2.4885712214e+10
2020-03-18 06:05:00,2.0604918893e+10,2.0604918893e+10,2.3941627547e+10,2.3941627547e+10
2020-03-18 06:10:00,1.8250811309e+10,1.8250811309e+10,2.5949288707e+10,2.5949288707e+10
2020-03-18 06:15:00,1.5893781878e+10,1.5893781878e+10,2.5601831024e+10,2.5601831024e+10
2020-03-18 06:20:00,2.1207890082e+10,2.1207890082e+10,2.8527103651e+10,2.8527103651e+10
2020-03-18 06:25:00,1.8761115958e+10,1.8761115958e+10,2.2160420654e+10,2.2160420654e+10
2020-03-18 06:30:00,1.6734495904e+10,1.6734495904e+10,2.2372335756e+10,2.2372335756e+10
2020-03-18 06:35:00,1.9524628823e+10,1.9524628823e+10,2.2161514724e+10,2.2161514724e+10
2020-03-18 06:40:00,1.8065295940e+10,1.8065295940e+10,2.4756520532e+10,2.4756520532e+10
2020-03-18 06:45:00,1.5434727660e+10,1.5434727660e+10,2.5916305444e+10,2.5916305444e+10
2020-03-18 06:50:00,1.5110382385e+10,1.5110382385e+10,2.1319130953e+10,2.1319130953e+10
2020-03-18 06:55:00,1.4420078793e+10,1.4420078793e+10,2.0073296725e+10,2.0073296725e+10
2020-03-18 07:00:00,1.3467549696e+10,1.3467549696e+10,1.9402618844e+10,1.9402618844e+10
2020-03-18 07:05:00,1.3420890110e+10,1.3420890110e+10,2.1192561660e+10,2.1192561660e+10
2020-03-18 07:10:00,1.3857145722e+10,1.3857145722e+10,2.1444461171e+10,2.1444461171e+10
2020-03-18 07:15:00,1.4893902082e+10,1.4893902082e+10,2.1581426080e+10,2.1581426080e+10
2020-03-18 07:20:00,1.4536989833e+10,1.4536989833e+10,1.9637545856e+10,1.9637545856e+10
2020-03-18 07:25:00,1.2823169846e+10,1.2823169846e+10,2.0655925681e+10,2.0655925681e+10
2020-03-18 07:30:00,1.5804986740e+10,1.5804986740e+10,2.3319243025e+10,2.3319243025e+10
2020-03-18 07:35:00,1.7122207573e+10,1.7122207573e+10,3.5206875890e+10,3.5206875890e+10
2020-03-18 07:40:00,1.9000620357e+10,1.9000620357e+10,2.4273993068e+10,2.4273993068e+10
2020-03-18 07:45:00,1.5394082288e+10,1.5394082288e+10,2.4736695035e+10,2.4736695035e+10
2020-03-18 07:50:00,1.4516553315e+10,1.4516553315e+10,2.8605580449e+10,2.8605580449e+10
2020-03-18 07:55:00,1.5709045554e+10,1.5709045554e+10,3.5155467012e+10,3.5155467012e+10
2020-03-18 08:00:00,1.7759490049e+10,1.7759490049e+10,2.9986363900e+10,2.9986363900e+10
2020-03-18 08:05:00,1.8752650304e+10,1.8752650304e+10,2.5349650047e+10,2.5349650047e+10
2020-03-18 08:10:00,1.8775068324e+10,1.8775068324e+10,2.7027779714e+10,2.7027779714e+10
2020-03-18 08:15:00,2.0001716620e+10,2.0001716620e+10,4.2952628895e+10,4.2952628895e+10
2020-03-18 08:20:00,1.6801558146e+10,1.6801558146e+10,3.8600977237e+10,3.8600977237e+10
2020-03-18 08:25:00,1.7100243160e+10,1.7100243160e+10,2.5617121149e+10,2.5617121149e+10
2020-03-18 08:30:00,1.4330634278e+10,1.4330634278e+10,2.5533813883e+10,2.5533813883e+10
2020-03-18 08:35:00,1.5084053844e+10,1.5084053844e+10,3.0579167226e+10,3.0579167226e+10
2020-03-18 08:40:00,1.4678178643e+10,1.4678178643e+10,2.4924675084e+10,2.4924675084e+10
2020-03-18 08:45:00,1.5703607304e+10,1.5703607304e+10,2.3122862295e+10,2.3122862295e+10
2020-03-18 08:50:00,1.5636010209e+10,1.5636010209e+10,2.3107389691e+10,2.3107389691e+10
2020-03-18 08:55:00,1.4257024648e+10,1.4257024648e+10,2.8674453570e+10,2.8674453570e+10
2020-03-18 09:00:00,1.4515851277e+10,1.4515851277e+10,2.7812281759e+10,2.7812281759e+10
2020-03-18 09:05:00,1.7603165601e+10,1.7603165601e+10,3.5125573039e+10,3.5125573039e+10
2020-03-18 09:10:00,1.9416291677e+10,1.9416291677e+10,3.2796486466e+10,3.2796486466e+10
2020-03-18 09:15:00,1.7397637568e+10,1.7397637568e+10,3.8228580644e+10,3.8228580644e+10
2020-03-18 09:20:00,1.2293163788e+10,1.2293163788e+10,4.0108785213e+10,4.0108785213e+10
2020-03-18 09:25:00,1.6444493213e+10,1.6444493213e+10,3.3573152367e+10,3.3573152367e+10
2020-03-18 09:30:00,1.7933261642e+10,1.7933261642e+10,3.0388935870e+10,3.0388935870e+10
2020-03-18 09:35:00,1.9921568092e+10,1.9921568092e+10,3.1039258013e+10,3.1039258013e+10
2020-03-18 09:40:00,1.4515472703e+10,1.4515472703e+10,2.9061378908e+10,2.9061378908e+10
2020-03-18 09:45:00,1.5744929049e+10,1.5744929049e+10,3.0684083289e+10,3.0684083289e+10
2020-03-18 09:50:00,1.4816156308e+10,1.4816156308e+10,3.1333086744e+10,3.1333086744e+10
2020-03-18 09:55:00,1.4031597961e+10,1.4031597961e+10,2.9639078254e+10,2.9639078254e+10
2020-03-18 10:00:00,1.9077964689e+10,1.9077964689e+10,3.2796056764e+10,3.2796056764e+10
2020-03-18 10:05:00,1.6277257821e+10,1.6277257821e+10,3.7632569022e+10,3.7632569022e+10
2020-03-18 10:10:00,1.9016391387e+10,1.9016391387e+10,2.9546460246e+10,2.9546460246e+10
2020-03-18 10:15:00,1.8264153858e+10,1.8264153858e+10,2.5583051418e+10,2.5583051418e+10
2020-03-18 10:20:00,1.7836347831e+10,1.7836347831e+10,2.5608483285e+10,2.5608483285e+10
2020-03-18 10:25:00,1.7079402556e+10,1.7079402556e+10,2.4624872716e+10,2.4624872716e+10
2020-03-18 10:30:00,1.5823641444e+10,1.5823641444e+10,2.6275822097e+10,2.6275822097e+10
2020-03-18 10:35:00,1.4259749749e+10,1.4259749749e+10,2.6988592718e+10,2.6988592718e+10
2020-03-18 10:40:00,1.7894593705e+10,1.7894593705e+10,2.4428035963e+10,2.4428035963e+10
2020-03-18 10:45:00,1.7836431231e+10,1.7836431231e+10,2.4265535331e+10,2.4265535331e+10
2020-03-18 10:50:00,1.8588788855e+10,1.8588788855e+10,2.4972896527e+10,2.4972896527e+10
2020-03-18 10:55:00,1.8091478149e+10,1.8091478149e+10,2.4220673135e+10,2.4220673135e+10
2020-03-18 11:00:00,2.8748642607e+10,2.8748642607e+10,2.3318865949e+10,2.3318865949e+10
2020-03-18 11:05:00,2.4371735299e+10,2.4371735299e+10,2.6098286097e+10,2.6098286097e+10
2020-03-18 11:10:00,1.7452974611e+10,1.7452974611e+10,2.8305254298e+10,2.8305254298e+10
2020-03-18 11:15:00,1.5190059924e+10,1.5190059924e+10,3.2542898624e+10,3.2542898624e+10
2020-03-18 11:20:00,1.6599130131e+10,1.6599130131e+10,3.7724700241e+10,3.7724700241e+10
2020-03-18 11:25:00,1.4051296813e+10,1.4051296813e+10,3.1563640033e+10,3.1563640033e+10
2020-03-18 11:30:00,1.1683696116e+10,1.1683696116e+10,3.1741227165e+10,3.1741227165e+10
2020-03-18 11:35:00,1.4735228887e+10,1.4735228887e+10,3.4895496300e+10,3.4895496300e+10
2020-03-18 11:40:00,1.3478863894e+10,1.3478863894e+10,3.1402212642e+10,3.1402212642e+10
2020-03-18 11:45:00,1.4803840124e+10,1.4803840124e+10,3.1107368542e+10,3.1107368542e+10
2020-03-18 11:50:00,1.3349902304e+10,1.3349902304e+10,2.9640841509e+10,2.9640841509e+10
2020-03-18 11:55:00,1.1552931204e+10,1.1552931204e+10,3.4795243389e+10,3.4795243389e+10
2020-03-18 12:00:00,1.1566786911e+10,1.1566786911e+10,3.7578936875e+10,3.7578936875e+10
2020-03-18 12:05:00,1.3441107435e+10,1.3441107435e+10,3.6129315083e+10,3.6129315083e+10
2020-03-18 12:10:00,1.5487518491e+10,1.5487518491e+10,3.0177729457e+10,3.0177729457e+10
2020-03-18 12:15:00,1.6209225801e+10,1.6209225801e+10,2.9931044818e+10,2.9931044818e+10
2020-03-18 12:20:00,1.6869413557e+10,1.6869413557e+10,3.0734353318e+10,3.0734353318e+10
2020-03-18 12:25:00,1.8770804537e+10,1.8770804537e+10,3.4000209864e+10,3.4000209864e+10
2020-03-18 12:30:00,1.7310206215e+10,1.7310206215e+10,4.2609770673e+10,4.2609770673e+10
2020-03-18 12:35:00,1.6982145657e+10,1.6982145657e+10,4.4285983255e+10,4.4285983255e+10
2020-03-18 12:40:00,2.4630130300e+10,2.4630130300e+10,4.3691087874e+10,4.3691087874e+10
2020-03-18 12:45:00,1.9462124438e+10,1.9462124438e+10,4.0651227519e+10,4.0651227519e+10
2020-03-18 12:50:00,1.9384419252e+10,1.9384419252e+10,3.9681740434e+10,3.9681740434e+10
2020-03-18 12:55:00,2.0183332086e+10,2.0183332086e+10,4.3203908833e+10,4.3203908833e+10
2020-03-18 13:00:00,2.0469904073e+10,2.0469904073e+10,4.7667618226e+10,4.7667618226e+10
2020-03-18 13:05:00,1.9084965668e+10,1.9084965668e+10,4.5407878387e+10,4.5407878387e+10
2020-03-18 13:10:00,1.6424162121e+10,1.6424162121e+10,4.9082731118e+10,4.9082731118e+10
2020-03-18 13:15:00,1.6169144122e+10,1.6169144122e+10,4.6322793902e+10,4.6322793902e+10
2020-03-18 13:20:00,1.9642730552e+10,1.9642730552e+10,5.6285830769e+10,5.6285830769e+10
2020-03-18 13:25:00,1.8650789007e+10,1.8650789007e+10,4.7518301630e+10,4.7518301630e+10
2020-03-18 13:30:00,1.4545564171e+10,1.4545564171e+10,4.9812452307e+10,4.9812452307e+10
2020-03-18 13:35:00,1.7458469702e+10,1.7458469702e+10,4.7532881836e+10,4.7532881836e+10
