"Title:","mx2.tal.ee - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | rig-tal"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47861"
"Host ID:","123"
"Nth Percentile:","3139499172.56","|95:bits:0:current:2|"
"Nth Percentile:","233133223.14","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","1.0911323001e+08","1.0911323001e+08","1.6393706544e+08","1.6393706544e+08"
"2020-03-21 22:10:00","1.8775108594e+07","1.8775108594e+07","8.6655452317e+07","8.6655452317e+07"
"2020-03-21 22:15:00","1.8410315121e+07","1.8410315121e+07","8.4202792528e+07","8.4202792528e+07"
"2020-03-21 22:20:00","2.1897480570e+07","2.1897480570e+07","9.8251890649e+07","9.8251890649e+07"
"2020-03-21 22:25:00","1.9764640937e+07","1.9764640937e+07","1.2560985007e+08","1.2560985007e+08"
"2020-03-21 22:30:00","2.0348826546e+07","2.0348826546e+07","1.0233620424e+08","1.0233620424e+08"
"2020-03-21 22:35:00","2.2499059627e+07","2.2499059627e+07","9.4395906547e+07","9.4395906547e+07"
"2020-03-21 22:40:00","2.2644659757e+07","2.2644659757e+07","9.8709113172e+07","9.8709113172e+07"
"2020-03-21 22:45:00","2.2768770284e+07","2.2768770284e+07","9.2740714468e+07","9.2740714468e+07"
"2020-03-21 22:50:00","2.7637338020e+07","2.7637338020e+07","8.2130093453e+07","8.2130093453e+07"
"2020-03-21 22:55:00","3.1091473463e+07","3.1091473463e+07","7.7136060109e+07","7.7136060109e+07"
"2020-03-21 23:00:00","2.6436112171e+07","2.6436112171e+07","4.8648034253e+07","4.8648034253e+07"
"2020-03-21 23:05:00","2.5401925728e+07","2.5401925728e+07","4.8708307523e+07","4.8708307523e+07"
"2020-03-21 23:10:00","2.8407549389e+07","2.8407549389e+07","4.9239652251e+07","4.9239652251e+07"
"2020-03-21 23:15:00","1.0862313582e+08","1.0862313582e+08","1.3065354034e+08","1.3065354034e+08"
"2020-03-21 23:20:00","2.5494445319e+07","2.5494445319e+07","1.2244317121e+08","1.2244317121e+08"
"2020-03-21 23:25:00","2.6262098642e+07","2.6262098642e+07","5.2800703836e+07","5.2800703836e+07"
"2020-03-21 23:30:00","1.0914741834e+08","1.0914741834e+08","5.9382810271e+07","5.9382810271e+07"
"2020-03-21 23:35:00","2.2701372177e+07","2.2701372177e+07","2.4772893398e+08","2.4772893398e+08"
"2020-03-21 23:40:00","2.0234528214e+07","2.0234528214e+07","6.7914855225e+07","6.7914855225e+07"
"2020-03-21 23:45:00","2.0176688557e+09","2.0176688557e+09","4.8678056607e+07","4.8678056607e+07"
"2020-03-21 23:50:00","3.0990307933e+09","3.0990307933e+09","5.0013480930e+07","5.0013480930e+07"
"2020-03-21 23:55:00","3.0880730488e+09","3.0880730488e+09","1.0459023597e+08","1.0459023597e+08"
"2020-03-22 00:00:00","3.1012141430e+09","3.1012141430e+09","4.6486197318e+07","4.6486197318e+07"
"2020-03-22 00:05:00","3.1110904307e+09","3.1110904307e+09","3.9221791263e+07","3.9221791263e+07"
"2020-03-22 00:10:00","3.0979573682e+09","3.0979573682e+09","4.4662158142e+07","4.4662158142e+07"
"2020-03-22 00:15:00","3.0840202188e+09","3.0840202188e+09","4.2839636944e+07","4.2839636944e+07"
"2020-03-22 00:20:00","3.0954515097e+09","3.0954515097e+09","4.4525490758e+07","4.4525490758e+07"
"2020-03-22 00:25:00","3.0974321053e+09","3.0974321053e+09","5.0297873496e+07","5.0297873496e+07"
"2020-03-22 00:30:00","3.1096312863e+09","3.1096312863e+09","5.0634832478e+07","5.0634832478e+07"
"2020-03-22 00:35:00","3.1951402467e+09","3.1951402467e+09","4.6167370184e+07","4.6167370184e+07"
"2020-03-22 00:40:00","3.0844594533e+09","3.0844594533e+09","3.5412700234e+07","3.5412700234e+07"
"2020-03-22 00:45:00","3.0931887525e+09","3.0931887525e+09","5.3764625667e+07","5.3764625667e+07"
