"Title:","mx2.ath.gr - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE MIL SRF0000001 | ath-mil"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47977"
"Host ID:","188"
"Nth Percentile:","6266650126.56","|95:bits:0:current:2|"
"Nth Percentile:","7227255331.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","5.5926048216e+09","5.5926048216e+09","7.2828239326e+09","7.2828239326e+09"
"2020-03-21 22:10:00","5.7250115735e+09","5.7250115735e+09","7.0064275124e+09","7.0064275124e+09"
"2020-03-21 22:15:00","5.3056435444e+09","5.3056435444e+09","6.5554540258e+09","6.5554540258e+09"
"2020-03-21 22:20:00","5.6878506808e+09","5.6878506808e+09","6.0780478995e+09","6.0780478995e+09"
"2020-03-21 22:25:00","6.0945188144e+09","6.0945188144e+09","6.5267351194e+09","6.5267351194e+09"
"2020-03-21 22:30:00","5.3685224203e+09","5.3685224203e+09","5.3520336553e+09","5.3520336553e+09"
"2020-03-21 22:35:00","5.0908535907e+09","5.0908535907e+09","5.3201985364e+09","5.3201985364e+09"
"2020-03-21 22:40:00","5.8136420293e+09","5.8136420293e+09","4.9842625573e+09","4.9842625573e+09"
"2020-03-21 22:45:00","5.0533499439e+09","5.0533499439e+09","3.7906992515e+09","3.7906992515e+09"
"2020-03-21 22:50:00","4.9376569752e+09","4.9376569752e+09","5.9877667579e+09","5.9877667579e+09"
"2020-03-21 22:55:00","5.1206207348e+09","5.1206207348e+09","6.3949783400e+09","6.3949783400e+09"
"2020-03-21 23:00:00","4.5711258751e+09","4.5711258751e+09","5.4489424413e+09","5.4489424413e+09"
"2020-03-21 23:05:00","4.9308188330e+09","4.9308188330e+09","4.6197583613e+09","4.6197583613e+09"
"2020-03-21 23:10:00","4.1380371954e+09","4.1380371954e+09","4.9850372152e+09","4.9850372152e+09"
"2020-03-21 23:15:00","4.8697385278e+09","4.8697385278e+09","5.3180764199e+09","5.3180764199e+09"
"2020-03-21 23:20:00","4.1435674462e+09","4.1435674462e+09","6.0317711766e+09","6.0317711766e+09"
"2020-03-21 23:25:00","4.3143394231e+09","4.3143394231e+09","5.6481201842e+09","5.6481201842e+09"
"2020-03-21 23:30:00","4.7475705901e+09","4.7475705901e+09","3.8904062249e+09","3.8904062249e+09"
"2020-03-21 23:35:00","4.8470088885e+09","4.8470088885e+09","4.0372733378e+09","4.0372733378e+09"
"2020-03-21 23:40:00","4.8384320938e+09","4.8384320938e+09","5.1542290914e+09","5.1542290914e+09"
"2020-03-21 23:45:00","4.7585528501e+09","4.7585528501e+09","4.3811877260e+09","4.3811877260e+09"
"2020-03-21 23:50:00","3.6990629955e+09","3.6990629955e+09","5.8760734674e+09","5.8760734674e+09"
"2020-03-21 23:55:00","3.3057125084e+09","3.3057125084e+09","6.9685859885e+09","6.9685859885e+09"
"2020-03-22 00:00:00","3.3719537295e+09","3.3719537295e+09","5.1912893056e+09","5.1912893056e+09"
"2020-03-22 00:05:00","4.3822563286e+09","4.3822563286e+09","3.9317633484e+09","3.9317633484e+09"
"2020-03-22 00:10:00","3.6053024678e+09","3.6053024678e+09","3.5738852357e+09","3.5738852357e+09"
"2020-03-22 00:15:00","3.5656671986e+09","3.5656671986e+09","4.0285592335e+09","4.0285592335e+09"
"2020-03-22 00:20:00","4.3745043353e+09","4.3745043353e+09","2.9601727333e+09","2.9601727333e+09"
"2020-03-22 00:25:00","3.1430025852e+09","3.1430025852e+09","3.3414126269e+09","3.3414126269e+09"
"2020-03-22 00:30:00","4.2585710172e+09","4.2585710172e+09","3.0638476025e+09","3.0638476025e+09"
"2020-03-22 00:35:00","2.9296340062e+09","2.9296340062e+09","2.2971191256e+09","2.2971191256e+09"
"2020-03-22 00:40:00","2.9196696071e+09","2.9196696071e+09","3.3020712624e+09","3.3020712624e+09"
