"Title:","mx1.kau.lt - Traffic - ae5.0 - SRV_GLOBAL INFRASTRUCTURE BACKBONE POZ SRF0000001 | kau-poz"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","526"
"Host ID:","131"
"Nth Percentile:","985918398.08","|95:bits:0:current:2|"
"Nth Percentile:","591079102.38","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","8.2466468247e+08","8.2466468247e+08","3.4596628846e+08","3.4596628846e+08"
"2020-03-21 22:10:00","7.7708777234e+08","7.7708777234e+08","3.4907535674e+08","3.4907535674e+08"
"2020-03-21 22:15:00","8.1982795029e+08","8.1982795029e+08","3.4049318498e+08","3.4049318498e+08"
"2020-03-21 22:20:00","7.8509086709e+08","7.8509086709e+08","3.7297606938e+08","3.7297606938e+08"
"2020-03-21 22:25:00","7.4512768172e+08","7.4512768172e+08","3.0792839980e+08","3.0792839980e+08"
"2020-03-21 22:30:00","7.2072654035e+08","7.2072654035e+08","3.9283519599e+08","3.9283519599e+08"
"2020-03-21 22:35:00","6.9463885191e+08","6.9463885191e+08","4.6083983963e+08","4.6083983963e+08"
"2020-03-21 22:40:00","6.9646134065e+08","6.9646134065e+08","4.0942256344e+08","4.0942256344e+08"
"2020-03-21 22:45:00","7.7672990010e+08","7.7672990010e+08","3.9783076976e+08","3.9783076976e+08"
"2020-03-21 22:50:00","7.4533800411e+08","7.4533800411e+08","4.1307878915e+08","4.1307878915e+08"
"2020-03-21 22:55:00","7.6600429755e+08","7.6600429755e+08","3.1659052753e+08","3.1659052753e+08"
"2020-03-21 23:00:00","6.4351922166e+08","6.4351922166e+08","3.0188223453e+08","3.0188223453e+08"
"2020-03-21 23:05:00","7.0455781335e+08","7.0455781335e+08","3.0165162091e+08","3.0165162091e+08"
"2020-03-21 23:10:00","7.0277430270e+08","7.0277430270e+08","3.6350051398e+08","3.6350051398e+08"
"2020-03-21 23:15:00","6.9410864573e+08","6.9410864573e+08","3.1419335863e+08","3.1419335863e+08"
"2020-03-21 23:20:00","7.3842230714e+08","7.3842230714e+08","3.7814242837e+08","3.7814242837e+08"
"2020-03-21 23:25:00","6.6746179935e+08","6.6746179935e+08","2.8496965222e+08","2.8496965222e+08"
"2020-03-21 23:30:00","7.2333246032e+08","7.2333246032e+08","2.4818622545e+08","2.4818622545e+08"
"2020-03-21 23:35:00","6.2625270903e+08","6.2625270903e+08","2.2145593320e+08","2.2145593320e+08"
"2020-03-21 23:40:00","6.1166367420e+08","6.1166367420e+08","2.8147573606e+08","2.8147573606e+08"
"2020-03-21 23:45:00","6.2079378212e+08","6.2079378212e+08","3.5576479192e+08","3.5576479192e+08"
"2020-03-21 23:50:00","6.1659194970e+08","6.1659194970e+08","3.6206634381e+08","3.6206634381e+08"
"2020-03-21 23:55:00","6.1957033324e+08","6.1957033324e+08","3.1879144604e+08","3.1879144604e+08"
"2020-03-22 00:00:00","5.2684918076e+08","5.2684918076e+08","4.3045890354e+08","4.3045890354e+08"
"2020-03-22 00:05:00","4.7795293006e+08","4.7795293006e+08","3.9054263540e+08","3.9054263540e+08"
"2020-03-22 00:10:00","5.3862690393e+08","5.3862690393e+08","4.4145310510e+08","4.4145310510e+08"
"2020-03-22 00:15:00","5.6535566814e+08","5.6535566814e+08","4.2256285568e+08","4.2256285568e+08"
"2020-03-22 00:20:00","5.3725083554e+08","5.3725083554e+08","3.6699698761e+08","3.6699698761e+08"
"2020-03-22 00:25:00","6.0439599092e+08","6.0439599092e+08","3.9106174665e+08","3.9106174665e+08"
"2020-03-22 00:30:00","5.4942749466e+08","5.4942749466e+08","3.6195468023e+08","3.6195468023e+08"
"2020-03-22 00:35:00","5.6992798856e+08","5.6992798856e+08","3.2573315094e+08","3.2573315094e+08"
"2020-03-22 00:40:00","5.6301908853e+08","5.6301908853e+08","3.7001326062e+08","3.7001326062e+08"
"2020-03-22 00:45:00","5.0149490548e+08","5.0149490548e+08","4.8217396591e+08","4.8217396591e+08"
"2020-03-22 00:50:00","5.3634594903e+08","5.3634594903e+08","3.0216648766e+08","3.0216648766e+08"
"2020-03-22 00:55:00","4.8652686707e+08","4.8652686707e+08","4.7968833440e+08","4.7968833440e+08"
"2020-03-22 01:00:00","5.2626932640e+08","5.2626932640e+08","4.0944589955e+08","4.0944589955e+08"
"2020-03-22 01:05:00","6.0400091436e+08","6.0400091436e+08","4.6879772561e+08","4.6879772561e+08"
"2020-03-22 01:10:00","6.6217665942e+08","6.6217665942e+08","5.1725856390e+08","5.1725856390e+08"
