"Title:","mx1.poz.pl - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | poz-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47877"
"Host ID:","178"
"Nth Percentile:","877762450.32","|95:bits:0:current:2|"
"Nth Percentile:","194600832.53","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","5.9891680426e+08","5.9891680426e+08","1.9132705835e+07","1.9132705835e+07"
"2020-03-21 22:10:00","6.7579700430e+08","6.7579700430e+08","1.9208632761e+07","1.9208632761e+07"
"2020-03-21 22:15:00","7.3140723266e+08","7.3140723266e+08","1.8333563228e+07","1.8333563228e+07"
"2020-03-21 22:20:00","5.4443140262e+08","5.4443140262e+08","3.4244878770e+07","3.4244878770e+07"
"2020-03-21 22:25:00","5.5145554283e+08","5.5145554283e+08","2.4678984431e+07","2.4678984431e+07"
"2020-03-21 22:30:00","5.5704246461e+08","5.5704246461e+08","1.8697128920e+07","1.8697128920e+07"
"2020-03-21 22:35:00","5.6527734521e+08","5.6527734521e+08","1.4854337771e+07","1.4854337771e+07"
"2020-03-21 22:40:00","5.1406792548e+08","5.1406792548e+08","1.5135615311e+07","1.5135615311e+07"
"2020-03-21 22:45:00","5.3749470468e+08","5.3749470468e+08","1.4764013948e+07","1.4764013948e+07"
"2020-03-21 22:50:00","4.9811875947e+08","4.9811875947e+08","1.8910353689e+07","1.8910353689e+07"
"2020-03-21 22:55:00","5.5447217434e+08","5.5447217434e+08","1.9547986699e+07","1.9547986699e+07"
"2020-03-21 23:00:00","6.1088611615e+08","6.1088611615e+08","7.6535305277e+07","7.6535305277e+07"
"2020-03-21 23:05:00","5.2111688228e+08","5.2111688228e+08","4.6362641635e+08","4.6362641635e+08"
"2020-03-21 23:10:00","4.5874302413e+08","4.5874302413e+08","1.7061427315e+07","1.7061427315e+07"
"2020-03-21 23:15:00","4.4873421376e+08","4.4873421376e+08","1.5467809655e+07","1.5467809655e+07"
"2020-03-21 23:20:00","6.1176446488e+08","6.1176446488e+08","2.0481986551e+07","2.0481986551e+07"
