"Title:","mx1.mil2.it - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE MIL2 SRF0000001 | MIL2-VIE  | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","52905"
"Host ID:","194"
"Nth Percentile:","9730922360.8","|95:bits:0:current:2|"
"Nth Percentile:","18342825457.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","5.5915516912e+09","5.5915516912e+09","1.6316143053e+10","1.6316143053e+10"
"2020-03-21 22:10:00","5.3379232773e+09","5.3379232773e+09","1.5138199959e+10","1.5138199959e+10"
"2020-03-21 22:15:00","5.7810500970e+09","5.7810500970e+09","1.6857056070e+10","1.6857056070e+10"
"2020-03-21 22:20:00","5.8610815402e+09","5.8610815402e+09","1.4971553669e+10","1.4971553669e+10"
"2020-03-21 22:25:00","6.0938936720e+09","6.0938936720e+09","1.3098160954e+10","1.3098160954e+10"
"2020-03-21 22:30:00","6.1823977331e+09","6.1823977331e+09","1.2497981412e+10","1.2497981412e+10"
"2020-03-21 22:35:00","7.4737046097e+09","7.4737046097e+09","1.3331071146e+10","1.3331071146e+10"
"2020-03-21 22:40:00","6.8724896020e+09","6.8724896020e+09","1.2610812320e+10","1.2610812320e+10"
"2020-03-21 22:45:00","6.0019621274e+09","6.0019621274e+09","1.0331403114e+10","1.0331403114e+10"
"2020-03-21 22:50:00","4.7087586465e+09","4.7087586465e+09","9.3375697457e+09","9.3375697457e+09"
"2020-03-21 22:55:00","2.5655815172e+09","2.5655815172e+09","9.6090402200e+09","9.6090402200e+09"
"2020-03-21 23:00:00","5.6409899377e+09","5.6409899377e+09","8.1924341662e+09","8.1924341662e+09"
"2020-03-21 23:05:00","3.2090048619e+09","3.2090048619e+09","7.6849631365e+09","7.6849631365e+09"
"2020-03-21 23:10:00","3.3061554163e+09","3.3061554163e+09","7.9405643338e+09","7.9405643338e+09"
"2020-03-21 23:15:00","3.3775046873e+09","3.3775046873e+09","7.7384327681e+09","7.7384327681e+09"
"2020-03-21 23:20:00","4.0189614156e+09","4.0189614156e+09","7.4414496027e+09","7.4414496027e+09"
"2020-03-21 23:25:00","6.2047403985e+09","6.2047403985e+09","7.8271395861e+09","7.8271395861e+09"
"2020-03-21 23:30:00","5.6390715180e+09","5.6390715180e+09","7.4855336850e+09","7.4855336850e+09"
"2020-03-21 23:35:00","3.7087772704e+09","3.7087772704e+09","6.7357404071e+09","6.7357404071e+09"
"2020-03-21 23:40:00","6.0852679754e+09","6.0852679754e+09","9.2303502843e+09","9.2303502843e+09"
"2020-03-21 23:45:00","4.9989024955e+09","4.9989024955e+09","8.4842367510e+09","8.4842367510e+09"
"2020-03-21 23:50:00","4.0474072926e+09","4.0474072926e+09","7.4214547794e+09","7.4214547794e+09"
"2020-03-21 23:55:00","6.0653107284e+09","6.0653107284e+09","7.2190931954e+09","7.2190931954e+09"
"2020-03-22 00:00:00","5.3039498948e+09","5.3039498948e+09","6.8403855218e+09","6.8403855218e+09"
"2020-03-22 00:05:00","4.5640205906e+09","4.5640205906e+09","7.5192637791e+09","7.5192637791e+09"
"2020-03-22 00:10:00","4.9453919097e+09","4.9453919097e+09","7.0967163563e+09","7.0967163563e+09"
"2020-03-22 00:15:00","3.3360660117e+09","3.3360660117e+09","7.4570952171e+09","7.4570952171e+09"
"2020-03-22 00:20:00","3.1633366232e+09","3.1633366232e+09","7.0085330464e+09","7.0085330464e+09"
"2020-03-22 00:25:00","2.5529838974e+09","2.5529838974e+09","6.4404938482e+09","6.4404938482e+09"
"2020-03-22 00:30:00","2.7731516917e+09","2.7731516917e+09","7.2480373126e+09","7.2480373126e+09"
"2020-03-22 00:35:00","5.1058930344e+09","5.1058930344e+09","7.0242036083e+09","7.0242036083e+09"
"2020-03-22 00:40:00","6.6382567179e+09","6.6382567179e+09","7.0861076189e+09","7.0861076189e+09"
"2020-03-22 00:45:00","6.6552051667e+09","6.6552051667e+09","6.2593287495e+09","6.2593287495e+09"
"2020-03-22 00:50:00","6.8380384039e+09","6.8380384039e+09","6.4240193636e+09","6.4240193636e+09"
"2020-03-22 00:55:00","7.5020337839e+09","7.5020337839e+09","6.7607362572e+09","6.7607362572e+09"
"2020-03-22 01:00:00","6.0414914020e+09","6.0414914020e+09","6.9285876887e+09","6.9285876887e+09"
"2020-03-22 01:05:00","3.8419950576e+09","3.8419950576e+09","6.6257278857e+09","6.6257278857e+09"
"2020-03-22 01:10:00","2.6189675924e+09","2.6189675924e+09","6.2419614002e+09","6.2419614002e+09"
"2020-03-22 01:15:00","5.5277278634e+09","5.5277278634e+09","6.3653733734e+09","6.3653733734e+09"
