"Title:","mx1.lon.uk - Traffic - ae6 - | LAG INFRASTRUCTURE BACKBONE LON2 SRF0000001 | lon-lon2 | Coriant G30 300G |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","46031"
"Host ID:","156"
"Nth Percentile:","74147906352.8","|95:bits:0:current:2|"
"Nth Percentile:","71279540858.4","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","3.7884662763e+10","3.7884662763e+10","6.1766338405e+10","6.1766338405e+10"
"2020-03-21 22:10:00","4.6661578337e+10","4.6661578337e+10","7.1279540858e+10","7.1279540858e+10"
"2020-03-21 22:15:00","3.9585837392e+10","3.9585837392e+10","6.3093229396e+10","6.3093229396e+10"
"2020-03-21 22:20:00","4.0751117817e+10","4.0751117817e+10","5.9403606672e+10","5.9403606672e+10"
"2020-03-21 22:25:00","5.0416017159e+10","5.0416017159e+10","6.1903086694e+10","6.1903086694e+10"
"2020-03-21 22:30:00","4.1807228439e+10","4.1807228439e+10","5.7392407373e+10","5.7392407373e+10"
"2020-03-21 22:35:00","4.3205507333e+10","4.3205507333e+10","5.8352668784e+10","5.8352668784e+10"
"2020-03-21 22:40:00","4.4036294031e+10","4.4036294031e+10","6.1849131729e+10","6.1849131729e+10"
"2020-03-21 22:45:00","3.9255091702e+10","3.9255091702e+10","6.1953759461e+10","6.1953759461e+10"
"2020-03-21 22:50:00","4.3352097666e+10","4.3352097666e+10","7.3454011295e+10","7.3454011295e+10"
"2020-03-21 22:55:00","4.2571978042e+10","4.2571978042e+10","6.1507847910e+10","6.1507847910e+10"
"2020-03-21 23:00:00","4.5402047251e+10","4.5402047251e+10","6.0035060209e+10","6.0035060209e+10"
"2020-03-21 23:05:00","3.8376034450e+10","3.8376034450e+10","5.4687589581e+10","5.4687589581e+10"
"2020-03-21 23:10:00","6.5443789036e+10","6.5443789036e+10","5.4912133777e+10","5.4912133777e+10"
"2020-03-21 23:15:00","4.4687018778e+10","4.4687018778e+10","5.4101647762e+10","5.4101647762e+10"
"2020-03-21 23:20:00","3.8551762958e+10","3.8551762958e+10","5.7726183499e+10","5.7726183499e+10"
"2020-03-21 23:25:00","4.2482908022e+10","4.2482908022e+10","4.4848576006e+10","4.4848576006e+10"
"2020-03-21 23:30:00","3.8649647256e+10","3.8649647256e+10","4.7858725450e+10","4.7858725450e+10"
"2020-03-21 23:35:00","4.7967353967e+10","4.7967353967e+10","5.1022281462e+10","5.1022281462e+10"
"2020-03-21 23:40:00","3.9478915149e+10","3.9478915149e+10","4.5643235510e+10","4.5643235510e+10"
"2020-03-21 23:45:00","3.5033853919e+10","3.5033853919e+10","5.4646759655e+10","5.4646759655e+10"
"2020-03-21 23:50:00","5.6467378869e+10","5.6467378869e+10","6.9903505680e+10","6.9903505680e+10"
"2020-03-21 23:55:00","5.1865548955e+10","5.1865548955e+10","7.0063364635e+10","7.0063364635e+10"
"2020-03-22 00:00:00","5.5044595863e+10","5.5044595863e+10","5.8481471295e+10","5.8481471295e+10"
