"Title:","mx2.bra.sk - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | bra-bud"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","8630"
"Host ID:","190"
"Nth Percentile:","33741693.2","|95:bits:0:current:2|"
"Nth Percentile:","455522051.46","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","8.8536563283e+06","8.8536563283e+06","2.9513668285e+08","2.9513668285e+08"
"2020-03-21 22:10:00","8.8260157371e+06","8.8260157371e+06","2.7077796323e+08","2.7077796323e+08"
"2020-03-21 22:15:00","6.5941424099e+06","6.5941424099e+06","1.7801409061e+08","1.7801409061e+08"
"2020-03-21 22:20:00","8.0032153853e+06","8.0032153853e+06","1.8215109617e+08","1.8215109617e+08"
"2020-03-21 22:25:00","1.0020753537e+07","1.0020753537e+07","1.7475332151e+08","1.7475332151e+08"
"2020-03-21 22:30:00","4.5267109120e+06","4.5267109120e+06","1.7777324743e+08","1.7777324743e+08"
"2020-03-21 22:35:00","4.9393550722e+06","4.9393550722e+06","3.2416230861e+08","3.2416230861e+08"
"2020-03-21 22:40:00","4.2598593698e+06","4.2598593698e+06","2.0487898901e+08","2.0487898901e+08"
"2020-03-21 22:45:00","3.2144961206e+06","3.2144961206e+06","1.6261607523e+08","1.6261607523e+08"
"2020-03-21 22:50:00","1.5051402273e+07","1.5051402273e+07","2.9228182169e+08","2.9228182169e+08"
"2020-03-21 22:55:00","3.1035550293e+06","3.1035550293e+06","3.2531430864e+08","3.2531430864e+08"
"2020-03-21 23:00:00","3.4501074699e+06","3.4501074699e+06","2.5043752049e+08","2.5043752049e+08"
"2020-03-21 23:05:00","8.4246600037e+06","8.4246600037e+06","1.3676855566e+08","1.3676855566e+08"
"2020-03-21 23:10:00","8.2963982461e+06","8.2963982461e+06","1.2380286425e+08","1.2380286425e+08"
"2020-03-21 23:15:00","1.0166177110e+07","1.0166177110e+07","2.7869582145e+08","2.7869582145e+08"
"2020-03-21 23:20:00","5.3282111149e+06","5.3282111149e+06","1.0588155920e+08","1.0588155920e+08"
"2020-03-21 23:25:00","6.0322485621e+06","6.0322485621e+06","9.9685919539e+07","9.9685919539e+07"
"2020-03-21 23:30:00","5.0574091152e+06","5.0574091152e+06","1.1048712531e+08","1.1048712531e+08"
"2020-03-21 23:35:00","1.5143537879e+07","1.5143537879e+07","9.7484860079e+07","9.7484860079e+07"
"2020-03-21 23:40:00","5.5750057317e+06","5.5750057317e+06","1.0611784699e+08","1.0611784699e+08"
"2020-03-21 23:45:00","3.7538860976e+06","3.7538860976e+06","9.5727737890e+07","9.5727737890e+07"
"2020-03-21 23:50:00","3.2105739077e+06","3.2105739077e+06","1.0836040875e+08","1.0836040875e+08"
"2020-03-21 23:55:00","5.0419049885e+06","5.0419049885e+06","1.1957535827e+08","1.1957535827e+08"
"2020-03-22 00:00:00","3.6267622971e+06","3.6267622971e+06","1.0849378426e+08","1.0849378426e+08"
"2020-03-22 00:05:00","4.2716317396e+06","4.2716317396e+06","9.4678259005e+07","9.4678259005e+07"
"2020-03-22 00:10:00","2.8212155399e+07","2.8212155399e+07","9.2069928128e+07","9.2069928128e+07"
"2020-03-22 00:15:00","1.4485064726e+07","1.4485064726e+07","8.1202178290e+07","8.1202178290e+07"
"2020-03-22 00:20:00","3.6312090560e+06","3.6312090560e+06","6.0031452776e+07","6.0031452776e+07"
"2020-03-22 00:25:00","2.9468218384e+06","2.9468218384e+06","9.1818962740e+07","9.1818962740e+07"
"2020-03-22 00:30:00","2.8980643003e+06","2.8980643003e+06","1.0574309219e+08","1.0574309219e+08"
"2020-03-22 00:35:00","2.6526230635e+06","2.6526230635e+06","1.0229606245e+08","1.0229606245e+08"
"2020-03-22 00:40:00","2.8033677416e+06","2.8033677416e+06","1.0792960696e+08","1.0792960696e+08"
"2020-03-22 00:45:00","2.8025639653e+06","2.8025639653e+06","1.2957462733e+08","1.2957462733e+08"
"2020-03-22 00:50:00","1.9835481669e+06","1.9835481669e+06","1.1678217118e+08","1.1678217118e+08"
"2020-03-22 00:55:00","1.6780389232e+06","1.6780389232e+06","1.0353543831e+08","1.0353543831e+08"
"2020-03-22 01:00:00","1.9077839757e+06","1.9077839757e+06","1.0422370918e+08","1.0422370918e+08"
"2020-03-22 01:05:00","2.5474244392e+06","2.5474244392e+06","2.0839328453e+08","2.0839328453e+08"
"2020-03-22 01:10:00","2.2435285979e+06","2.2435285979e+06","2.1870897729e+08","2.1870897729e+08"
"2020-03-22 01:15:00","9.7305945280e+06","9.7305945280e+06","2.3330149094e+08","2.3330149094e+08"
"2020-03-22 01:20:00","1.3727370118e+07","1.3727370118e+07","2.4376919748e+08","2.4376919748e+08"
"2020-03-22 01:25:00","4.4207811688e+06","4.4207811688e+06","2.4048452530e+08","2.4048452530e+08"
"2020-03-22 01:30:00","3.8984373771e+06","3.8984373771e+06","2.7511706048e+08","2.7511706048e+08"
"2020-03-22 01:35:00","4.1748717245e+06","4.1748717245e+06","3.2247001482e+08","3.2247001482e+08"
"2020-03-22 01:40:00","2.9620996685e+06","2.9620996685e+06","2.7392365168e+08","2.7392365168e+08"
"2020-03-22 01:45:00","1.7201466312e+06","1.7201466312e+06","2.3773327898e+08","2.3773327898e+08"
"2020-03-22 01:50:00","2.4376740376e+06","2.4376740376e+06","2.1313003047e+08","2.1313003047e+08"
"2020-03-22 01:55:00","1.7710323645e+06","1.7710323645e+06","2.0930544170e+08","2.0930544170e+08"
"2020-03-22 02:00:00","2.5793785965e+06","2.5793785965e+06","2.1387104840e+08","2.1387104840e+08"
"2020-03-22 02:05:00","3.6420259456e+06","3.6420259456e+06","2.0609771756e+08","2.0609771756e+08"
"2020-03-22 02:10:00","2.5205737027e+06","2.5205737027e+06","1.7974389773e+08","1.7974389773e+08"
"2020-03-22 02:15:00","2.3931578136e+06","2.3931578136e+06","1.5763221090e+08","1.5763221090e+08"
"2020-03-22 02:20:00","4.2120437941e+06","4.2120437941e+06","1.3786938543e+08","1.3786938543e+08"
"2020-03-22 02:25:00","4.2710986457e+06","4.2710986457e+06","1.2687875131e+08","1.2687875131e+08"
"2020-03-22 02:30:00","3.4030606767e+07","3.4030606767e+07","1.0781649838e+08","1.0781649838e+08"
"2020-03-22 02:35:00","1.9385113676e+07","1.9385113676e+07","1.9454270262e+08","1.9454270262e+08"
"2020-03-22 02:40:00","7.5872099213e+06","7.5872099213e+06","1.8376093420e+08","1.8376093420e+08"
"2020-03-22 02:45:00","6.6279112331e+06","6.6279112331e+06","2.2927758651e+08","2.2927758651e+08"
"2020-03-22 02:50:00","1.3271487938e+07","1.3271487938e+07","2.6360524853e+08","2.6360524853e+08"
"2020-03-22 02:55:00","4.7215234092e+06","4.7215234092e+06","3.3936238182e+08","3.3936238182e+08"
"2020-03-22 03:00:00","1.5802040513e+07","1.5802040513e+07","4.1694884171e+08","4.1694884171e+08"
"2020-03-22 03:05:00","2.5243221403e+08","2.5243221403e+08","4.5552205145e+08","4.5552205145e+08"
"2020-03-22 03:10:00","3.8093353681e+06","3.8093353681e+06","4.5377407848e+08","4.5377407848e+08"
"2020-03-22 03:15:00","1.1346783211e+07","1.1346783211e+07","4.4364619692e+08","4.4364619692e+08"
"2020-03-22 03:20:00","1.7340727561e+07","1.7340727561e+07","4.2038456840e+08","4.2038456840e+08"
"2020-03-22 03:25:00","1.1765548626e+07","1.1765548626e+07","4.8035085903e+08","4.8035085903e+08"
"2020-03-22 03:30:00","6.8399262668e+06","6.8399262668e+06","4.4480828540e+08","4.4480828540e+08"
"2020-03-22 03:35:00","1.2590559868e+07","1.2590559868e+07","4.2382100011e+08","4.2382100011e+08"
"2020-03-22 03:40:00","1.4604576558e+06","1.4604576558e+06","3.7795981550e+08","3.7795981550e+08"
"2020-03-22 03:45:00","1.8137761064e+06","1.8137761064e+06","3.0221780361e+08","3.0221780361e+08"
"2020-03-22 03:50:00","2.1078997608e+06","2.1078997608e+06","2.6826441500e+08","2.6826441500e+08"
"2020-03-22 03:55:00","1.4377428812e+07","1.4377428812e+07","1.4202260180e+08","1.4202260180e+08"
"2020-03-22 04:00:00","5.7575527552e+06","5.7575527552e+06","8.0475625535e+07","8.0475625535e+07"
"2020-03-22 04:05:00","1.9321188285e+06","1.9321188285e+06","6.9293430945e+07","6.9293430945e+07"
"2020-03-22 04:10:00","1.7539322791e+07","1.7539322791e+07","9.4086730913e+07","9.4086730913e+07"
"2020-03-22 04:15:00","2.0645504642e+07","2.0645504642e+07","9.8023933431e+07","9.8023933431e+07"
"2020-03-22 04:20:00","2.8434658746e+06","2.8434658746e+06","1.1112130832e+08","1.1112130832e+08"
"2020-03-22 04:25:00","9.5659365544e+06","9.5659365544e+06","1.0237910294e+08","1.0237910294e+08"
"2020-03-22 04:30:00","1.1707693739e+07","1.1707693739e+07","1.2534427562e+08","1.2534427562e+08"
"2020-03-22 04:35:00","1.9915300501e+06","1.9915300501e+06","8.7942683648e+07","8.7942683648e+07"
"2020-03-22 04:40:00","2.2083126538e+06","2.2083126538e+06","1.0850723375e+08","1.0850723375e+08"
"2020-03-22 04:45:00","1.9019314303e+06","1.9019314303e+06","9.4528545052e+07","9.4528545052e+07"
"2020-03-22 04:50:00","1.1034099443e+06","1.1034099443e+06","1.3505626656e+08","1.3505626656e+08"
"2020-03-22 04:55:00","1.1478562080e+08","1.1478562080e+08","8.5968991869e+07","8.5968991869e+07"
"2020-03-22 05:00:00","3.0759295634e+07","3.0759295634e+07","1.0137712597e+08","1.0137712597e+08"
"2020-03-22 05:05:00","2.9882803621e+06","2.9882803621e+06","1.2329033490e+08","1.2329033490e+08"
"2020-03-22 05:10:00","1.7895696006e+06","1.7895696006e+06","8.7859738055e+07","8.7859738055e+07"
"2020-03-22 05:15:00","1.7665372905e+06","1.7665372905e+06","4.5544870605e+07","4.5544870605e+07"
"2020-03-22 05:20:00","1.4572881708e+06","1.4572881708e+06","4.8324096538e+07","4.8324096538e+07"
"2020-03-22 05:25:00","1.6787614049e+06","1.6787614049e+06","5.4003350628e+07","5.4003350628e+07"
"2020-03-22 05:30:00","3.3351505387e+06","3.3351505387e+06","5.1823362113e+07","5.1823362113e+07"
"2020-03-22 05:35:00","3.1018491909e+06","3.1018491909e+06","1.3470048841e+08","1.3470048841e+08"
"2020-03-22 05:40:00","3.2477871929e+06","3.2477871929e+06","4.9976006240e+07","4.9976006240e+07"
"2020-03-22 05:45:00","1.8824728627e+06","1.8824728627e+06","3.6415347361e+07","3.6415347361e+07"
"2020-03-22 05:50:00","2.5642161649e+06","2.5642161649e+06","3.5935555165e+07","3.5935555165e+07"
"2020-03-22 05:55:00","2.3130724992e+06","2.3130724992e+06","8.1154192046e+07","8.1154192046e+07"
"2020-03-22 06:00:00","1.6157663600e+06","1.6157663600e+06","2.0032485722e+07","2.0032485722e+07"
"2020-03-22 06:05:00","2.3746992512e+06","2.3746992512e+06","2.4620514824e+07","2.4620514824e+07"
"2020-03-22 06:10:00","2.8151463233e+06","2.8151463233e+06","1.9441056009e+07","1.9441056009e+07"
"2020-03-22 06:15:00","2.4738397818e+06","2.4738397818e+06","1.8733386761e+07","1.8733386761e+07"
"2020-03-22 06:20:00","2.1766238083e+06","2.1766238083e+06","2.3916801310e+07","2.3916801310e+07"
"2020-03-22 06:25:00","2.5957445934e+06","2.5957445934e+06","2.7120404764e+07","2.7120404764e+07"
"2020-03-22 06:30:00","5.7108139094e+06","5.7108139094e+06","6.6132141938e+07","6.6132141938e+07"
"2020-03-22 06:35:00","2.5313091244e+06","2.5313091244e+06","2.6499612414e+07","2.6499612414e+07"
"2020-03-22 06:40:00","1.8332306547e+06","1.8332306547e+06","2.9096418078e+07","2.9096418078e+07"
"2020-03-22 06:45:00","1.8496833509e+06","1.8496833509e+06","2.6725922020e+07","2.6725922020e+07"
"2020-03-22 06:50:00","2.6822883467e+06","2.6822883467e+06","4.2046896395e+07","4.2046896395e+07"
"2020-03-22 06:55:00","2.9097333693e+06","2.9097333693e+06","3.5177064191e+07","3.5177064191e+07"
"2020-03-22 07:00:00","2.5545326347e+06","2.5545326347e+06","3.4245817941e+07","3.4245817941e+07"
"2020-03-22 07:05:00","3.3824391608e+06","3.3824391608e+06","3.1508272650e+07","3.1508272650e+07"
"2020-03-22 07:10:00","1.9414330724e+06","1.9414330724e+06","3.3278810119e+07","3.3278810119e+07"
"2020-03-22 07:15:00","2.6229850559e+06","2.6229850559e+06","3.7385328599e+07","3.7385328599e+07"
"2020-03-22 07:20:00","1.8402862317e+06","1.8402862317e+06","3.8565502899e+07","3.8565502899e+07"
"2020-03-22 07:25:00","3.1796801981e+06","3.1796801981e+06","5.8442142911e+07","5.8442142911e+07"
"2020-03-22 07:30:00","3.3909564873e+06","3.3909564873e+06","5.6698070794e+07","5.6698070794e+07"
"2020-03-22 07:35:00","2.9880609455e+06","2.9880609455e+06","3.6457900804e+07","3.6457900804e+07"
"2020-03-22 07:40:00","2.3126873261e+06","2.3126873261e+06","4.0774510791e+07","4.0774510791e+07"
"2020-03-22 07:45:00","2.6830142717e+06","2.6830142717e+06","3.8566387943e+07","3.8566387943e+07"
"2020-03-22 07:50:00","4.9460798152e+06","4.9460798152e+06","3.1603207098e+07","3.1603207098e+07"
"2020-03-22 07:55:00","7.0559248139e+06","7.0559248139e+06","1.9201848357e+07","1.9201848357e+07"
"2020-03-22 08:00:00","8.9421473867e+06","8.9421473867e+06","1.8156043258e+07","1.8156043258e+07"
"2020-03-22 08:05:00","6.3545555128e+06","6.3545555128e+06","2.7200004197e+07","2.7200004197e+07"
"2020-03-22 08:10:00","9.4156551728e+06","9.4156551728e+06","2.7030678153e+07","2.7030678153e+07"
"2020-03-22 08:15:00","2.7642766267e+06","2.7642766267e+06","2.8365186603e+07","2.8365186603e+07"
"2020-03-22 08:20:00","3.7455040141e+06","3.7455040141e+06","2.7141708078e+07","2.7141708078e+07"
"2020-03-22 08:25:00","5.7922549371e+06","5.7922549371e+06","3.7852794861e+07","3.7852794861e+07"
"2020-03-22 08:30:00","5.5300746227e+06","5.5300746227e+06","4.0427453399e+07","4.0427453399e+07"
"2020-03-22 08:35:00","4.1417229059e+06","4.1417229059e+06","9.6339098008e+07","9.6339098008e+07"
"2020-03-22 08:40:00","4.6345872232e+06","4.6345872232e+06","4.3577280201e+07","4.3577280201e+07"
"2020-03-22 08:45:00","3.5349281029e+06","3.5349281029e+06","2.7875867858e+07","2.7875867858e+07"
"2020-03-22 08:50:00","3.8310740392e+06","3.8310740392e+06","2.9187040714e+07","2.9187040714e+07"
"2020-03-22 08:55:00","6.0233500061e+06","6.0233500061e+06","8.9678494223e+07","8.9678494223e+07"
"2020-03-22 09:00:00","4.7951919589e+06","4.7951919589e+06","1.2604142480e+08","1.2604142480e+08"
"2020-03-22 09:05:00","3.5904506848e+06","3.5904506848e+06","2.8859568099e+07","2.8859568099e+07"
"2020-03-22 09:10:00","1.0670088660e+07","1.0670088660e+07","4.4915817921e+07","4.4915817921e+07"
"2020-03-22 09:15:00","1.0457592288e+07","1.0457592288e+07","3.4520292093e+07","3.4520292093e+07"
"2020-03-22 09:20:00","9.8440652661e+06","9.8440652661e+06","3.0267050375e+07","3.0267050375e+07"
"2020-03-22 09:25:00","1.0844858160e+07","1.0844858160e+07","3.7919753369e+07","3.7919753369e+07"
"2020-03-22 09:30:00","9.1314418022e+06","9.1314418022e+06","4.5293452905e+07","4.5293452905e+07"
"2020-03-22 09:35:00","2.0022008787e+07","2.0022008787e+07","4.2408226866e+07","4.2408226866e+07"
"2020-03-22 09:40:00","1.4586896843e+07","1.4586896843e+07","5.2733952999e+07","5.2733952999e+07"
"2020-03-22 09:45:00","6.8638232485e+06","6.8638232485e+06","3.8770103573e+07","3.8770103573e+07"
"2020-03-22 09:50:00","6.0578530003e+06","6.0578530003e+06","6.3310015967e+07","6.3310015967e+07"
"2020-03-22 09:55:00","5.2397257400e+06","5.2397257400e+06","5.1788379575e+07","5.1788379575e+07"
"2020-03-22 10:00:00","4.8361078203e+06","4.8361078203e+06","4.8645446771e+07","4.8645446771e+07"
"2020-03-22 10:05:00","1.2784886880e+07","1.2784886880e+07","7.3988756852e+07","7.3988756852e+07"
"2020-03-22 10:10:00","1.6965307774e+07","1.6965307774e+07","6.3415112741e+07","6.3415112741e+07"
"2020-03-22 10:15:00","6.9920544309e+06","6.9920544309e+06","4.3941908996e+07","4.3941908996e+07"
"2020-03-22 10:20:00","8.6073341109e+06","8.6073341109e+06","4.3873968447e+07","4.3873968447e+07"
"2020-03-22 10:25:00","2.1977811482e+07","2.1977811482e+07","6.1522611027e+07","6.1522611027e+07"
"2020-03-22 10:30:00","4.8024812314e+07","4.8024812314e+07","6.7708084160e+07","6.7708084160e+07"
"2020-03-22 10:35:00","4.2673966113e+07","4.2673966113e+07","5.0141324262e+07","5.0141324262e+07"
"2020-03-22 10:40:00","1.1600705219e+07","1.1600705219e+07","3.4952302590e+07","3.4952302590e+07"
"2020-03-22 10:45:00","6.8710436569e+06","6.8710436569e+06","3.1483721852e+07","3.1483721852e+07"
"2020-03-22 10:50:00","8.8525921655e+06","8.8525921655e+06","4.4277955077e+07","4.4277955077e+07"
"2020-03-22 10:55:00","1.4508990255e+07","1.4508990255e+07","5.7450013025e+07","5.7450013025e+07"
"2020-03-22 11:00:00","2.3093336433e+07","2.3093336433e+07","3.8224824708e+07","3.8224824708e+07"
"2020-03-22 11:05:00","1.1293093478e+07","1.1293093478e+07","6.0290386985e+07","6.0290386985e+07"
"2020-03-22 11:10:00","2.3152831323e+07","2.3152831323e+07","5.4551882604e+07","5.4551882604e+07"
"2020-03-22 11:15:00","1.1532452804e+07","1.1532452804e+07","4.9614150131e+07","4.9614150131e+07"
"2020-03-22 11:20:00","6.6893368496e+06","6.6893368496e+06","5.6312185898e+07","5.6312185898e+07"
"2020-03-22 11:25:00","1.3032517636e+07","1.3032517636e+07","1.0617857674e+08","1.0617857674e+08"
"2020-03-22 11:30:00","1.2227346680e+07","1.2227346680e+07","1.0388137565e+08","1.0388137565e+08"
"2020-03-22 11:35:00","9.1353336893e+06","9.1353336893e+06","1.5676054915e+08","1.5676054915e+08"
"2020-03-22 11:40:00","8.7350028485e+06","8.7350028485e+06","2.0786713988e+08","2.0786713988e+08"
"2020-03-22 11:45:00","7.7297382459e+06","7.7297382459e+06","1.7086933503e+08","1.7086933503e+08"
"2020-03-22 11:50:00","1.1385589226e+07","1.1385589226e+07","1.3337927205e+08","1.3337927205e+08"
"2020-03-22 11:55:00","7.3907396301e+06","7.3907396301e+06","1.3125551760e+08","1.3125551760e+08"
"2020-03-22 12:00:00","3.6418524168e+07","3.6418524168e+07","1.3419999316e+08","1.3419999316e+08"
"2020-03-22 12:05:00","1.3773210328e+07","1.3773210328e+07","9.3573353692e+07","9.3573353692e+07"
"2020-03-22 12:10:00","1.0281157552e+07","1.0281157552e+07","2.0515250349e+08","2.0515250349e+08"
"2020-03-22 12:15:00","1.3085764568e+07","1.3085764568e+07","2.4135595111e+08","2.4135595111e+08"
"2020-03-22 12:20:00","2.0161967254e+07","2.0161967254e+07","2.0426167685e+08","2.0426167685e+08"
"2020-03-22 12:25:00","1.2765758994e+07","1.2765758994e+07","2.4398034714e+08","2.4398034714e+08"
"2020-03-22 12:30:00","9.7853474390e+06","9.7853474390e+06","2.4821306981e+08","2.4821306981e+08"
"2020-03-22 12:35:00","1.5800055128e+07","1.5800055128e+07","2.5246762243e+08","2.5246762243e+08"
"2020-03-22 12:40:00","2.1385496392e+07","2.1385496392e+07","3.0813804389e+08","3.0813804389e+08"
"2020-03-22 12:45:00","1.7350515324e+07","1.7350515324e+07","2.5492356646e+08","2.5492356646e+08"
"2020-03-22 12:50:00","1.7252128137e+07","1.7252128137e+07","3.1481680869e+08","3.1481680869e+08"
"2020-03-22 12:55:00","2.0000824254e+07","2.0000824254e+07","3.0448233588e+08","3.0448233588e+08"
"2020-03-22 13:00:00","2.0540450436e+07","2.0540450436e+07","4.0908588077e+08","4.0908588077e+08"
"2020-03-22 13:05:00","1.6899049932e+07","1.6899049932e+07","3.6153119011e+08","3.6153119011e+08"
"2020-03-22 13:10:00","2.2047903415e+07","2.2047903415e+07","3.7511564263e+08","3.7511564263e+08"
"2020-03-22 13:15:00","5.5474969107e+06","5.5474969107e+06","2.7185628369e+08","2.7185628369e+08"
"2020-03-22 13:20:00","9.6562423928e+06","9.6562423928e+06","1.8770037159e+08","1.8770037159e+08"
"2020-03-22 13:25:00","8.9072488016e+06","8.9072488016e+06","1.4730982204e+08","1.4730982204e+08"
"2020-03-22 13:30:00","7.6161576181e+06","7.6161576181e+06","2.0708331791e+08","2.0708331791e+08"
"2020-03-22 13:35:00","1.4564791241e+07","1.4564791241e+07","2.0806861126e+08","2.0806861126e+08"
"2020-03-22 13:40:00","8.1439160078e+06","8.1439160078e+06","2.7127783103e+08","2.7127783103e+08"
"2020-03-22 13:45:00","1.0400558168e+07","1.0400558168e+07","2.2960356291e+08","2.2960356291e+08"
"2020-03-22 13:50:00","6.9638886211e+06","6.9638886211e+06","3.2414878957e+08","3.2414878957e+08"
"2020-03-22 13:55:00","1.0413015645e+07","1.0413015645e+07","2.7028844521e+08","2.7028844521e+08"
"2020-03-22 14:00:00","3.3617903811e+07","3.3617903811e+07","3.0694246555e+08","3.0694246555e+08"
"2020-03-22 14:05:00","1.5119431139e+07","1.5119431139e+07","2.4214436605e+08","2.4214436605e+08"
"2020-03-22 14:10:00","7.5622671971e+06","7.5622671971e+06","1.7194841284e+08","1.7194841284e+08"
"2020-03-22 14:15:00","1.1452279248e+07","1.1452279248e+07","1.2565125764e+08","1.2565125764e+08"
"2020-03-22 14:20:00","1.2653554585e+07","1.2653554585e+07","1.2353483724e+08","1.2353483724e+08"
"2020-03-22 14:25:00","5.8367356907e+06","5.8367356907e+06","1.3642641987e+08","1.3642641987e+08"
"2020-03-22 14:30:00","1.6249293001e+07","1.6249293001e+07","1.0001361380e+08","1.0001361380e+08"
"2020-03-22 14:35:00","6.5222334947e+06","6.5222334947e+06","8.4862151913e+07","8.4862151913e+07"
"2020-03-22 14:40:00","6.7754696277e+06","6.7754696277e+06","8.1137290904e+07","8.1137290904e+07"
"2020-03-22 14:45:00","2.2639812194e+07","2.2639812194e+07","9.1621310267e+07","9.1621310267e+07"
"2020-03-22 14:50:00","8.5974415563e+06","8.5974415563e+06","8.3039426059e+07","8.3039426059e+07"
"2020-03-22 14:55:00","1.0872263439e+07","1.0872263439e+07","7.5584006519e+07","7.5584006519e+07"
"2020-03-22 15:00:00","8.5230326357e+06","8.5230326357e+06","8.7073508829e+07","8.7073508829e+07"
"2020-03-22 15:05:00","4.6174506709e+06","4.6174506709e+06","1.8062839265e+08","1.8062839265e+08"
"2020-03-22 15:10:00","1.8847756297e+07","1.8847756297e+07","1.3674066978e+08","1.3674066978e+08"
"2020-03-22 15:15:00","1.1158351322e+07","1.1158351322e+07","9.0764423098e+07","9.0764423098e+07"
"2020-03-22 15:20:00","7.7807707235e+08","7.7807707235e+08","1.3903235318e+08","1.3903235318e+08"
"2020-03-22 15:25:00","1.0830380719e+09","1.0830380719e+09","2.0496490348e+08","2.0496490348e+08"
"2020-03-22 15:30:00","9.8948573080e+07","9.8948573080e+07","1.8913066418e+08","1.8913066418e+08"
