"Title:","mx1.ams.nl - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE HAM SRF0000001 | ams-ham"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47927"
"Host ID:","175"
"Nth Percentile:","14947078020.8","|95:bits:0:current:2|"
"Nth Percentile:","15311.52","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","5.1472231211e+09","5.1472231211e+09","1.5039003607e+04","1.5039003607e+04"
"2020-03-21 22:10:00","3.5314207207e+09","3.5314207207e+09","1.5311517235e+04","1.5311517235e+04"
"2020-03-21 22:15:00","3.2463768131e+09","3.2463768131e+09","1.4795233289e+04","1.4795233289e+04"
"2020-03-21 22:20:00","4.2421370163e+09","4.2421370163e+09","1.4665920000e+04","1.4665920000e+04"
"2020-03-21 22:25:00","4.0509513756e+09","4.0509513756e+09","1.5054673867e+04","1.5054673867e+04"
"2020-03-21 22:30:00","3.9376023073e+09","3.9376023073e+09","1.4844199244e+04","1.4844199244e+04"
"2020-03-21 22:35:00","4.0988372973e+09","4.0988372973e+09","1.4645320223e+04","1.4645320223e+04"
"2020-03-21 22:40:00","3.9119740631e+09","3.9119740631e+09","1.4908412089e+04","1.4908412089e+04"
"2020-03-21 22:45:00","4.5199519459e+09","4.5199519459e+09","1.4767891876e+04","1.4767891876e+04"
"2020-03-21 22:50:00","4.6866367572e+09","4.6866367572e+09","1.4738322479e+04","1.4738322479e+04"
"2020-03-21 22:55:00","5.0949805137e+09","5.0949805137e+09","1.5250268845e+04","1.5250268845e+04"
"2020-03-21 23:00:00","3.8532156707e+09","3.8532156707e+09","1.4661203200e+04","1.4661203200e+04"
"2020-03-21 23:05:00","3.9146874628e+09","3.9146874628e+09","1.4506134044e+04","1.4506134044e+04"
"2020-03-21 23:10:00","4.6606587487e+09","4.6606587487e+09","1.5075005828e+04","1.5075005828e+04"
"2020-03-21 23:15:00","4.9040665829e+09","4.9040665829e+09","1.4679658706e+04","1.4679658706e+04"
"2020-03-21 23:20:00","3.3397952139e+09","3.3397952139e+09","1.4822199467e+04","1.4822199467e+04"
"2020-03-21 23:25:00","3.9432541622e+09","3.9432541622e+09","1.4775019944e+04","1.4775019944e+04"
"2020-03-21 23:30:00","3.9946239833e+09","3.9946239833e+09","1.4889725206e+04","1.4889725206e+04"
"2020-03-21 23:35:00","4.7123119874e+09","4.7123119874e+09","1.4549981371e+04","1.4549981371e+04"
"2020-03-21 23:40:00","3.3817767664e+09","3.3817767664e+09","1.4886647643e+04","1.4886647643e+04"
"2020-03-21 23:45:00","5.5055540042e+09","5.5055540042e+09","1.4942310306e+04","1.4942310306e+04"
"2020-03-21 23:50:00","6.1772456925e+09","6.1772456925e+09","1.5109441930e+04","1.5109441930e+04"
"2020-03-21 23:55:00","1.3814035133e+10","1.3814035133e+10","1.4675346148e+04","1.4675346148e+04"
"2020-03-22 00:00:00","1.4222159238e+10","1.4222159238e+10","1.4746939637e+04","1.4746939637e+04"
