"Title:","mx1.lis.pt - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | lis-lon"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","7450"
"Host ID:","161"
"Nth Percentile:","1750807309.6","|95:bits:0:current:2|"
"Nth Percentile:","583485567.65","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","9.4611406808e+08","9.4611406808e+08","2.6126465328e+08","2.6126465328e+08"
"2020-03-21 22:10:00","7.6408825153e+08","7.6408825153e+08","2.5907322597e+08","2.5907322597e+08"
"2020-03-21 22:15:00","6.6834824526e+08","6.6834824526e+08","2.4912070494e+08","2.4912070494e+08"
"2020-03-21 22:20:00","1.0320585251e+09","1.0320585251e+09","3.2148027677e+08","3.2148027677e+08"
"2020-03-21 22:25:00","9.2747345233e+08","9.2747345233e+08","3.3458459587e+08","3.3458459587e+08"
"2020-03-21 22:30:00","6.5578812060e+08","6.5578812060e+08","2.5181749400e+08","2.5181749400e+08"
"2020-03-21 22:35:00","6.8633815438e+08","6.8633815438e+08","2.1449765016e+08","2.1449765016e+08"
"2020-03-21 22:40:00","6.6787058755e+08","6.6787058755e+08","2.3291192840e+08","2.3291192840e+08"
"2020-03-21 22:45:00","7.4625891008e+08","7.4625891008e+08","1.9884137060e+08","1.9884137060e+08"
"2020-03-21 22:50:00","9.6931704973e+08","9.6931704973e+08","5.8348556765e+08","5.8348556765e+08"
"2020-03-21 22:55:00","6.7921485550e+08","6.7921485550e+08","5.3601411088e+08","5.3601411088e+08"
"2020-03-21 23:00:00","7.3023060426e+08","7.3023060426e+08","2.0188844129e+08","2.0188844129e+08"
"2020-03-21 23:05:00","8.9099195540e+08","8.9099195540e+08","2.3528886050e+08","2.3528886050e+08"
"2020-03-21 23:10:00","7.8971991457e+08","7.8971991457e+08","2.4786296367e+08","2.4786296367e+08"
"2020-03-21 23:15:00","7.9452387589e+08","7.9452387589e+08","2.5321068242e+08","2.5321068242e+08"
"2020-03-21 23:20:00","7.9950523395e+08","7.9950523395e+08","2.7071881278e+08","2.7071881278e+08"
"2020-03-21 23:25:00","7.5718964171e+08","7.5718964171e+08","2.2690600294e+08","2.2690600294e+08"
"2020-03-21 23:30:00","6.6032612779e+08","6.6032612779e+08","3.5291863746e+08","3.5291863746e+08"
"2020-03-21 23:35:00","1.3478437924e+09","1.3478437924e+09","2.0574957534e+08","2.0574957534e+08"
