"Title:","mx1.ath2.gr - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE VIE SRF0000001| ath2-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","36087"
"Host ID:","257"
"Nth Percentile:","2187153559.28","|95:bits:0:current:2|"
"Nth Percentile:","9434451321.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","2.0217577915e+09","2.0217577915e+09","7.3039377533e+09","7.3039377533e+09"
"2020-03-21 22:10:00","2.0228638433e+09","2.0228638433e+09","7.4562481587e+09","7.4562481587e+09"
"2020-03-21 22:15:00","2.2283065588e+09","2.2283065588e+09","6.1276127657e+09","6.1276127657e+09"
"2020-03-21 22:20:00","2.1548378432e+09","2.1548378432e+09","8.5439200511e+09","8.5439200511e+09"
"2020-03-21 22:25:00","1.8973064507e+09","1.8973064507e+09","9.0060521336e+09","9.0060521336e+09"
"2020-03-21 22:30:00","1.7984681616e+09","1.7984681616e+09","7.3821619599e+09","7.3821619599e+09"
"2020-03-21 22:35:00","1.8924701065e+09","1.8924701065e+09","7.8619775586e+09","7.8619775586e+09"
"2020-03-21 22:40:00","1.8190395636e+09","1.8190395636e+09","6.9579746215e+09","6.9579746215e+09"
"2020-03-21 22:45:00","1.7310466866e+09","1.7310466866e+09","7.0217155413e+09","7.0217155413e+09"
"2020-03-21 22:50:00","1.6517288313e+09","1.6517288313e+09","7.7721467407e+09","7.7721467407e+09"
"2020-03-21 22:55:00","1.6902479383e+09","1.6902479383e+09","8.3046286629e+09","8.3046286629e+09"
"2020-03-21 23:00:00","1.7579090095e+09","1.7579090095e+09","6.7163453285e+09","6.7163453285e+09"
"2020-03-21 23:05:00","1.7829387437e+09","1.7829387437e+09","9.0597414249e+09","9.0597414249e+09"
"2020-03-21 23:10:00","1.5909594820e+09","1.5909594820e+09","8.2445826155e+09","8.2445826155e+09"
"2020-03-21 23:15:00","1.7059468535e+09","1.7059468535e+09","7.3537540333e+09","7.3537540333e+09"
"2020-03-21 23:20:00","1.7081720818e+09","1.7081720818e+09","8.4444132903e+09","8.4444132903e+09"
"2020-03-21 23:25:00","1.6905615589e+09","1.6905615589e+09","7.9381077758e+09","7.9381077758e+09"
"2020-03-21 23:30:00","1.7196303091e+09","1.7196303091e+09","5.2467191461e+09","5.2467191461e+09"
"2020-03-21 23:35:00","1.7007738894e+09","1.7007738894e+09","7.3952794606e+09","7.3952794606e+09"
"2020-03-21 23:40:00","1.5736473840e+09","1.5736473840e+09","8.2996336457e+09","8.2996336457e+09"
"2020-03-21 23:45:00","1.6267773415e+09","1.6267773415e+09","7.5317975389e+09","7.5317975389e+09"
"2020-03-21 23:50:00","1.6697096772e+09","1.6697096772e+09","7.7753612994e+09","7.7753612994e+09"
"2020-03-21 23:55:00","1.6255714813e+09","1.6255714813e+09","7.4693857254e+09","7.4693857254e+09"
"2020-03-22 00:00:00","1.4673824914e+09","1.4673824914e+09","4.5965338452e+09","4.5965338452e+09"
"2020-03-22 00:05:00","1.5063657903e+09","1.5063657903e+09","5.4877096956e+09","5.4877096956e+09"
"2020-03-22 00:10:00","1.4208404723e+09","1.4208404723e+09","5.2194360021e+09","5.2194360021e+09"
"2020-03-22 00:15:00","1.5200709836e+09","1.5200709836e+09","5.3559578705e+09","5.3559578705e+09"
"2020-03-22 00:20:00","1.4552098590e+09","1.4552098590e+09","6.4031372124e+09","6.4031372124e+09"
"2020-03-22 00:25:00","1.2917961353e+09","1.2917961353e+09","6.4054355826e+09","6.4054355826e+09"
"2020-03-22 00:30:00","1.2692395772e+09","1.2692395772e+09","5.7139469369e+09","5.7139469369e+09"
"2020-03-22 00:35:00","1.2472202473e+09","1.2472202473e+09","7.1985137510e+09","7.1985137510e+09"
"2020-03-22 00:40:00","1.2148194852e+09","1.2148194852e+09","6.2998092306e+09","6.2998092306e+09"
"2020-03-22 00:45:00","1.1643240967e+09","1.1643240967e+09","7.1832632559e+09","7.1832632559e+09"
"2020-03-22 00:50:00","1.1544026454e+09","1.1544026454e+09","6.7161100475e+09","6.7161100475e+09"
"2020-03-22 00:55:00","1.0308666433e+09","1.0308666433e+09","5.8787719555e+09","5.8787719555e+09"
"2020-03-22 01:00:00","1.0401840284e+09","1.0401840284e+09","5.8415466771e+09","5.8415466771e+09"
"2020-03-22 01:05:00","1.2058277295e+09","1.2058277295e+09","6.1403288981e+09","6.1403288981e+09"
"2020-03-22 01:10:00","1.1246495497e+09","1.1246495497e+09","6.2835645534e+09","6.2835645534e+09"
"2020-03-22 01:15:00","1.0534696300e+09","1.0534696300e+09","6.3497026141e+09","6.3497026141e+09"
"2020-03-22 01:20:00","9.3673310585e+08","9.3673310585e+08","7.4048701486e+09","7.4048701486e+09"
"2020-03-22 01:25:00","9.7067072625e+08","9.7067072625e+08","5.8256192322e+09","5.8256192322e+09"
"2020-03-22 01:30:00","9.1890245832e+08","9.1890245832e+08","6.2234467570e+09","6.2234467570e+09"
"2020-03-22 01:35:00","9.9837655672e+08","9.9837655672e+08","8.7195280280e+09","8.7195280280e+09"
"2020-03-22 01:40:00","9.8613083323e+08","9.8613083323e+08","6.2317788904e+09","6.2317788904e+09"
"2020-03-22 01:45:00","9.5154525117e+08","9.5154525117e+08","7.3765235649e+09","7.3765235649e+09"
"2020-03-22 01:50:00","8.9915963188e+08","8.9915963188e+08","7.1350045059e+09","7.1350045059e+09"
"2020-03-22 01:55:00","9.2996716791e+08","9.2996716791e+08","9.4886473126e+09","9.4886473126e+09"
"2020-03-22 02:00:00","9.1524431123e+08","9.1524431123e+08","6.1450797982e+09","6.1450797982e+09"
"2020-03-22 02:05:00","7.9539161770e+08","7.9539161770e+08","7.0154394010e+09","7.0154394010e+09"
"2020-03-22 02:10:00","7.9374119680e+08","7.9374119680e+08","5.5568767046e+09","5.5568767046e+09"
"2020-03-22 02:15:00","7.9727309087e+08","7.9727309087e+08","7.2098888747e+09","7.2098888747e+09"
"2020-03-22 02:20:00","7.8779613361e+08","7.8779613361e+08","7.8426356717e+09","7.8426356717e+09"
"2020-03-22 02:25:00","7.4113909861e+08","7.4113909861e+08","6.1698100533e+09","6.1698100533e+09"
"2020-03-22 02:30:00","7.1802421490e+08","7.1802421490e+08","5.2455965755e+09","5.2455965755e+09"
"2020-03-22 02:35:00","7.0315324964e+08","7.0315324964e+08","8.3195833127e+09","8.3195833127e+09"
"2020-03-22 02:40:00","8.2276494677e+08","8.2276494677e+08","7.7951921846e+09","7.7951921846e+09"
"2020-03-22 02:45:00","7.7246674366e+08","7.7246674366e+08","7.6667228707e+09","7.6667228707e+09"
"2020-03-22 02:50:00","6.9829199414e+08","6.9829199414e+08","7.5293524426e+09","7.5293524426e+09"
"2020-03-22 02:55:00","6.5361239590e+08","6.5361239590e+08","6.9328209473e+09","6.9328209473e+09"
"2020-03-22 03:00:00","6.6179529180e+08","6.6179529180e+08","6.7304781152e+09","6.7304781152e+09"
"2020-03-22 03:05:00","7.2786204655e+08","7.2786204655e+08","8.4888585389e+09","8.4888585389e+09"
"2020-03-22 03:10:00","7.1529474319e+08","7.1529474319e+08","6.2316846701e+09","6.2316846701e+09"
"2020-03-22 03:15:00","7.4229915667e+08","7.4229915667e+08","6.4681252815e+09","6.4681252815e+09"
"2020-03-22 03:20:00","6.9350863155e+08","6.9350863155e+08","7.7238346364e+09","7.7238346364e+09"
"2020-03-22 03:25:00","6.4058674591e+08","6.4058674591e+08","7.0728146410e+09","7.0728146410e+09"
"2020-03-22 03:30:00","6.0760056002e+08","6.0760056002e+08","5.4454979589e+09","5.4454979589e+09"
"2020-03-22 03:35:00","6.2044086750e+08","6.2044086750e+08","8.5858065184e+09","8.5858065184e+09"
"2020-03-22 03:40:00","6.0174340388e+08","6.0174340388e+08","6.2915848760e+09","6.2915848760e+09"
"2020-03-22 03:45:00","5.9532352521e+08","5.9532352521e+08","6.1592152581e+09","6.1592152581e+09"
"2020-03-22 03:50:00","6.5822919232e+08","6.5822919232e+08","7.6612668837e+09","7.6612668837e+09"
"2020-03-22 03:55:00","5.6582829393e+08","5.6582829393e+08","6.6172676005e+09","6.6172676005e+09"
"2020-03-22 04:00:00","5.3266476838e+08","5.3266476838e+08","4.5257099895e+09","4.5257099895e+09"
"2020-03-22 04:05:00","6.2860128853e+08","6.2860128853e+08","6.5907511986e+09","6.5907511986e+09"
"2020-03-22 04:10:00","7.9958687777e+08","7.9958687777e+08","6.0924257224e+09","6.0924257224e+09"
