"Title:","mx2.kau.lt - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | kau-rig"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47863"
"Host ID:","129"
"Nth Percentile:","10405069.19","|95:bits:0:current:2|"
"Nth Percentile:","3753411.06","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","8.0968861186e+07","8.0968861186e+07","5.7855533742e+06","5.7855533742e+06"
"2020-03-21 22:10:00","1.0405069192e+07","1.0405069192e+07","5.7751280065e+05","5.7751280065e+05"
"2020-03-21 22:15:00","8.8636667467e+05","8.8636667467e+05","8.1104905327e+07","8.1104905327e+07"
"2020-03-21 22:20:00","5.1980689415e+05","5.1980689415e+05","1.2572835397e+06","1.2572835397e+06"
"2020-03-21 22:25:00","5.9238699196e+05","5.9238699196e+05","1.6254437546e+06","1.6254437546e+06"
"2020-03-21 22:30:00","5.4703107734e+05","5.4703107734e+05","5.4946975386e+05","5.4946975386e+05"
"2020-03-21 22:35:00","5.3008889662e+05","5.3008889662e+05","5.4929346640e+05","5.4929346640e+05"
"2020-03-21 22:40:00","5.2703551257e+05","5.2703551257e+05","5.4671621946e+05","5.4671621946e+05"
"2020-03-21 22:45:00","5.2717890348e+05","5.2717890348e+05","5.4752973291e+05","5.4752973291e+05"
"2020-03-21 22:50:00","5.3330080884e+05","5.3330080884e+05","8.2605080319e+05","8.2605080319e+05"
"2020-03-21 22:55:00","5.5299861477e+05","5.5299861477e+05","1.7857460171e+06","1.7857460171e+06"
"2020-03-21 23:00:00","5.1911496870e+05","5.1911496870e+05","5.5026599945e+05","5.5026599945e+05"
"2020-03-21 23:05:00","5.6340009135e+05","5.6340009135e+05","3.5556751861e+06","3.5556751861e+06"
"2020-03-21 23:10:00","5.1085728573e+05","5.1085728573e+05","5.8359755272e+05","5.8359755272e+05"
"2020-03-21 23:15:00","7.3718145972e+05","7.3718145972e+05","5.6257366743e+05","5.6257366743e+05"
"2020-03-21 23:20:00","8.9105502198e+07","8.9105502198e+07","1.0674639650e+06","1.0674639650e+06"
"2020-03-21 23:25:00","1.1429844818e+06","1.1429844818e+06","1.9079493172e+06","1.9079493172e+06"
"2020-03-21 23:30:00","5.3060400551e+05","5.3060400551e+05","5.6588895520e+05","5.6588895520e+05"
"2020-03-21 23:35:00","5.2569338839e+05","5.2569338839e+05","6.2605995924e+05","6.2605995924e+05"
"2020-03-21 23:40:00","5.3183773487e+05","5.3183773487e+05","5.6261149671e+05","5.6261149671e+05"
"2020-03-21 23:45:00","5.7045173097e+05","5.7045173097e+05","5.4959639507e+05","5.4959639507e+05"
"2020-03-21 23:50:00","5.2420929430e+05","5.2420929430e+05","7.4671014443e+05","7.4671014443e+05"
"2020-03-21 23:55:00","5.4490772406e+05","5.4490772406e+05","1.8450741972e+06","1.8450741972e+06"
"2020-03-22 00:00:00","5.2433271889e+05","5.2433271889e+05","5.5215677584e+05","5.5215677584e+05"
"2020-03-22 00:05:00","5.5048857092e+05","5.5048857092e+05","3.5354436320e+06","3.5354436320e+06"
"2020-03-22 00:10:00","5.1938366319e+05","5.1938366319e+05","5.4366621954e+05","5.4366621954e+05"
"2020-03-22 00:15:00","5.1394801869e+05","5.1394801869e+05","5.3534416798e+05","5.3534416798e+05"
"2020-03-22 00:20:00","5.2975116516e+05","5.2975116516e+05","7.3163863964e+05","7.3163863964e+05"
"2020-03-22 00:25:00","7.5603114916e+05","7.5603114916e+05","9.1723809372e+07","9.1723809372e+07"
"2020-03-22 00:30:00","5.2459250702e+05","5.2459250702e+05","2.7596681822e+06","2.7596681822e+06"
"2020-03-22 00:35:00","5.2099326293e+05","5.2099326293e+05","5.4631469476e+05","5.4631469476e+05"
"2020-03-22 00:40:00","5.1924876302e+05","5.1924876302e+05","5.4201890667e+05","5.4201890667e+05"
"2020-03-22 00:45:00","5.2222000747e+05","5.2222000747e+05","5.3888675502e+05","5.3888675502e+05"
"2020-03-22 00:50:00","1.5439321525e+06","1.5439321525e+06","8.7238301369e+05","8.7238301369e+05"
"2020-03-22 00:55:00","9.1269606923e+07","9.1269606923e+07","1.9999094644e+06","1.9999094644e+06"
"2020-03-22 01:00:00","1.1365126619e+06","1.1365126619e+06","5.5346736480e+05","5.5346736480e+05"
"2020-03-22 01:05:00","5.4844564282e+05","5.4844564282e+05","3.5375071276e+06","3.5375071276e+06"
"2020-03-22 01:10:00","5.3187142118e+05","5.3187142118e+05","5.5958520444e+05","5.5958520444e+05"
"2020-03-22 01:15:00","7.9048952267e+07","7.9048952267e+07","8.7551671840e+05","8.7551671840e+05"
"2020-03-22 01:20:00","7.8806439769e+05","7.8806439769e+05","3.3714143020e+06","3.3714143020e+06"
"2020-03-22 01:25:00","5.4939632999e+05","5.4939632999e+05","2.3393731121e+06","2.3393731121e+06"
"2020-03-22 01:30:00","5.1551711515e+05","5.1551711515e+05","5.4347569751e+05","5.4347569751e+05"
"2020-03-22 01:35:00","5.1719575584e+05","5.1719575584e+05","5.3546769103e+05","5.3546769103e+05"
"2020-03-22 01:40:00","5.1773537833e+05","5.1773537833e+05","5.4013543969e+05","5.4013543969e+05"
"2020-03-22 01:45:00","5.2361974611e+05","5.2361974611e+05","5.4488595575e+05","5.4488595575e+05"
"2020-03-22 01:50:00","6.3092879004e+05","6.3092879004e+05","7.7615415769e+05","7.7615415769e+05"
"2020-03-22 01:55:00","5.4329248818e+05","5.4329248818e+05","1.8244379406e+06","1.8244379406e+06"
"2020-03-22 02:00:00","5.1854843431e+05","5.1854843431e+05","5.4772290524e+05","5.4772290524e+05"
"2020-03-22 02:05:00","5.4773391644e+05","5.4773391644e+05","3.5269026946e+06","3.5269026946e+06"
"2020-03-22 02:10:00","5.1946794946e+05","5.1946794946e+05","5.6010430566e+05","5.6010430566e+05"
"2020-03-22 02:15:00","5.1559501176e+05","5.1559501176e+05","5.3949413941e+05","5.3949413941e+05"
"2020-03-22 02:20:00","5.2934520750e+05","5.2934520750e+05","7.1974897004e+05","7.1974897004e+05"
"2020-03-22 02:25:00","5.5023829749e+05","5.5023829749e+05","1.8888934718e+06","1.8888934718e+06"
"2020-03-22 02:30:00","5.2330587522e+05","5.2330587522e+05","5.5213160449e+05","5.5213160449e+05"
"2020-03-22 02:35:00","5.2172050772e+05","5.2172050772e+05","5.4304596459e+05","5.4304596459e+05"
"2020-03-22 02:40:00","5.2608593251e+05","5.2608593251e+05","5.4497270499e+05","5.4497270499e+05"
"2020-03-22 02:45:00","5.2468598021e+05","5.2468598021e+05","5.4593355006e+05","5.4593355006e+05"
"2020-03-22 02:50:00","5.2754660338e+05","5.2754660338e+05","8.6567368560e+05","8.6567368560e+05"
"2020-03-22 02:55:00","5.3972456554e+05","5.3972456554e+05","1.7262159538e+06","1.7262159538e+06"
"2020-03-22 03:00:00","5.5922510371e+05","5.5922510371e+05","7.7607658106e+06","7.7607658106e+06"
"2020-03-22 03:05:00","5.8152917807e+05","5.8152917807e+05","8.9733937639e+06","8.9733937639e+06"
"2020-03-22 03:10:00","5.2384502395e+05","5.2384502395e+05","5.7491613569e+05","5.7491613569e+05"
"2020-03-22 03:15:00","5.1163101208e+05","5.1163101208e+05","5.3683172589e+05","5.3683172589e+05"
"2020-03-22 03:20:00","5.2918203301e+05","5.2918203301e+05","1.1394261860e+06","1.1394261860e+06"
"2020-03-22 03:25:00","5.5015380587e+05","5.5015380587e+05","1.4665965728e+06","1.4665965728e+06"
"2020-03-22 03:30:00","5.2377803813e+05","5.2377803813e+05","5.5312179288e+05","5.5312179288e+05"
"2020-03-22 03:35:00","5.2397911770e+05","5.2397911770e+05","5.4331753977e+05","5.4331753977e+05"
"2020-03-22 03:40:00","5.2641270580e+05","5.2641270580e+05","5.4722113064e+05","5.4722113064e+05"
"2020-03-22 03:45:00","5.1831154877e+05","5.1831154877e+05","5.3815837146e+05","5.3815837146e+05"
"2020-03-22 03:50:00","5.3014462605e+05","5.3014462605e+05","8.0010405174e+05","8.0010405174e+05"
"2020-03-22 03:55:00","5.5302783430e+05","5.5302783430e+05","1.8036737930e+06","1.8036737930e+06"
"2020-03-22 04:00:00","5.2754540314e+05","5.2754540314e+05","5.5669006227e+05","5.5669006227e+05"
"2020-03-22 04:05:00","5.8335493673e+05","5.8335493673e+05","3.5315267584e+06","3.5315267584e+06"
"2020-03-22 04:10:00","5.5891107522e+05","5.5891107522e+05","5.7129328463e+05","5.7129328463e+05"
"2020-03-22 04:15:00","5.2360579166e+05","5.2360579166e+05","5.3559950728e+05","5.3559950728e+05"
"2020-03-22 04:20:00","5.4642884377e+05","5.4642884377e+05","1.2990965809e+06","1.2990965809e+06"
"2020-03-22 04:25:00","5.8769158379e+05","5.8769158379e+05","1.8597745207e+06","1.8597745207e+06"
"2020-03-22 04:30:00","5.4889874614e+05","5.4889874614e+05","5.5647509635e+05","5.5647509635e+05"
"2020-03-22 04:35:00","5.2689048169e+05","5.2689048169e+05","5.3921960759e+05","5.3921960759e+05"
"2020-03-22 04:40:00","5.2392949164e+05","5.2392949164e+05","5.4501172787e+05","5.4501172787e+05"
"2020-03-22 04:45:00","5.3452037547e+05","5.3452037547e+05","5.4140467481e+05","5.4140467481e+05"
"2020-03-22 04:50:00","5.2407767004e+05","5.2407767004e+05","8.4760718991e+05","8.4760718991e+05"
"2020-03-22 04:55:00","5.3530603600e+05","5.3530603600e+05","1.7428642678e+06","1.7428642678e+06"
"2020-03-22 05:00:00","5.1481661262e+05","5.1481661262e+05","5.3783952114e+05","5.3783952114e+05"
"2020-03-22 05:05:00","5.5420438243e+05","5.5420438243e+05","3.5415453171e+06","3.5415453171e+06"
"2020-03-22 05:10:00","5.2088578575e+05","5.2088578575e+05","5.5041903924e+05","5.5041903924e+05"
"2020-03-22 05:15:00","5.2099778311e+05","5.2099778311e+05","5.3972735493e+05","5.3972735493e+05"
"2020-03-22 05:20:00","5.2613720583e+05","5.2613720583e+05","8.0954484923e+05","8.0954484923e+05"
"2020-03-22 05:25:00","5.5843691212e+05","5.5843691212e+05","1.7889609010e+06","1.7889609010e+06"
"2020-03-22 05:30:00","6.0700172907e+05","6.0700172907e+05","5.5352765351e+05","5.5352765351e+05"
"2020-03-22 05:35:00","5.2209654453e+05","5.2209654453e+05","5.3650285031e+05","5.3650285031e+05"
"2020-03-22 05:40:00","5.2622509475e+05","5.2622509475e+05","5.4853786014e+05","5.4853786014e+05"
"2020-03-22 05:45:00","5.2099376108e+05","5.2099376108e+05","5.4043129070e+05","5.4043129070e+05"
"2020-03-22 05:50:00","5.3847517031e+05","5.3847517031e+05","8.3257824507e+05","8.3257824507e+05"
"2020-03-22 05:55:00","5.8367378251e+07","5.8367378251e+07","2.4510336834e+06","2.4510336834e+06"
"2020-03-22 06:00:00","1.1918989144e+08","1.1918989144e+08","1.2117548924e+06","1.2117548924e+06"
"2020-03-22 06:05:00","1.4892883255e+06","1.4892883255e+06","9.4020588183e+07","9.4020588183e+07"
"2020-03-22 06:10:00","5.2251453677e+05","5.2251453677e+05","8.5473041016e+05","8.5473041016e+05"
"2020-03-22 06:15:00","5.2076563493e+05","5.2076563493e+05","5.3831168338e+05","5.3831168338e+05"
"2020-03-22 06:20:00","5.4132929218e+05","5.4132929218e+05","9.3194257138e+05","9.3194257138e+05"
"2020-03-22 06:25:00","8.4058290144e+07","8.4058290144e+07","2.1460191729e+06","2.1460191729e+06"
"2020-03-22 06:30:00","9.1146469360e+07","9.1146469360e+07","8.1458868956e+05","8.1458868956e+05"
"2020-03-22 06:35:00","1.1255295475e+06","1.1255295475e+06","5.3986304635e+05","5.3986304635e+05"
"2020-03-22 06:40:00","7.0155379449e+05","7.0155379449e+05","8.6533653282e+07","8.6533653282e+07"
"2020-03-22 06:45:00","5.2677939344e+05","5.2677939344e+05","1.1241935592e+06","1.1241935592e+06"
"2020-03-22 06:50:00","5.2908638065e+05","5.2908638065e+05","7.7679593972e+05","7.7679593972e+05"
"2020-03-22 06:55:00","5.4555994413e+05","5.4555994413e+05","1.8231740042e+06","1.8231740042e+06"
"2020-03-22 07:00:00","5.1872651164e+05","5.1872651164e+05","5.4557081547e+05","5.4557081547e+05"
"2020-03-22 07:05:00","5.4496914133e+05","5.4496914133e+05","3.5272237102e+06","3.5272237102e+06"
"2020-03-22 07:10:00","5.2570280217e+05","5.2570280217e+05","5.6503997492e+05","5.6503997492e+05"
"2020-03-22 07:15:00","5.1163603155e+05","5.1163603155e+05","5.2896136525e+05","5.2896136525e+05"
"2020-03-22 07:20:00","5.2686995277e+05","5.2686995277e+05","8.2428549165e+05","8.2428549165e+05"
"2020-03-22 07:25:00","5.4497740922e+05","5.4497740922e+05","1.7802503828e+06","1.7802503828e+06"
"2020-03-22 07:30:00","5.1536453356e+05","5.1536453356e+05","5.3981987076e+05","5.3981987076e+05"
"2020-03-22 07:35:00","5.2790887571e+05","5.2790887571e+05","5.3993518609e+05","5.3993518609e+05"
"2020-03-22 07:40:00","5.1882399520e+05","5.1882399520e+05","5.3778515609e+05","5.3778515609e+05"
"2020-03-22 07:45:00","5.1710859307e+05","5.1710859307e+05","5.3659961849e+05","5.3659961849e+05"
"2020-03-22 07:50:00","1.3113454236e+06","1.3113454236e+06","9.5087575716e+05","9.5087575716e+05"
"2020-03-22 07:55:00","5.4568655876e+05","5.4568655876e+05","1.6491973783e+06","1.6491973783e+06"
"2020-03-22 08:00:00","5.1876944409e+05","5.1876944409e+05","5.4583095307e+05","5.4583095307e+05"
"2020-03-22 08:05:00","5.5266105351e+05","5.5266105351e+05","3.5304441166e+06","3.5304441166e+06"
"2020-03-22 08:10:00","5.1993734204e+05","5.1993734204e+05","5.6142692747e+05","5.6142692747e+05"
"2020-03-22 08:15:00","5.1645641102e+05","5.1645641102e+05","5.3708984480e+05","5.3708984480e+05"
"2020-03-22 08:20:00","5.2734898862e+05","5.2734898862e+05","7.2433981618e+05","7.2433981618e+05"
"2020-03-22 08:25:00","5.4060899164e+05","5.4060899164e+05","1.8706648722e+06","1.8706648722e+06"
"2020-03-22 08:30:00","5.1803746738e+05","5.1803746738e+05","5.4727347876e+05","5.4727347876e+05"
