"Title:","mx1.fra.de - Traffic - ae2 - LAG INFRASTRUCTURE BACKBONE GEN SRF0000001 | FRA-GEN | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48189"
"Host ID:","167"
"Nth Percentile:","48838708593.6","|95:bits:0:current:2|"
"Nth Percentile:","63292081548.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","3.1300897045e+10","3.1300897045e+10","3.5417581599e+10","3.5417581599e+10"
"2020-03-21 22:10:00","2.7310201340e+10","2.7310201340e+10","3.4924810097e+10","3.4924810097e+10"
"2020-03-21 22:15:00","2.5238280833e+10","2.5238280833e+10","2.9660391966e+10","2.9660391966e+10"
"2020-03-21 22:20:00","2.8545522047e+10","2.8545522047e+10","3.4348637781e+10","3.4348637781e+10"
"2020-03-21 22:25:00","3.2926147652e+10","3.2926147652e+10","3.7066333989e+10","3.7066333989e+10"
"2020-03-21 22:30:00","2.7582036334e+10","2.7582036334e+10","3.4515407144e+10","3.4515407144e+10"
"2020-03-21 22:35:00","2.9558917215e+10","2.9558917215e+10","3.2285328300e+10","3.2285328300e+10"
"2020-03-21 22:40:00","2.7078274027e+10","2.7078274027e+10","3.3767959538e+10","3.3767959538e+10"
"2020-03-21 22:45:00","2.0037678124e+10","2.0037678124e+10","3.2531692731e+10","3.2531692731e+10"
"2020-03-21 22:50:00","2.5637963666e+10","2.5637963666e+10","3.5744253283e+10","3.5744253283e+10"
"2020-03-21 22:55:00","3.1933211478e+10","3.1933211478e+10","3.3608221270e+10","3.3608221270e+10"
"2020-03-21 23:00:00","2.8813550212e+10","2.8813550212e+10","2.6915820253e+10","2.6915820253e+10"
"2020-03-21 23:05:00","2.6539554009e+10","2.6539554009e+10","3.2192705467e+10","3.2192705467e+10"
"2020-03-21 23:10:00","2.6400347980e+10","2.6400347980e+10","3.0267506800e+10","3.0267506800e+10"
"2020-03-21 23:15:00","3.1429575796e+10","3.1429575796e+10","4.1322739035e+10","4.1322739035e+10"
"2020-03-21 23:20:00","3.3268831042e+10","3.3268831042e+10","3.2266463424e+10","3.2266463424e+10"
"2020-03-21 23:25:00","3.1254977598e+10","3.1254977598e+10","3.3186158157e+10","3.3186158157e+10"
"2020-03-21 23:30:00","2.7380992429e+10","2.7380992429e+10","3.2079768017e+10","3.2079768017e+10"
"2020-03-21 23:35:00","2.3653421357e+10","2.3653421357e+10","2.9320347314e+10","2.9320347314e+10"
"2020-03-21 23:40:00","2.9895774406e+10","2.9895774406e+10","3.3334538579e+10","3.3334538579e+10"
"2020-03-21 23:45:00","2.7955848386e+10","2.7955848386e+10","2.6538274772e+10","2.6538274772e+10"
"2020-03-21 23:50:00","4.4271511428e+10","4.4271511428e+10","2.3790343110e+10","2.3790343110e+10"
"2020-03-21 23:55:00","2.9572145298e+10","2.9572145298e+10","2.6106181031e+10","2.6106181031e+10"
"2020-03-22 00:00:00","3.2336990933e+10","3.2336990933e+10","2.4661390486e+10","2.4661390486e+10"
"2020-03-22 00:05:00","3.4433433058e+10","3.4433433058e+10","2.7265504230e+10","2.7265504230e+10"
"2020-03-22 00:10:00","2.9215053007e+10","2.9215053007e+10","2.7085350715e+10","2.7085350715e+10"
"2020-03-22 00:15:00","2.8004698360e+10","2.8004698360e+10","2.8278305354e+10","2.8278305354e+10"
"2020-03-22 00:20:00","2.8827579572e+10","2.8827579572e+10","2.9858929993e+10","2.9858929993e+10"
"2020-03-22 00:25:00","2.3712138041e+10","2.3712138041e+10","2.6930567620e+10","2.6930567620e+10"
"2020-03-22 00:30:00","3.6685580214e+10","3.6685580214e+10","3.3078222978e+10","3.3078222978e+10"
"2020-03-22 00:35:00","2.6112786339e+10","2.6112786339e+10","3.0527355420e+10","3.0527355420e+10"
"2020-03-22 00:40:00","2.5657576237e+10","2.5657576237e+10","3.3041516700e+10","3.3041516700e+10"
"2020-03-22 00:45:00","2.7645516944e+10","2.7645516944e+10","3.5838700121e+10","3.5838700121e+10"
"2020-03-22 00:50:00","2.7044074845e+10","2.7044074845e+10","3.6925442334e+10","3.6925442334e+10"
"2020-03-22 00:55:00","2.7148933361e+10","2.7148933361e+10","3.5872061892e+10","3.5872061892e+10"
"2020-03-22 01:00:00","3.1173198175e+10","3.1173198175e+10","3.5206993371e+10","3.5206993371e+10"
"2020-03-22 01:05:00","2.6449481013e+10","2.6449481013e+10","3.3413162934e+10","3.3413162934e+10"
"2020-03-22 01:10:00","3.8287604409e+10","3.8287604409e+10","3.5172927341e+10","3.5172927341e+10"
"2020-03-22 01:15:00","2.3309202399e+10","2.3309202399e+10","3.4820863177e+10","3.4820863177e+10"
"2020-03-22 01:20:00","2.5945925902e+10","2.5945925902e+10","3.2272760322e+10","3.2272760322e+10"
"2020-03-22 01:25:00","3.2618254646e+10","3.2618254646e+10","3.5204717112e+10","3.5204717112e+10"
"2020-03-22 01:30:00","3.5578802800e+10","3.5578802800e+10","3.5639831860e+10","3.5639831860e+10"
"2020-03-22 01:35:00","3.3040741832e+10","3.3040741832e+10","3.8896577212e+10","3.8896577212e+10"
"2020-03-22 01:40:00","2.3214226396e+10","2.3214226396e+10","4.1936352686e+10","4.1936352686e+10"
"2020-03-22 01:45:00","2.4082895127e+10","2.4082895127e+10","4.0922977189e+10","4.0922977189e+10"
"2020-03-22 01:50:00","2.5715191565e+10","2.5715191565e+10","4.0404492310e+10","4.0404492310e+10"
"2020-03-22 01:55:00","2.5976485783e+10","2.5976485783e+10","3.6662633060e+10","3.6662633060e+10"
"2020-03-22 02:00:00","2.6569345933e+10","2.6569345933e+10","3.4109739687e+10","3.4109739687e+10"
"2020-03-22 02:05:00","2.3924399879e+10","2.3924399879e+10","3.2629662832e+10","3.2629662832e+10"
"2020-03-22 02:10:00","2.9649834996e+10","2.9649834996e+10","3.3788970145e+10","3.3788970145e+10"
"2020-03-22 02:15:00","2.8717345725e+10","2.8717345725e+10","3.1317084467e+10","3.1317084467e+10"
"2020-03-22 02:20:00","2.4152137779e+10","2.4152137779e+10","2.9191283377e+10","2.9191283377e+10"
"2020-03-22 02:25:00","2.6626480943e+10","2.6626480943e+10","2.8562564588e+10","2.8562564588e+10"
"2020-03-22 02:30:00","2.9670714950e+10","2.9670714950e+10","3.2005691287e+10","3.2005691287e+10"
"2020-03-22 02:35:00","2.6649192431e+10","2.6649192431e+10","3.1908240519e+10","3.1908240519e+10"
"2020-03-22 02:40:00","2.5519173174e+10","2.5519173174e+10","2.8331383007e+10","2.8331383007e+10"
"2020-03-22 02:45:00","2.2444591292e+10","2.2444591292e+10","2.8870183116e+10","2.8870183116e+10"
"2020-03-22 02:50:00","2.8704031632e+10","2.8704031632e+10","3.0480358969e+10","3.0480358969e+10"
"2020-03-22 02:55:00","2.5942830271e+10","2.5942830271e+10","3.6212682096e+10","3.6212682096e+10"
