"Title:","mx1.pra.cz - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE PRA SRF0000001 | FRA-PRA  | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","53015"
"Host ID:","141"
"Nth Percentile:","42067565291.2","|95:bits:0:current:2|"
"Nth Percentile:","28680173990.4","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","2.2050389100e+10","2.2050389100e+10","6.3170379091e+09","6.3170379091e+09"
"2020-03-21 22:10:00","2.1107728183e+10","2.1107728183e+10","7.2656292254e+09","7.2656292254e+09"
"2020-03-21 22:15:00","1.7224049584e+10","1.7224049584e+10","6.1203108933e+09","6.1203108933e+09"
"2020-03-21 22:20:00","1.9997835387e+10","1.9997835387e+10","8.1225878190e+09","8.1225878190e+09"
"2020-03-21 22:25:00","1.9041140423e+10","1.9041140423e+10","8.4264449669e+09","8.4264449669e+09"
"2020-03-21 22:30:00","1.8450048972e+10","1.8450048972e+10","8.6667767198e+09","8.6667767198e+09"
"2020-03-21 22:35:00","2.0763614829e+10","2.0763614829e+10","1.0363184204e+10","1.0363184204e+10"
"2020-03-21 22:40:00","1.6933988986e+10","1.6933988986e+10","8.2398051044e+09","8.2398051044e+09"
"2020-03-21 22:45:00","1.7929843408e+10","1.7929843408e+10","8.7659100676e+09","8.7659100676e+09"
"2020-03-21 22:50:00","2.0058982735e+10","2.0058982735e+10","1.1396359680e+10","1.1396359680e+10"
"2020-03-21 22:55:00","3.4389045885e+10","3.4389045885e+10","1.2619061715e+10","1.2619061715e+10"
"2020-03-21 23:00:00","3.2360570448e+10","3.2360570448e+10","1.1055560564e+10","1.1055560564e+10"
"2020-03-21 23:05:00","3.8906319390e+10","3.8906319390e+10","1.3233393740e+10","1.3233393740e+10"
"2020-03-21 23:10:00","3.6000348212e+10","3.6000348212e+10","9.5480826411e+09","9.5480826411e+09"
"2020-03-21 23:15:00","3.9643266308e+10","3.9643266308e+10","6.4490964953e+09","6.4490964953e+09"
"2020-03-21 23:20:00","2.8549881226e+10","2.8549881226e+10","7.0625390107e+09","7.0625390107e+09"
"2020-03-21 23:25:00","1.6171819500e+10","1.6171819500e+10","1.1636946114e+10","1.1636946114e+10"
"2020-03-21 23:30:00","1.6677608631e+10","1.6677608631e+10","5.7798001871e+09","5.7798001871e+09"
