"Title:","mx1.ham.de - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE FRA SRF9930571 | fra-ham"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20493"
"Host ID:","231"
"Nth Percentile:","25684460068","|95:bits:0:current:2|"
"Nth Percentile:","9067667225.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","1.0018430053e+10","1.0018430053e+10","6.8866434948e+09","6.8866434948e+09"
"2020-03-21 22:10:00","1.2608331127e+10","1.2608331127e+10","6.0672869851e+09","6.0672869851e+09"
"2020-03-21 22:15:00","7.4994441319e+09","7.4994441319e+09","6.6995778788e+09","6.6995778788e+09"
"2020-03-21 22:20:00","8.8849178609e+09","8.8849178609e+09","7.2673804969e+09","7.2673804969e+09"
"2020-03-21 22:25:00","9.2675606363e+09","9.2675606363e+09","7.8625282623e+09","7.8625282623e+09"
"2020-03-21 22:30:00","6.4263013591e+09","6.4263013591e+09","7.2324802504e+09","7.2324802504e+09"
"2020-03-21 22:35:00","7.0030189132e+09","7.0030189132e+09","6.4729731494e+09","6.4729731494e+09"
"2020-03-21 22:40:00","1.4985730860e+10","1.4985730860e+10","5.7047298060e+09","5.7047298060e+09"
"2020-03-21 22:45:00","5.8568269681e+09","5.8568269681e+09","5.7591130133e+09","5.7591130133e+09"
"2020-03-21 22:50:00","7.9760937485e+09","7.9760937485e+09","5.8829310114e+09","5.8829310114e+09"
"2020-03-21 22:55:00","1.3776609176e+10","1.3776609176e+10","7.4071661484e+09","7.4071661484e+09"
"2020-03-21 23:00:00","2.5733634769e+10","2.5733634769e+10","5.0035028306e+09","5.0035028306e+09"
"2020-03-21 23:05:00","2.6663759502e+10","2.6663759502e+10","5.8021112684e+09","5.8021112684e+09"
"2020-03-21 23:10:00","1.4831284549e+10","1.4831284549e+10","6.6456284842e+09","6.6456284842e+09"
"2020-03-21 23:15:00","1.4304783750e+10","1.4304783750e+10","8.8594295789e+09","8.8594295789e+09"
"2020-03-21 23:20:00","1.5925914485e+10","1.5925914485e+10","6.7032890715e+09","6.7032890715e+09"
"2020-03-21 23:25:00","6.3698917079e+09","6.3698917079e+09","6.0425590248e+09","6.0425590248e+09"
"2020-03-21 23:30:00","9.2878671754e+09","9.2878671754e+09","6.7835734022e+09","6.7835734022e+09"
"2020-03-21 23:35:00","8.3887667363e+09","8.3887667363e+09","6.2780811583e+09","6.2780811583e+09"
"2020-03-21 23:40:00","5.8292556204e+09","5.8292556204e+09","5.9262181237e+09","5.9262181237e+09"
"2020-03-21 23:45:00","6.5423623359e+09","6.5423623359e+09","5.9388846089e+09","5.9388846089e+09"
"2020-03-21 23:50:00","8.7226811561e+09","8.7226811561e+09","4.5323068312e+09","4.5323068312e+09"
"2020-03-21 23:55:00","7.8853706053e+09","7.8853706053e+09","5.2405067117e+09","5.2405067117e+09"
"2020-03-22 00:00:00","9.1936665302e+09","9.1936665302e+09","4.9679285671e+09","4.9679285671e+09"
"2020-03-22 00:05:00","9.1578557251e+09","9.1578557251e+09","5.9495865494e+09","5.9495865494e+09"
"2020-03-22 00:10:00","7.8237742711e+09","7.8237742711e+09","6.7661813023e+09","6.7661813023e+09"
"2020-03-22 00:15:00","9.7434584433e+09","9.7434584433e+09","4.7959324609e+09","4.7959324609e+09"
"2020-03-22 00:20:00","1.2164087499e+10","1.2164087499e+10","4.7475575895e+09","4.7475575895e+09"
"2020-03-22 00:25:00","6.5971089362e+09","6.5971089362e+09","5.5193232325e+09","5.5193232325e+09"
"2020-03-22 00:30:00","1.0332118294e+10","1.0332118294e+10","6.1555448779e+09","6.1555448779e+09"
"2020-03-22 00:35:00","8.0494686142e+09","8.0494686142e+09","6.0493991996e+09","6.0493991996e+09"
"2020-03-22 00:40:00","7.0738671664e+09","7.0738671664e+09","7.8532350404e+09","7.8532350404e+09"
"2020-03-22 00:45:00","7.3730070780e+09","7.3730070780e+09","6.5095389813e+09","6.5095389813e+09"
"2020-03-22 00:50:00","8.3232246163e+09","8.3232246163e+09","8.1727512320e+09","8.1727512320e+09"
"2020-03-22 00:55:00","1.2615810276e+10","1.2615810276e+10","6.1879412490e+09","6.1879412490e+09"
"2020-03-22 01:00:00","1.0350388382e+10","1.0350388382e+10","6.0738162932e+09","6.0738162932e+09"
"2020-03-22 01:05:00","6.1152088754e+09","6.1152088754e+09","6.0804800065e+09","6.0804800065e+09"
"2020-03-22 01:10:00","1.6824382070e+10","1.6824382070e+10","4.8996293092e+09","4.8996293092e+09"
"2020-03-22 01:15:00","6.9623417652e+09","6.9623417652e+09","4.9983623785e+09","4.9983623785e+09"
"2020-03-22 01:20:00","8.3063151218e+09","8.3063151218e+09","4.5242607501e+09","4.5242607501e+09"
"2020-03-22 01:25:00","9.4233363695e+09","9.4233363695e+09","5.3891667102e+09","5.3891667102e+09"
"2020-03-22 01:30:00","2.7011738502e+10","2.7011738502e+10","5.7500081087e+09","5.7500081087e+09"
"2020-03-22 01:35:00","2.5302947544e+10","2.5302947544e+10","6.8175451411e+09","6.8175451411e+09"
"2020-03-22 01:40:00","9.5076194197e+09","9.5076194197e+09","5.1564915594e+09","5.1564915594e+09"
"2020-03-22 01:45:00","1.8530555452e+10","1.8530555452e+10","4.2659500630e+09","4.2659500630e+09"
"2020-03-22 01:50:00","1.1888155476e+10","1.1888155476e+10","5.2110752974e+09","5.2110752974e+09"
"2020-03-22 01:55:00","1.1020738513e+10","1.1020738513e+10","5.3308711446e+09","5.3308711446e+09"
"2020-03-22 02:00:00","8.6808759883e+09","8.6808759883e+09","5.9207812846e+09","5.9207812846e+09"
"2020-03-22 02:05:00","4.6726886129e+09","4.6726886129e+09","5.5470078098e+09","5.5470078098e+09"
"2020-03-22 02:10:00","5.2879272826e+09","5.2879272826e+09","5.5912208379e+09","5.5912208379e+09"
"2020-03-22 02:15:00","5.5287355074e+09","5.5287355074e+09","6.2204794640e+09","6.2204794640e+09"
"2020-03-22 02:20:00","5.0335226084e+09","5.0335226084e+09","4.6545996218e+09","4.6545996218e+09"
"2020-03-22 02:25:00","6.1942615960e+09","6.1942615960e+09","4.7493502404e+09","4.7493502404e+09"
"2020-03-22 02:30:00","8.9208941070e+09","8.9208941070e+09","4.9641452796e+09","4.9641452796e+09"
"2020-03-22 02:35:00","1.1117539436e+10","1.1117539436e+10","4.8358118770e+09","4.8358118770e+09"
"2020-03-22 02:40:00","7.8964923959e+09","7.8964923959e+09","4.1850129451e+09","4.1850129451e+09"
"2020-03-22 02:45:00","6.5288900294e+09","6.5288900294e+09","4.3304051189e+09","4.3304051189e+09"
"2020-03-22 02:50:00","1.1433947655e+10","1.1433947655e+10","5.2403488343e+09","5.2403488343e+09"
"2020-03-22 02:55:00","1.3127497781e+10","1.3127497781e+10","6.1404409292e+09","6.1404409292e+09"
"2020-03-22 03:00:00","1.4612140802e+10","1.4612140802e+10","6.0414222275e+09","6.0414222275e+09"
"2020-03-22 03:05:00","1.3870659532e+10","1.3870659532e+10","4.8044389579e+09","4.8044389579e+09"
"2020-03-22 03:10:00","1.5502138335e+10","1.5502138335e+10","5.7235022221e+09","5.7235022221e+09"
"2020-03-22 03:15:00","9.2017752035e+09","9.2017752035e+09","7.4278154443e+09","7.4278154443e+09"
"2020-03-22 03:20:00","7.5804877086e+09","7.5804877086e+09","6.3796974984e+09","6.3796974984e+09"
"2020-03-22 03:25:00","7.4160834863e+09","7.4160834863e+09","6.2971303835e+09","6.2971303835e+09"
"2020-03-22 03:30:00","9.4398956893e+09","9.4398956893e+09","1.0455771640e+10","1.0455771640e+10"
"2020-03-22 03:35:00","8.1348234366e+09","8.1348234366e+09","7.7432003184e+09","7.7432003184e+09"
"2020-03-22 03:40:00","9.8865891528e+09","9.8865891528e+09","6.6834009292e+09","6.6834009292e+09"
"2020-03-22 03:45:00","9.0727311761e+09","9.0727311761e+09","7.5444675338e+09","7.5444675338e+09"
"2020-03-22 03:50:00","7.5562787087e+09","7.5562787087e+09","5.5800092102e+09","5.5800092102e+09"
"2020-03-22 03:55:00","6.6539589308e+09","6.6539589308e+09","6.0967894848e+09","6.0967894848e+09"
"2020-03-22 04:00:00","5.0875306211e+09","5.0875306211e+09","5.5832895754e+09","5.5832895754e+09"
"2020-03-22 04:05:00","1.1271790637e+10","1.1271790637e+10","5.2346023606e+09","5.2346023606e+09"
"2020-03-22 04:10:00","6.6130145730e+09","6.6130145730e+09","4.3985393457e+09","4.3985393457e+09"
"2020-03-22 04:15:00","6.0329344995e+09","6.0329344995e+09","5.9954226360e+09","5.9954226360e+09"
"2020-03-22 04:20:00","7.3063132268e+09","7.3063132268e+09","4.8964955288e+09","4.8964955288e+09"
"2020-03-22 04:25:00","6.1012580032e+09","6.1012580032e+09","6.0710212359e+09","6.0710212359e+09"
"2020-03-22 04:30:00","8.3101804413e+09","8.3101804413e+09","5.2156760057e+09","5.2156760057e+09"
"2020-03-22 04:35:00","5.9309288899e+09","5.9309288899e+09","4.6889730065e+09","4.6889730065e+09"
"2020-03-22 04:40:00","5.7819784438e+09","5.7819784438e+09","4.7126462230e+09","4.7126462230e+09"
"2020-03-22 04:45:00","5.3135098224e+09","5.3135098224e+09","4.3146185664e+09","4.3146185664e+09"
"2020-03-22 04:50:00","9.7500051810e+09","9.7500051810e+09","4.4047869196e+09","4.4047869196e+09"
"2020-03-22 04:55:00","9.0952705872e+09","9.0952705872e+09","4.6101954749e+09","4.6101954749e+09"
"2020-03-22 05:00:00","7.0043473575e+09","7.0043473575e+09","1.0272736770e+10","1.0272736770e+10"
"2020-03-22 05:05:00","8.0104718251e+09","8.0104718251e+09","5.4207827930e+09","5.4207827930e+09"
"2020-03-22 05:10:00","5.2280413102e+09","5.2280413102e+09","4.9624880024e+09","4.9624880024e+09"
"2020-03-22 05:15:00","5.3123897129e+09","5.3123897129e+09","4.2377534802e+09","4.2377534802e+09"
"2020-03-22 05:20:00","1.4815838988e+10","1.4815838988e+10","5.5827078238e+09","5.5827078238e+09"
"2020-03-22 05:25:00","1.7431794873e+10","1.7431794873e+10","4.6684139712e+09","4.6684139712e+09"
"2020-03-22 05:30:00","1.3648945441e+10","1.3648945441e+10","4.1362606276e+09","4.1362606276e+09"
"2020-03-22 05:35:00","1.1846298375e+10","1.1846298375e+10","4.6095451246e+09","4.6095451246e+09"
"2020-03-22 05:40:00","1.7342447324e+10","1.7342447324e+10","5.2902985549e+09","5.2902985549e+09"
"2020-03-22 05:45:00","1.8327784224e+10","1.8327784224e+10","5.2025833065e+09","5.2025833065e+09"
"2020-03-22 05:50:00","9.9355327932e+09","9.9355327932e+09","1.2318553194e+10","1.2318553194e+10"
"2020-03-22 05:55:00","1.4080643395e+10","1.4080643395e+10","9.0676672256e+09","9.0676672256e+09"
"2020-03-22 06:00:00","1.0973494412e+10","1.0973494412e+10","5.7782638588e+09","5.7782638588e+09"
"2020-03-22 06:05:00","1.2988728629e+10","1.2988728629e+10","6.2268536663e+09","6.2268536663e+09"
"2020-03-22 06:10:00","9.5301604609e+09","9.5301604609e+09","4.4965953441e+09","4.4965953441e+09"
"2020-03-22 06:15:00","1.0483131898e+10","1.0483131898e+10","3.9838026856e+09","3.9838026856e+09"
"2020-03-22 06:20:00","1.0987025523e+10","1.0987025523e+10","4.9906839884e+09","4.9906839884e+09"
"2020-03-22 06:25:00","1.6664514368e+10","1.6664514368e+10","5.0944459904e+09","5.0944459904e+09"
"2020-03-22 06:30:00","1.1522652326e+10","1.1522652326e+10","3.6551537357e+09","3.6551537357e+09"
"2020-03-22 06:35:00","9.4857543909e+09","9.4857543909e+09","4.1103360227e+09","4.1103360227e+09"
"2020-03-22 06:40:00","1.4133426952e+10","1.4133426952e+10","4.8657774565e+09","4.8657774565e+09"
"2020-03-22 06:45:00","9.8829924070e+09","9.8829924070e+09","4.7771497590e+09","4.7771497590e+09"
"2020-03-22 06:50:00","1.0668012090e+10","1.0668012090e+10","5.8546568352e+09","5.8546568352e+09"
"2020-03-22 06:55:00","1.4108605158e+10","1.4108605158e+10","5.3054114629e+09","5.3054114629e+09"
"2020-03-22 07:00:00","1.1696307266e+10","1.1696307266e+10","3.8751277862e+09","3.8751277862e+09"
"2020-03-22 07:05:00","1.0161650125e+10","1.0161650125e+10","6.2099158314e+09","6.2099158314e+09"
"2020-03-22 07:10:00","8.6265810727e+09","8.6265810727e+09","6.5984816645e+09","6.5984816645e+09"
"2020-03-22 07:15:00","9.0584812532e+09","9.0584812532e+09","4.5284306625e+09","4.5284306625e+09"
"2020-03-22 07:20:00","9.1144394761e+09","9.1144394761e+09","3.4607695880e+09","3.4607695880e+09"
"2020-03-22 07:25:00","1.2964695335e+10","1.2964695335e+10","5.4888407185e+09","5.4888407185e+09"
"2020-03-22 07:30:00","9.3421945234e+09","9.3421945234e+09","4.6740251937e+09","4.6740251937e+09"
"2020-03-22 07:35:00","1.3094255973e+10","1.3094255973e+10","3.0420828883e+09","3.0420828883e+09"
"2020-03-22 07:40:00","1.1341697880e+10","1.1341697880e+10","3.9920543739e+09","3.9920543739e+09"
"2020-03-22 07:45:00","1.0939374352e+10","1.0939374352e+10","9.2804336351e+09","9.2804336351e+09"
"2020-03-22 07:50:00","1.0561240103e+10","1.0561240103e+10","6.5507569169e+09","6.5507569169e+09"
"2020-03-22 07:55:00","9.8257650619e+09","9.8257650619e+09","7.0248263543e+09","7.0248263543e+09"
"2020-03-22 08:00:00","1.2405828707e+10","1.2405828707e+10","9.1689551653e+09","9.1689551653e+09"
"2020-03-22 08:05:00","1.2715093540e+10","1.2715093540e+10","4.9573288015e+09","4.9573288015e+09"
"2020-03-22 08:10:00","1.1186611991e+10","1.1186611991e+10","5.7580057550e+09","5.7580057550e+09"
"2020-03-22 08:15:00","1.3747132338e+10","1.3747132338e+10","5.6755249029e+09","5.6755249029e+09"
"2020-03-22 08:20:00","1.5511617454e+10","1.5511617454e+10","8.4230265006e+09","8.4230265006e+09"
"2020-03-22 08:25:00","1.3497030451e+10","1.3497030451e+10","7.6896267272e+09","7.6896267272e+09"
"2020-03-22 08:30:00","1.6817953090e+10","1.6817953090e+10","7.0165393125e+09","7.0165393125e+09"
"2020-03-22 08:35:00","1.4714742687e+10","1.4714742687e+10","6.3771322022e+09","6.3771322022e+09"
"2020-03-22 08:40:00","1.3173113731e+10","1.3173113731e+10","1.6326989415e+10","1.6326989415e+10"
"2020-03-22 08:45:00","1.1881781615e+10","1.1881781615e+10","7.1119158241e+09","7.1119158241e+09"
"2020-03-22 08:50:00","1.1696030911e+10","1.1696030911e+10","6.9561841074e+09","6.9561841074e+09"
"2020-03-22 08:55:00","1.1003097273e+10","1.1003097273e+10","1.1593660912e+10","1.1593660912e+10"
"2020-03-22 09:00:00","1.1564169325e+10","1.1564169325e+10","1.0186608197e+10","1.0186608197e+10"
"2020-03-22 09:05:00","1.0731250231e+10","1.0731250231e+10","6.7644961672e+09","6.7644961672e+09"
"2020-03-22 09:10:00","8.9634336363e+09","8.9634336363e+09","6.5033653614e+09","6.5033653614e+09"
"2020-03-22 09:15:00","1.0075521583e+10","1.0075521583e+10","5.9103598583e+09","5.9103598583e+09"
"2020-03-22 09:20:00","1.2885903106e+10","1.2885903106e+10","7.2765922921e+09","7.2765922921e+09"
"2020-03-22 09:25:00","1.0655601525e+10","1.0655601525e+10","6.3338521600e+09","6.3338521600e+09"
"2020-03-22 09:30:00","1.3033369946e+10","1.3033369946e+10","5.8743171806e+09","5.8743171806e+09"
"2020-03-22 09:35:00","1.4763140297e+10","1.4763140297e+10","6.4811507992e+09","6.4811507992e+09"
"2020-03-22 09:40:00","1.4879489905e+10","1.4879489905e+10","6.3563199233e+09","6.3563199233e+09"
"2020-03-22 09:45:00","1.3449943140e+10","1.3449943140e+10","5.2959382929e+09","5.2959382929e+09"
