"Title:","mx1.bud.hu - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE VIE SRF0000001 | bud-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47937"
"Host ID:","146"
"Nth Percentile:","12624292363.2","|95:bits:0:current:2|"
"Nth Percentile:","6679727792.24","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","9.8622243319e+09","9.8622243319e+09","1.8509591063e+09","1.8509591063e+09"
"2020-03-21 22:10:00","9.1976591511e+09","9.1976591511e+09","1.9041775467e+09","1.9041775467e+09"
"2020-03-21 22:15:00","9.4118557641e+09","9.4118557641e+09","2.1938051984e+09","2.1938051984e+09"
"2020-03-21 22:20:00","9.5810905307e+09","9.5810905307e+09","1.8874122506e+09","1.8874122506e+09"
"2020-03-21 22:25:00","9.5882999619e+09","9.5882999619e+09","1.9069841801e+09","1.9069841801e+09"
"2020-03-21 22:30:00","9.2899930936e+09","9.2899930936e+09","2.0733273475e+09","2.0733273475e+09"
"2020-03-21 22:35:00","8.9376358672e+09","8.9376358672e+09","1.8576315002e+09","1.8576315002e+09"
"2020-03-21 22:40:00","9.0696298630e+09","9.0696298630e+09","1.6847627281e+09","1.6847627281e+09"
"2020-03-21 22:45:00","9.1201489975e+09","9.1201489975e+09","1.8506740446e+09","1.8506740446e+09"
"2020-03-21 22:50:00","8.8432031293e+09","8.8432031293e+09","1.9785439972e+09","1.9785439972e+09"
"2020-03-21 22:55:00","8.8899639068e+09","8.8899639068e+09","1.9674194028e+09","1.9674194028e+09"
"2020-03-21 23:00:00","9.1508622225e+09","9.1508622225e+09","4.9492025690e+09","4.9492025690e+09"
"2020-03-21 23:05:00","9.1355794437e+09","9.1355794437e+09","1.8820496081e+09","1.8820496081e+09"
"2020-03-21 23:10:00","9.1642834019e+09","9.1642834019e+09","5.5814740450e+09","5.5814740450e+09"
"2020-03-21 23:15:00","8.9649802802e+09","8.9649802802e+09","3.2851147924e+09","3.2851147924e+09"
"2020-03-21 23:20:00","9.5755418043e+09","9.5755418043e+09","2.8778406352e+09","2.8778406352e+09"
"2020-03-21 23:25:00","9.2378277290e+09","9.2378277290e+09","4.6391057922e+09","4.6391057922e+09"
"2020-03-21 23:30:00","9.4049994192e+09","9.4049994192e+09","4.1809300119e+09","4.1809300119e+09"
"2020-03-21 23:35:00","9.2739811127e+09","9.2739811127e+09","2.5174975591e+09","2.5174975591e+09"
"2020-03-21 23:40:00","1.0260352248e+10","1.0260352248e+10","4.8938179147e+09","4.8938179147e+09"
"2020-03-21 23:45:00","9.5700119506e+09","9.5700119506e+09","4.3359605970e+09","4.3359605970e+09"
"2020-03-21 23:50:00","8.7263455115e+09","8.7263455115e+09","2.6333487216e+09","2.6333487216e+09"
"2020-03-21 23:55:00","8.7029818371e+09","8.7029818371e+09","4.9509133570e+09","4.9509133570e+09"
"2020-03-22 00:00:00","8.7037194118e+09","8.7037194118e+09","4.4046305752e+09","4.4046305752e+09"
"2020-03-22 00:05:00","8.2860747082e+09","8.2860747082e+09","3.0279918069e+09","3.0279918069e+09"
"2020-03-22 00:10:00","8.0748340527e+09","8.0748340527e+09","3.6484839688e+09","3.6484839688e+09"
"2020-03-22 00:15:00","8.4800662773e+09","8.4800662773e+09","1.4104811586e+09","1.4104811586e+09"
"2020-03-22 00:20:00","8.3692247272e+09","8.3692247272e+09","1.4193824595e+09","1.4193824595e+09"
"2020-03-22 00:25:00","8.3402907127e+09","8.3402907127e+09","1.4344679775e+09","1.4344679775e+09"
"2020-03-22 00:30:00","9.7186355861e+09","9.7186355861e+09","1.5858148306e+09","1.5858148306e+09"
"2020-03-22 00:35:00","1.1089291143e+10","1.1089291143e+10","1.4868506798e+09","1.4868506798e+09"
"2020-03-22 00:40:00","1.0295053980e+10","1.0295053980e+10","2.0808906746e+09","2.0808906746e+09"
"2020-03-22 00:45:00","7.8130152149e+09","7.8130152149e+09","2.0905544906e+09","2.0905544906e+09"
"2020-03-22 00:50:00","7.5961705167e+09","7.5961705167e+09","1.9457328757e+09","1.9457328757e+09"
"2020-03-22 00:55:00","7.3636101686e+09","7.3636101686e+09","1.4944337098e+09","1.4944337098e+09"
"2020-03-22 01:00:00","7.5510095952e+09","7.5510095952e+09","1.3027997806e+09","1.3027997806e+09"
"2020-03-22 01:05:00","7.0089740479e+09","7.0089740479e+09","1.2702031153e+09","1.2702031153e+09"
"2020-03-22 01:10:00","7.0895914611e+09","7.0895914611e+09","1.2859314838e+09","1.2859314838e+09"
"2020-03-22 01:15:00","7.0153345787e+09","7.0153345787e+09","4.6466777630e+09","4.6466777630e+09"
"2020-03-22 01:20:00","7.0052655225e+09","7.0052655225e+09","1.4798580940e+09","1.4798580940e+09"
"2020-03-22 01:25:00","6.7856471588e+09","6.7856471588e+09","1.5865030062e+09","1.5865030062e+09"
"2020-03-22 01:30:00","6.6683512862e+09","6.6683512862e+09","1.9658042650e+09","1.9658042650e+09"
"2020-03-22 01:35:00","6.6867516744e+09","6.6867516744e+09","1.2803427077e+09","1.2803427077e+09"
"2020-03-22 01:40:00","6.6435353119e+09","6.6435353119e+09","1.2487252112e+09","1.2487252112e+09"
