"Title:","mx1.dub2.ie - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE LON2 SRF9942043 | dub2-lon2"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","39699"
"Host ID:","225"
"Nth Percentile:","525429218.54","|95:bits:0:current:2|"
"Nth Percentile:","105599162.97","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","1.7395251431e+07","1.7395251431e+07","6.6461299069e+07","6.6461299069e+07"
"2020-03-21 22:10:00","1.7827360847e+07","1.7827360847e+07","6.4218435878e+07","6.4218435878e+07"
"2020-03-21 22:15:00","1.1268070769e+07","1.1268070769e+07","8.7772605214e+07","8.7772605214e+07"
"2020-03-21 22:20:00","1.0885040569e+07","1.0885040569e+07","8.2345945355e+07","8.2345945355e+07"
"2020-03-21 22:25:00","1.6036102933e+07","1.6036102933e+07","9.4236184841e+07","9.4236184841e+07"
"2020-03-21 22:30:00","1.1326151477e+07","1.1326151477e+07","9.8957659502e+07","9.8957659502e+07"
"2020-03-21 22:35:00","1.0184628811e+07","1.0184628811e+07","9.8315895036e+07","9.8315895036e+07"
"2020-03-21 22:40:00","1.0267855948e+07","1.0267855948e+07","9.5906296798e+07","9.5906296798e+07"
"2020-03-21 22:45:00","1.1540933050e+07","1.1540933050e+07","9.1017721616e+07","9.1017721616e+07"
"2020-03-21 22:50:00","1.0116756869e+07","1.0116756869e+07","9.1927874834e+07","9.1927874834e+07"
"2020-03-21 22:55:00","3.4923695609e+07","3.4923695609e+07","9.2107078184e+07","9.2107078184e+07"
"2020-03-21 23:00:00","1.3572221165e+07","1.3572221165e+07","7.9706745117e+07","7.9706745117e+07"
"2020-03-21 23:05:00","1.7010078209e+07","1.7010078209e+07","1.1809887037e+08","1.1809887037e+08"
"2020-03-21 23:10:00","1.2506181201e+07","1.2506181201e+07","9.4433217981e+07","9.4433217981e+07"
"2020-03-21 23:15:00","1.1065628988e+07","1.1065628988e+07","8.1375801447e+07","8.1375801447e+07"
"2020-03-21 23:20:00","1.9534265398e+07","1.9534265398e+07","8.0395238747e+07","8.0395238747e+07"
"2020-03-21 23:25:00","1.3203652431e+07","1.3203652431e+07","6.9661145729e+07","6.9661145729e+07"
"2020-03-21 23:30:00","1.5003793054e+07","1.5003793054e+07","6.8344242052e+07","6.8344242052e+07"
"2020-03-21 23:35:00","1.5449332059e+07","1.5449332059e+07","6.6330126841e+07","6.6330126841e+07"
"2020-03-21 23:40:00","1.6624361471e+07","1.6624361471e+07","6.3431828515e+07","6.3431828515e+07"
"2020-03-21 23:45:00","1.9980277579e+07","1.9980277579e+07","5.8035021313e+07","5.8035021313e+07"
"2020-03-21 23:50:00","3.9981607010e+07","3.9981607010e+07","6.9338340301e+07","6.9338340301e+07"
"2020-03-21 23:55:00","5.0234987558e+07","5.0234987558e+07","5.6239365761e+07","5.6239365761e+07"
"2020-03-22 00:00:00","3.0478424477e+07","3.0478424477e+07","9.7796797807e+07","9.7796797807e+07"
"2020-03-22 00:05:00","2.1935609208e+07","2.1935609208e+07","7.7231843141e+07","7.7231843141e+07"
"2020-03-22 00:10:00","1.6783733461e+07","1.6783733461e+07","7.1654759806e+07","7.1654759806e+07"
"2020-03-22 00:15:00","1.5904364867e+07","1.5904364867e+07","8.5247755713e+07","8.5247755713e+07"
"2020-03-22 00:20:00","2.4994786542e+07","2.4994786542e+07","6.9021612060e+07","6.9021612060e+07"
"2020-03-22 00:25:00","4.0318091321e+07","4.0318091321e+07","7.3797866828e+07","7.3797866828e+07"
"2020-03-22 00:30:00","1.7801338229e+07","1.7801338229e+07","6.7878495713e+07","6.7878495713e+07"
"2020-03-22 00:35:00","1.6307839734e+07","1.6307839734e+07","7.1663919959e+07","7.1663919959e+07"
"2020-03-22 00:40:00","1.8721083241e+07","1.8721083241e+07","6.2258573047e+07","6.2258573047e+07"
"2020-03-22 00:45:00","2.0752470222e+07","2.0752470222e+07","6.5195060251e+07","6.5195060251e+07"
"2020-03-22 00:50:00","2.0112487294e+07","2.0112487294e+07","6.6653217131e+07","6.6653217131e+07"
"2020-03-22 00:55:00","1.7894554392e+07","1.7894554392e+07","6.4231394533e+07","6.4231394533e+07"
"2020-03-22 01:00:00","2.1968998061e+07","2.1968998061e+07","5.3220395119e+07","5.3220395119e+07"
"2020-03-22 01:05:00","3.3090508424e+07","3.3090508424e+07","7.4076342090e+07","7.4076342090e+07"
"2020-03-22 01:10:00","5.3585995032e+07","5.3585995032e+07","7.2789546073e+07","7.2789546073e+07"
"2020-03-22 01:15:00","3.7415195992e+07","3.7415195992e+07","7.2193566505e+07","7.2193566505e+07"
"2020-03-22 01:20:00","1.4945550734e+07","1.4945550734e+07","6.5169703275e+07","6.5169703275e+07"
"2020-03-22 01:25:00","1.9198665618e+07","1.9198665618e+07","6.4964392583e+07","6.4964392583e+07"
"2020-03-22 01:30:00","3.4695606811e+07","3.4695606811e+07","6.7470493852e+07","6.7470493852e+07"
"2020-03-22 01:35:00","2.9997701872e+07","2.9997701872e+07","7.5739960812e+07","7.5739960812e+07"
"2020-03-22 01:40:00","2.2830833838e+07","2.2830833838e+07","7.0302826439e+07","7.0302826439e+07"
"2020-03-22 01:45:00","2.5528707459e+07","2.5528707459e+07","8.3060204708e+07","8.3060204708e+07"
"2020-03-22 01:50:00","2.9127133709e+07","2.9127133709e+07","6.9307334743e+07","6.9307334743e+07"
"2020-03-22 01:55:00","2.8792497969e+07","2.8792497969e+07","8.6380104403e+07","8.6380104403e+07"
"2020-03-22 02:00:00","3.7737541699e+07","3.7737541699e+07","7.0437824860e+07","7.0437824860e+07"
"2020-03-22 02:05:00","3.2704171303e+07","3.2704171303e+07","7.2277735249e+07","7.2277735249e+07"
"2020-03-22 02:10:00","3.5188359583e+07","3.5188359583e+07","5.9961528380e+07","5.9961528380e+07"
"2020-03-22 02:15:00","4.2541142600e+07","4.2541142600e+07","6.0670170944e+07","6.0670170944e+07"
"2020-03-22 02:20:00","3.7311700976e+07","3.7311700976e+07","5.9195043782e+07","5.9195043782e+07"
"2020-03-22 02:25:00","3.0557863935e+07","3.0557863935e+07","6.0708708742e+07","6.0708708742e+07"
"2020-03-22 02:30:00","6.0124392825e+07","6.0124392825e+07","5.8393753620e+07","5.8393753620e+07"
"2020-03-22 02:35:00","5.5245651285e+07","5.5245651285e+07","6.2972205483e+07","6.2972205483e+07"
"2020-03-22 02:40:00","3.6336301071e+07","3.6336301071e+07","8.1062509252e+07","8.1062509252e+07"
"2020-03-22 02:45:00","4.0877692947e+07","4.0877692947e+07","7.3187518100e+07","7.3187518100e+07"
"2020-03-22 02:50:00","2.5239736371e+07","2.5239736371e+07","6.1205790000e+07","6.1205790000e+07"
"2020-03-22 02:55:00","6.0975628961e+07","6.0975628961e+07","7.5247477157e+07","7.5247477157e+07"
"2020-03-22 03:00:00","1.6947617440e+07","1.6947617440e+07","6.4242903007e+07","6.4242903007e+07"
"2020-03-22 03:05:00","1.2968466805e+07","1.2968466805e+07","7.0909451482e+07","7.0909451482e+07"
"2020-03-22 03:10:00","1.0844149521e+07","1.0844149521e+07","6.7699563385e+07","6.7699563385e+07"
"2020-03-22 03:15:00","9.3475858566e+06","9.3475858566e+06","6.5668273303e+07","6.5668273303e+07"
"2020-03-22 03:20:00","8.6495766738e+06","8.6495766738e+06","7.3833591039e+07","7.3833591039e+07"
"2020-03-22 03:25:00","8.6615277506e+06","8.6615277506e+06","6.1601188246e+07","6.1601188246e+07"
"2020-03-22 03:30:00","1.0275775045e+07","1.0275775045e+07","8.3032832507e+07","8.3032832507e+07"
"2020-03-22 03:35:00","1.1244069610e+07","1.1244069610e+07","7.2476845295e+07","7.2476845295e+07"
"2020-03-22 03:40:00","5.3342239617e+07","5.3342239617e+07","5.3988293038e+07","5.3988293038e+07"
"2020-03-22 03:45:00","2.0763888412e+07","2.0763888412e+07","6.0222590656e+07","6.0222590656e+07"
"2020-03-22 03:50:00","2.2971533414e+07","2.2971533414e+07","5.1572567294e+07","5.1572567294e+07"
"2020-03-22 03:55:00","5.9394996599e+07","5.9394996599e+07","5.2351082839e+07","5.2351082839e+07"
"2020-03-22 04:00:00","1.4681928698e+07","1.4681928698e+07","9.7257228772e+07","9.7257228772e+07"
"2020-03-22 04:05:00","1.4689402775e+07","1.4689402775e+07","1.4708701975e+08","1.4708701975e+08"
"2020-03-22 04:10:00","1.1710163864e+07","1.1710163864e+07","1.4823556409e+08","1.4823556409e+08"
"2020-03-22 04:15:00","1.1069465933e+07","1.1069465933e+07","1.4325814146e+08","1.4325814146e+08"
"2020-03-22 04:20:00","8.6122533363e+06","8.6122533363e+06","1.5838449805e+08","1.5838449805e+08"
