"Title:","mx1.tal.ee - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | tal-tal"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47859"
"Host ID:","121"
"Nth Percentile:","3137681268.56","|95:bits:0:current:2|"
"Nth Percentile:","235489792.58","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","1.1007664109e+08","1.1007664109e+08","1.6506977184e+08","1.6506977184e+08"
"2020-03-21 22:10:00","1.9588866833e+07","1.9588866833e+07","8.7345864323e+07","8.7345864323e+07"
"2020-03-21 22:15:00","1.9220109113e+07","1.9220109113e+07","8.5204643557e+07","8.5204643557e+07"
"2020-03-21 22:20:00","2.2697076828e+07","2.2697076828e+07","9.9256463782e+07","9.9256463782e+07"
"2020-03-21 22:25:00","2.0760363485e+07","2.0760363485e+07","1.2694400944e+08","1.2694400944e+08"
"2020-03-21 22:30:00","2.1213677637e+07","2.1213677637e+07","1.0343088604e+08","1.0343088604e+08"
"2020-03-21 22:35:00","2.3412578341e+07","2.3412578341e+07","9.5534012828e+07","9.5534012828e+07"
"2020-03-21 22:40:00","2.3605910303e+07","2.3605910303e+07","1.0020226288e+08","1.0020226288e+08"
"2020-03-21 22:45:00","2.3568296359e+07","2.3568296359e+07","9.3519480233e+07","9.3519480233e+07"
"2020-03-21 22:50:00","2.8560975143e+07","2.8560975143e+07","8.3415193183e+07","8.3415193183e+07"
"2020-03-21 22:55:00","3.1948408638e+07","3.1948408638e+07","7.8031893017e+07","7.8031893017e+07"
"2020-03-21 23:00:00","2.7410335154e+07","2.7410335154e+07","5.0034293140e+07","5.0034293140e+07"
"2020-03-21 23:05:00","2.6511272997e+07","2.6511272997e+07","4.9609153756e+07","4.9609153756e+07"
"2020-03-21 23:10:00","2.9080428027e+07","2.9080428027e+07","5.0107261356e+07","5.0107261356e+07"
"2020-03-21 23:15:00","1.0954009845e+08","1.0954009845e+08","1.3156606145e+08","1.3156606145e+08"
"2020-03-21 23:20:00","2.6393091257e+07","2.6393091257e+07","1.2347218837e+08","1.2347218837e+08"
"2020-03-21 23:25:00","2.6729331354e+07","2.6729331354e+07","5.2658091180e+07","5.2658091180e+07"
"2020-03-21 23:30:00","1.1007076576e+08","1.1007076576e+08","5.9949898924e+07","5.9949898924e+07"
"2020-03-21 23:35:00","2.3992683823e+07","2.3992683823e+07","2.5201200469e+08","2.5201200469e+08"
"2020-03-21 23:40:00","2.1116382592e+07","2.1116382592e+07","6.6643050705e+07","6.6643050705e+07"
"2020-03-21 23:45:00","2.0328579244e+09","2.0328579244e+09","5.0665255329e+07","5.0665255329e+07"
"2020-03-21 23:50:00","3.0932029644e+09","3.0932029644e+09","5.0804430038e+07","5.0804430038e+07"
"2020-03-21 23:55:00","3.0990940028e+09","3.0990940028e+09","1.0588596898e+08","1.0588596898e+08"
"2020-03-22 00:00:00","3.1021183057e+09","3.1021183057e+09","4.7229853634e+07","4.7229853634e+07"
"2020-03-22 00:05:00","3.1016784195e+09","3.1016784195e+09","4.0076892837e+07","4.0076892837e+07"
"2020-03-22 00:10:00","3.0987384721e+09","3.0987384721e+09","4.5633346813e+07","4.5633346813e+07"
"2020-03-22 00:15:00","3.0950945025e+09","3.0950945025e+09","4.4026209959e+07","4.4026209959e+07"
"2020-03-22 00:20:00","3.0861579919e+09","3.0861579919e+09","4.5441040717e+07","4.5441040717e+07"
"2020-03-22 00:25:00","3.1084183706e+09","3.1084183706e+09","5.1420422337e+07","5.1420422337e+07"
"2020-03-22 00:30:00","3.1004004241e+09","3.1004004241e+09","5.1428440474e+07","5.1428440474e+07"
"2020-03-22 00:35:00","3.1801774690e+09","3.1801774690e+09","4.6790388400e+07","4.6790388400e+07"
"2020-03-22 00:40:00","3.1111729038e+09","3.1111729038e+09","3.6693401404e+07","3.6693401404e+07"
"2020-03-22 00:45:00","3.0941362776e+09","3.0941362776e+09","5.4949671394e+07","5.4949671394e+07"
"2020-03-22 00:50:00","3.1743798931e+09","3.1743798931e+09","7.3524734163e+07","7.3524734163e+07"
"2020-03-22 00:55:00","3.0960676954e+09","3.0960676954e+09","2.0355147305e+08","2.0355147305e+08"
"2020-03-22 01:00:00","3.1058649477e+09","3.1058649477e+09","4.4326066821e+07","4.4326066821e+07"
"2020-03-22 01:05:00","3.0953085436e+09","3.0953085436e+09","4.1763702917e+07","4.1763702917e+07"
"2020-03-22 01:10:00","3.1110802925e+09","3.1110802925e+09","4.1575267204e+07","4.1575267204e+07"
"2020-03-22 01:15:00","3.0775644481e+09","3.0775644481e+09","1.4848484932e+08","1.4848484932e+08"
"2020-03-22 01:20:00","1.8591639572e+09","1.8591639572e+09","5.1274233899e+07","5.1274233899e+07"
"2020-03-22 01:25:00","2.5046221211e+07","2.5046221211e+07","4.4423091180e+07","4.4423091180e+07"
"2020-03-22 01:30:00","1.7402578476e+07","1.7402578476e+07","3.3230559034e+07","3.3230559034e+07"
"2020-03-22 01:35:00","1.5370803504e+07","1.5370803504e+07","3.4332235420e+07","3.4332235420e+07"
"2020-03-22 01:40:00","1.9262880722e+07","1.9262880722e+07","3.7437448489e+07","3.7437448489e+07"
"2020-03-22 01:45:00","9.4817569760e+07","9.4817569760e+07","2.8785644710e+07","2.8785644710e+07"
"2020-03-22 01:50:00","1.8577718190e+07","1.8577718190e+07","3.2385846221e+07","3.2385846221e+07"
"2020-03-22 01:55:00","1.8745447095e+07","1.8745447095e+07","2.4079576678e+07","2.4079576678e+07"
"2020-03-22 02:00:00","1.0761086470e+07","1.0761086470e+07","2.3893568460e+07","2.3893568460e+07"
"2020-03-22 02:05:00","1.2746173580e+07","1.2746173580e+07","1.1006902964e+08","1.1006902964e+08"
"2020-03-22 02:10:00","1.0862116077e+07","1.0862116077e+07","3.2006494908e+07","3.2006494908e+07"
"2020-03-22 02:15:00","1.0950702098e+07","1.0950702098e+07","2.2970537936e+07","2.2970537936e+07"
"2020-03-22 02:20:00","1.1246733913e+07","1.1246733913e+07","2.6049087445e+07","2.6049087445e+07"
"2020-03-22 02:25:00","1.7357523457e+07","1.7357523457e+07","2.1821164945e+07","2.1821164945e+07"
"2020-03-22 02:30:00","1.1671943476e+07","1.1671943476e+07","2.2723887084e+07","2.2723887084e+07"
"2020-03-22 02:35:00","1.2160349367e+07","1.2160349367e+07","2.0574671707e+07","2.0574671707e+07"
"2020-03-22 02:40:00","1.1192562937e+07","1.1192562937e+07","2.7201432396e+07","2.7201432396e+07"
"2020-03-22 02:45:00","1.7735071623e+07","1.7735071623e+07","2.1994660213e+07","2.1994660213e+07"
"2020-03-22 02:50:00","1.9511705459e+07","1.9511705459e+07","2.9268240223e+07","2.9268240223e+07"
"2020-03-22 02:55:00","1.8690588748e+07","1.8690588748e+07","2.3801399297e+07","2.3801399297e+07"
"2020-03-22 03:00:00","2.1141555780e+07","2.1141555780e+07","4.4636980773e+07","4.4636980773e+07"
"2020-03-22 03:05:00","1.4667664605e+08","1.4667664605e+08","4.6417679192e+07","4.6417679192e+07"
"2020-03-22 03:10:00","3.3014683751e+07","3.3014683751e+07","9.8550098435e+07","9.8550098435e+07"
"2020-03-22 03:15:00","1.0674885908e+07","1.0674885908e+07","2.9229108272e+07","2.9229108272e+07"
"2020-03-22 03:20:00","1.1916319074e+07","1.1916319074e+07","2.7831198420e+07","2.7831198420e+07"
"2020-03-22 03:25:00","1.4154089618e+07","1.4154089618e+07","2.5239665019e+07","2.5239665019e+07"
"2020-03-22 03:30:00","1.3657980237e+07","1.3657980237e+07","2.6131140734e+07","2.6131140734e+07"
"2020-03-22 03:35:00","1.2811342933e+07","1.2811342933e+07","2.9102373812e+07","2.9102373812e+07"
"2020-03-22 03:40:00","2.1024823174e+07","2.1024823174e+07","1.9619781221e+07","1.9619781221e+07"
"2020-03-22 03:45:00","1.5806552074e+07","1.5806552074e+07","3.0933164766e+07","3.0933164766e+07"
"2020-03-22 03:50:00","1.6985777874e+07","1.6985777874e+07","6.8063430073e+07","6.8063430073e+07"
"2020-03-22 03:55:00","1.6491586744e+07","1.6491586744e+07","2.6425708638e+07","2.6425708638e+07"
"2020-03-22 04:00:00","1.5286280621e+07","1.5286280621e+07","1.9192996221e+07","1.9192996221e+07"
"2020-03-22 04:05:00","1.6238389656e+07","1.6238389656e+07","2.7251056566e+07","2.7251056566e+07"
"2020-03-22 04:10:00","1.5585700481e+07","1.5585700481e+07","2.3315577602e+07","2.3315577602e+07"
"2020-03-22 04:15:00","1.3928599589e+07","1.3928599589e+07","1.7954022150e+07","1.7954022150e+07"
"2020-03-22 04:20:00","1.5076171879e+07","1.5076171879e+07","2.2007465076e+07","2.2007465076e+07"
"2020-03-22 04:25:00","1.0682495202e+07","1.0682495202e+07","2.1348392755e+07","2.1348392755e+07"
"2020-03-22 04:30:00","1.0509559538e+07","1.0509559538e+07","1.8484715113e+07","1.8484715113e+07"
"2020-03-22 04:35:00","9.6714591348e+06","9.6714591348e+06","1.8378666378e+07","1.8378666378e+07"
"2020-03-22 04:40:00","2.0441789314e+07","2.0441789314e+07","1.8243704968e+07","1.8243704968e+07"
"2020-03-22 04:45:00","1.5479086924e+07","1.5479086924e+07","2.3879357193e+07","2.3879357193e+07"
"2020-03-22 04:50:00","1.2542408892e+07","1.2542408892e+07","3.3302476760e+07","3.3302476760e+07"
"2020-03-22 04:55:00","1.3025952028e+07","1.3025952028e+07","3.2019518487e+07","3.2019518487e+07"
"2020-03-22 05:00:00","1.4721694589e+07","1.4721694589e+07","3.5962097624e+07","3.5962097624e+07"
"2020-03-22 05:05:00","1.0378539493e+08","1.0378539493e+08","2.3013830800e+07","2.3013830800e+07"
"2020-03-22 05:10:00","1.2467757160e+07","1.2467757160e+07","1.7277443819e+07","1.7277443819e+07"
"2020-03-22 05:15:00","1.5003508834e+07","1.5003508834e+07","1.4953097504e+07","1.4953097504e+07"
"2020-03-22 05:20:00","1.5630898358e+07","1.5630898358e+07","2.7280852655e+07","2.7280852655e+07"
"2020-03-22 05:25:00","1.6509842022e+07","1.6509842022e+07","2.4432021971e+07","2.4432021971e+07"
"2020-03-22 05:30:00","1.4367448527e+07","1.4367448527e+07","2.6059375674e+07","2.6059375674e+07"
"2020-03-22 05:35:00","1.5126782159e+07","1.5126782159e+07","1.9309111062e+07","1.9309111062e+07"
"2020-03-22 05:40:00","1.4773268627e+07","1.4773268627e+07","7.5582539547e+07","7.5582539547e+07"
